"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6373,16040337,14441821,1598516,583710,393330,621476,4485,150,4335,4533,192,4341,999710
2011,7568,7568,7578,6322,6615279,5505254,1110025,563460,203359,343206,1873,194,1679,1915,230,1685,24933731
2012,7568,7568,7578,6295,14559147,13026723,1532424,194788,484411,853225,4406,169,4237,4456,213,4243,2926721
2013,7568,7568,7578,6321,19396458,15696562,3699896,2024626,704996,970274,1147,197,950,1186,233,953,16129566
2014,7568,7568,7578,6322,10609401,8882008,1727393,901102,311326,514965,925,197,728,962,232,730,26168093
2015,7568,7568,7578,6314,40179546,33389901,6789645,3582285,1178487,2028873,297,189,108,335,227,108,0
2016,7568,7568,7578,6272,3338748,3067698,271050,174862,55244,40944,365,184,181,411,228,183,36555854
2017,7568,7568,7578,6268,26094134,22660535,3433599,998120,765595,1669884,2772,162,2610,2821,206,2615,411075
2018,7568,7568,7578,6355,6047922,5406490,641432,107638,126237,407557,4701,141,4560,4751,183,4568,9839578
2019,7568,7568,7578,6288,31431888,27905266,3526622,1095722,671149,1759751,1880,189,1691,1928,233,1695,0
2020,7568,7568,7578,6317,31619772,29352635,2267137,896639,427192,943306,1846,195,1651,1884,229,1655,0
2021,7568,7568,7578,6317,7029993,5890815,1139178,623069,221756,294353,1164,191,973,1204,228,976,28438264
2022,7568,7568,7578,6286,496564,464122,32442,16805,4127,11510,1831,185,1646,1874,227,1647,31298177
2023,7568,7568,7578,6312,22882044,21356561,1525483,645018,346747,533718,3330,175,3155,3374,213,3161,537344
2024,7568,7568,7578,6328,3103816,3081601,22215,8649,2780,10786,3971,183,3788,4013,217,3796,16848358
2025,7568,7568,7578,6285,20625963,18114667,2511296,1422463,542953,545880,2110,185,1925,2162,231,1931,9562469
2026,7568,7568,7578,6346,8860277,7995604,864673,128469,194310,541894,4573,149,4424,4623,190,4433,7723449
2027,7568,7568,7578,6571,9542318,8866131,676187,15123,156702,504362,5565,101,5464,5585,115,5470,1534050
2028,7568,7568,7578,7571,66312,45256,21056,583,4419,16054,7556,22,7534,7567,25,7542,0
2029,7568,7568,7578,6671,9046062,8437035,609027,22812,128097,458118,5931,114,5817,5955,132,5823,0
2030,7568,7568,7578,6322,16746969,14021465,2725504,1098545,578524,1048435,2431,187,2244,2472,223,2249,11674881
2031,7568,7568,7578,6317,25728324,21467431,4260893,1745344,1090285,1425264,2912,179,2733,2957,221,2736,732
