"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,14441821,1957874,1481926,0,830050,3546571,6625400,0,393330,213261,52485,0,0,0,127584,0,3083,1840
2011,5505254,1362652,661944,0,466862,1418117,1595679,0,203359,127643,0,0,0,0,75716,0,5695,4407
2012,13026723,2219012,1505651,0,82619,3266305,5953136,0,484411,167458,215340,0,0,0,101613,0,3162,1839
2013,15696562,4546539,2176187,0,821172,3910067,4242597,0,704996,409836,49588,0,0,0,245572,0,6421,5135
2014,8882008,2500726,976566,0,814518,2183332,2406866,0,311326,191414,5981,0,0,0,113931,0,6643,5360
2015,33389901,9967466,4443655,0,4349345,7147231,7482204,0,1178487,719459,27927,0,0,0,431101,0,7271,5979
2016,3067698,536271,457361,0,440644,746593,886829,0,55244,32203,4636,0,0,0,18405,0,7203,5861
2017,22660535,5432811,3651923,0,600612,5742575,7232614,0,765595,340636,219385,0,0,0,205574,0,4796,3447
2018,5406490,830000,369156,0,31952,1474582,2700800,0,126237,79058,413,0,0,0,46766,0,2867,1604
2019,27905266,7092935,5065396,0,1829778,6451531,7465626,0,671149,336900,131641,0,0,0,202608,0,5688,4360
2020,29352635,6078623,2477511,0,6813064,6606227,7377210,0,427192,246799,32711,0,0,0,147682,0,5722,4433
2021,5890815,1391898,1461911,0,283087,1259954,1493965,0,221756,126031,21096,0,0,0,74629,0,6404,5113
2022,464122,47019,81680,0,11032,160580,163811,0,4127,2977,227,0,0,0,923,0,5737,4412
2023,21356561,3816584,2257731,0,3014324,4972157,7295765,0,346747,189023,44623,0,0,0,113101,0,4238,2938
2024,3081601,315172,269741,0,642877,757873,1095938,0,2780,1583,704,0,0,0,493,0,3597,2315
2025,18114667,3462159,2788173,0,2458211,4070536,5335588,0,542953,304996,55297,0,0,0,182660,0,5458,4123
