"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6329,19219428,16865030,2354398,816308,519442,1018648,4090,161,3929,4133,196,3937,0
2011,7568,7568,7578,6349,10081979,8815401,1266578,458852,280281,527445,4569,140,4429,4620,183,4437,6518076
2012,7568,7568,7578,6322,26833034,21944288,4888746,2778146,833479,1277121,357,192,165,394,228,166,13049312
2013,7568,7568,7578,6322,38555583,36179542,2376041,963864,507178,904999,276,191,85,313,227,86,1740209
2014,7568,7568,7578,7399,1585962,1327670,258292,30427,65130,162735,7281,70,7211,7290,75,7215,0
2015,7568,7568,7578,6436,15009861,13812788,1197073,188310,281341,727422,4486,153,4333,4528,189,4339,2024433
2016,7568,7568,7578,6327,17102970,15402852,1700118,246414,603659,850045,4473,155,4318,4521,196,4325,0
2017,7568,7568,7578,7575,15776,9120,6656,281,1392,4983,7564,34,7530,7574,39,7535,6328
2018,7568,7568,7578,7533,426942,266566,160376,41914,55417,63045,7485,120,7365,7495,127,7368,31716
2019,7568,7568,7578,7301,5868612,5333853,534759,18436,139646,376677,6506,76,6430,6533,88,6445,0
2020,7568,7568,7578,6322,36526860,30966853,5560007,2702607,1006600,1850800,958,198,760,996,233,763,0
2021,7568,7568,7578,6453,13483440,12302009,1181431,94425,331229,755777,5128,122,5006,5168,156,5012,0
2022,7568,7568,7578,6421,14780374,13352326,1428048,186185,412020,829843,4720,152,4568,4774,202,4572,961388
2023,7568,7568,7578,7578,0,0,0,0,0,0,7568,45,7523,7578,49,7529,0
2024,7568,7568,7578,7496,740484,559693,180791,2670,42749,135372,7434,45,7389,7444,49,7395,0
2025,7568,7568,7578,7261,3182976,2712663,470313,56868,111590,301855,6992,69,6923,7001,72,6929,0
2026,7568,7568,7578,6322,14650400,11894513,2755887,1313317,741909,700661,1433,192,1241,1472,228,1244,19308180
2027,7568,7568,7578,7435,1309662,999502,310160,12498,83829,213833,7331,37,7294,7337,40,7297,0
2028,7568,7568,7578,7573,51490,29158,22332,7628,6167,8537,7558,29,7529,7570,28,7542,3770
2029,7568,7568,7578,7084,2532866,2368496,164370,4458,30989,128923,6708,79,6629,6741,104,6637,2229842
2030,7568,7568,7578,6544,11659860,11085492,574368,37665,183222,353481,5458,128,5330,5484,151,5333,0
2031,7568,7568,7578,7578,5526,3365,2161,4,794,1363,7567,25,7542,7578,29,7549,0
2032,7568,7568,7578,7578,0,0,0,0,0,0,7568,42,7526,7578,47,7531,0
2033,7568,7568,7578,6385,104994,101634,3360,3070,248,42,4939,149,4790,4984,191,4793,14494698
2034,7568,7568,7578,6323,11293160,10210796,1082364,391306,313511,377547,1969,188,1781,2014,230,1784,19707702
2035,7568,7568,7578,7566,94440,59779,34661,1914,8795,23952,7548,44,7504,7559,49,7510,16080
2036,7568,7568,7578,7513,488901,476372,12529,3044,3278,6207,7461,54,7407,7473,59,7414,102381
2037,7568,7568,7578,6504,16600104,13923045,2677059,922694,640992,1113373,4564,144,4420,4594,166,4428,0
2038,7568,7568,7578,6566,10770174,10198164,572010,5085,144883,422042,5619,122,5497,5643,145,5498,0
2039,7568,7568,7578,7563,138150,110769,27381,0,6760,20621,7543,57,7486,7551,59,7492,0
2040,7568,7568,7578,7578,0,0,0,0,0,0,7568,27,7541,7578,33,7545,0
2041,7568,7568,7578,7275,2851416,2570630,280786,325,59575,220886,7052,101,6951,7058,102,6956,0
2042,7568,7568,7578,7578,0,0,0,0,0,0,7568,39,7529,7578,42,7536,0
2043,7568,7568,7578,7439,1282032,832030,450002,117729,122119,210154,7336,66,7270,7344,69,7275,0
2044,7568,7568,7578,7163,3318384,2949794,368590,25454,99194,243942,6838,76,6762,6886,103,6783,718208
2045,7568,7568,7578,6324,21634290,18469167,3165123,1051304,781332,1332487,3653,175,3478,3695,211,3484,0
2046,7568,7568,7578,7461,985404,712705,272699,92706,78253,101740,7367,84,7283,7378,85,7293,125322
2047,7568,7568,7578,7230,3790836,3540060,250776,44286,61194,145296,6882,115,6767,6893,122,6771,0
2048,7568,7568,7578,6336,12739541,11111068,1628473,439925,379506,809042,4039,169,3870,4088,210,3878,6785680
2049,7568,7568,7578,7333,1007754,801608,206146,42006,49953,114187,7167,66,7101,7166,51,7115,1214250
2050,7568,7568,7578,7514,542895,368250,174645,11895,60824,101926,7463,52,7411,7473,54,7419,37335
2051,7568,7568,7578,7578,0,0,0,0,0,0,7568,77,7491,7578,81,7497,0
2052,7568,7568,7578,7578,6242,3474,2768,424,228,2116,7566,28,7538,7578,32,7546,4810
2053,7568,7568,7578,6343,8955752,8132018,823734,305833,230359,287542,4542,157,4385,4591,198,4393,7799555
2054,7568,7568,7578,6335,1479648,1390674,88974,30480,20037,38457,4367,161,4206,4412,198,4214,16279568
2055,7568,7568,7578,7577,10550,7024,3526,526,610,2390,7566,27,7539,7577,29,7548,502
2056,7568,7568,7578,7578,0,0,0,0,0,0,7568,31,7537,7578,36,7542,0
2057,7568,7568,7578,7313,2381706,1994255,387451,10791,101843,274817,7137,73,7064,7140,66,7074,0
2058,7568,7568,7578,6591,11488554,10368871,1119683,286739,348777,484167,5489,128,5361,5519,151,5368,0
2059,7568,7568,7578,6301,4832702,4426659,406043,38044,124778,243221,4416,165,4251,4466,207,4259,12636172
2060,7568,7568,7578,7375,1812528,1455313,357215,20910,97883,238422,7240,68,7172,7247,71,7176,0
2061,7568,7568,7578,7468,1036365,775833,260532,13329,79210,167993,7373,79,7294,7383,89,7294,41205
2062,7568,7568,7578,7578,0,0,0,0,0,0,7568,25,7543,7578,30,7548,0
2063,7568,7568,7578,7578,0,0,0,0,0,0,7568,20,7548,7578,24,7554,0
2064,7568,7568,7578,7463,1055466,764201,291265,25292,91733,174240,7377,79,7298,7387,83,7304,0
2065,7568,7568,7578,7578,0,0,0,0,0,0,7568,33,7535,7578,36,7542,0
2066,7568,7568,7578,7569,62036,43657,18379,702,5042,12635,7555,36,7519,7563,38,7525,9802
2067,7568,7568,7578,7578,0,0,0,0,0,0,7568,9,7559,7578,12,7566,0
2068,7568,7568,7578,7578,0,0,0,0,0,0,7568,23,7545,7578,25,7553,0
2069,7568,7568,7578,7578,0,0,0,0,0,0,7568,23,7545,7578,27,7551,0
2070,7568,7568,7578,7578,0,0,0,0,0,0,7568,37,7531,7578,43,7535,0
2071,7568,7568,7578,7578,0,0,0,0,0,0,7568,58,7510,7578,62,7516,0
2072,7568,7568,7578,7575,7965,4715,3250,626,248,2376,7563,43,7520,7573,47,7526,19665
2073,7568,7568,7578,6700,1264980,1167856,97124,27098,21726,48300,6019,110,5909,6043,130,5913,7322072
2074,7568,7568,7578,7578,0,0,0,0,0,0,7568,27,7541,7578,30,7548,0
2075,7568,7568,7578,7578,0,0,0,0,0,0,7568,22,7546,7578,25,7553,0
2076,7568,7568,7578,7578,0,0,0,0,0,0,7568,45,7523,7578,47,7531,0
2077,7568,7568,7578,7578,0,0,0,0,0,0,7568,14,7554,7578,20,7558,0
2078,7568,7568,7578,7578,0,0,0,0,0,0,7568,27,7541,7578,33,7545,0
2079,7568,7568,7578,7578,0,0,0,0,0,0,7568,7,7561,7578,11,7567,0
2080,7568,7568,7578,7578,0,0,0,0,0,0,7568,17,7551,7578,20,7558,0
2081,7568,7568,7578,7578,0,0,0,0,0,0,7568,7,7561,7578,8,7570,0
2082,7568,7568,7578,7578,0,0,0,0,0,0,7568,24,7544,7578,28,7550,0
2083,7568,7568,7578,7578,0,0,0,0,0,0,7568,12,7556,7578,14,7564,0
2084,7568,7568,7578,7578,0,0,0,0,0,0,7568,1,7567,7578,3,7575,0
2085,7568,7568,7578,7578,0,0,0,0,0,0,7568,6,7562,7578,3,7575,0
2086,7568,7568,7578,7578,0,0,0,0,0,0,7568,4,7564,7578,5,7573,0
2087,7568,7568,7578,7578,0,0,0,0,0,0,7568,5,7563,7578,9,7569,0
2088,7568,7568,7578,7578,0,0,0,0,0,0,7568,2,7566,7578,5,7573,0
2089,7568,7568,7578,7578,0,0,0,0,0,0,7568,28,7540,7578,34,7544,0
2090,7568,7568,7578,7578,0,0,0,0,0,0,7568,5,7563,7578,9,7569,0
2091,7568,7568,7578,7578,0,0,0,0,0,0,7568,0,7568,7578,0,7578,0
2092,7568,7568,7578,7578,0,0,0,0,0,0,7568,19,7549,7578,23,7555,0
2093,7568,7568,7578,7578,0,0,0,0,0,0,7568,1,7567,7578,4,7574,0
2094,7568,7568,7578,7578,0,0,0,0,0,0,7568,5,7563,7578,9,7569,0
2095,7568,7568,7578,7578,0,0,0,0,0,0,7568,2,7566,7578,3,7575,0
2096,7568,7568,7578,7578,0,0,0,0,0,0,7568,0,7568,7578,0,7578,0
2097,7568,7568,7578,7578,0,0,0,0,0,0,7568,13,7555,7578,18,7560,0
2098,7568,7568,7578,7578,0,0,0,0,0,0,7568,2,7566,7578,3,7575,0
