"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,16865030,2950141,1322154,0,424076,4868813,7299846,0,519442,302981,35085,0,0,0,181376,0,3478,2196
2011,8815401,1279999,670447,0,9117,2449198,4406640,0,280281,175200,571,0,0,0,104510,0,2999,1729
2012,21944288,6112240,3265701,0,1884192,5497234,5184921,0,833479,486666,55181,0,0,0,291632,0,7211,5928
2013,36179542,6320561,6032240,0,8008117,7583570,8235054,0,507178,244955,115144,0,0,0,147079,0,7292,6009
2014,1327670,419794,178574,0,220753,508549,0,0,65130,34039,11034,0,0,0,20057,0,287,109
2015,13812788,2378582,1529773,0,701778,3583779,5618876,0,281341,135009,65392,0,0,0,80940,0,3082,1908
2016,15402852,2452542,1261059,0,286449,4196898,7205904,0,603659,199357,283111,0,0,0,121191,0,3095,1806
2017,9120,7094,2026,0,0,0,0,0,1392,496,692,0,0,0,204,0,4,1
2018,266566,166955,65420,0,34191,0,0,0,55417,22354,20011,0,0,0,13052,0,83,38
2019,5333853,771694,274648,0,0,2126845,2160666,0,139646,61925,40718,0,0,0,37003,0,1062,768
2020,30966853,8010408,5758508,0,2651577,7008896,7537464,0,1006600,565917,101063,0,0,0,339620,0,6610,5326
2021,12302009,1758184,1057563,0,251107,2974197,6260958,0,331229,132726,118501,0,0,0,80002,0,2440,1285
2022,13352326,2214173,1078437,0,349723,3451993,6258000,0,412020,161076,153650,0,0,0,97294,0,2848,1647
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,559693,300776,135659,0,123258,0,0,0,42749,19511,11600,0,0,0,11638,0,134,52
2025,2712663,596195,182844,0,132049,1370547,431028,0,111590,62054,12606,0,0,0,36930,0,576,260
2026,11894513,3376552,2096778,0,200036,2948205,3272942,0,741909,281230,290472,0,0,0,170207,0,6135,4850
2027,999502,408145,195256,0,47194,348907,0,0,83829,36950,24893,0,0,0,21986,0,237,98
2028,29158,17144,7585,0,4429,0,0,0,6167,3145,1524,0,0,0,1498,0,10,3
2029,2368496,304361,153142,0,90526,938767,881700,0,30989,18456,1786,0,0,0,10747,0,860,343
2030,11085492,1228001,733393,0,1046040,2574162,5503896,0,183222,63664,81050,0,0,0,38508,0,2110,1060
2031,3365,2688,677,0,0,0,0,0,794,142,581,0,0,0,71,0,1,0
2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,101634,9407,47372,0,0,44855,0,0,248,162,4,0,0,0,82,0,2629,1401
2034,10210796,1971892,2078230,0,809102,2443990,2907582,0,313511,100429,152190,0,0,0,60892,0,5599,4309
2035,59779,40203,8597,0,10979,0,0,0,8795,4253,2119,0,0,0,2423,0,20,7
2036,476372,152936,52064,0,271372,0,0,0,3278,1497,1199,0,0,0,582,0,107,40
2037,13923045,2890052,1447359,0,240532,3504120,5840982,0,640992,341115,95239,0,0,0,204638,0,3004,1910
2038,10198164,1248633,875484,0,259297,2465582,5349168,0,144883,51649,62218,0,0,0,31016,0,1949,923
2039,110769,58307,38525,0,13937,0,0,0,6760,2069,3491,0,0,0,1200,0,25,12
2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2041,2570630,613760,609420,0,0,1065624,281826,0,59575,23414,22100,0,0,0,14061,0,516,217
2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,832030,411310,146580,0,1863,272277,0,0,122119,65608,17621,0,0,0,38890,0,232,95
2044,2949794,495942,438318,0,18061,1242980,754493,0,99194,45595,26501,0,0,0,27098,0,730,277
2045,18469167,3775901,2132828,0,214106,4947018,7399314,0,781332,372856,183852,0,0,0,224624,0,3915,2629
2046,712705,286595,187500,0,131791,106819,0,0,78253,40681,13680,0,0,0,23892,0,201,83
2047,3540060,684720,481523,0,482980,1343763,547074,0,61194,33122,8712,0,0,0,19360,0,686,337
2048,11111068,2047257,1096216,0,126097,3045590,4795908,0,379506,193154,70487,0,0,0,115865,0,3529,2248
2049,801608,221275,115648,0,0,412458,52227,0,49953,28153,5349,0,0,0,16451,0,401,167
2050,368250,210655,153769,0,3826,0,0,0,60824,21380,26560,0,0,0,12884,0,105,41
2051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2052,3474,2672,802,0,0,0,0,0,228,152,0,0,0,0,76,0,2,0
2053,8132018,983353,1004552,0,279233,2055936,3808944,0,230359,114244,48054,0,0,0,68061,0,3026,1752
2054,1390674,130622,266652,0,54086,394410,544904,0,20037,10473,4310,0,0,0,5254,0,3201,1923
