"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6324,27219374,22997491,4221883,1892847,763564,1565472,2454,183,2271,2494,218,2276,1042343
2011,7568,7568,7578,6324,27082926,23429561,3653365,1626495,689513,1337357,2667,183,2484,2706,217,2489,0
2012,7568,7568,7578,6314,25438746,21272299,4166447,1804871,916379,1445197,1892,194,1698,1935,232,1703,5945470
2013,7568,7568,7578,6323,27961560,23813389,4148171,1259463,1352273,1536435,2508,183,2325,2547,217,2330,0
2014,7568,7568,7578,7577,16578,9740,6838,219,1712,4907,7565,23,7542,7577,18,7559,0
2015,7568,7568,7578,6650,12345084,11195058,1150026,130957,244168,774901,5334,140,5194,5360,165,5195,0
2016,7568,7568,7578,7024,38682,38682,0,0,0,0,6626,113,6513,6653,129,6524,5194440
2017,7568,7568,7578,6322,38418804,32579423,5839381,3598212,1200341,1040828,385,194,191,420,230,190,1274479
2018,7568,7568,7578,6321,23015617,19700634,3314983,1562278,837740,914965,2239,195,2044,2282,231,2051,6445408
2019,7568,7568,7578,6667,9615240,8643357,971883,131344,284143,556396,5828,107,5721,5850,122,5728,0
2020,7568,7568,7578,7479,906264,605823,300441,44804,78356,177281,7404,41,7363,7415,41,7374,0
2021,7568,7568,7578,6341,17385215,15756606,1628609,123933,399320,1105356,4358,148,4210,4404,187,4217,354857
2022,7568,7568,7578,6704,9427356,8465524,961832,193900,276061,491871,5862,117,5745,5877,124,5753,0
2023,7568,7568,7578,6347,20079600,17152593,2927007,1040617,528645,1357745,2821,191,2630,2862,230,2632,6169950
2024,7568,7568,7578,6366,18937602,17607155,1330447,200800,280306,849341,4141,153,3988,4192,193,3999,0
2025,7568,7568,7578,6329,7535881,6516746,1019135,316402,241646,461087,3018,168,2850,3058,202,2856,17664256
2026,7568,7568,7578,6323,32089482,26564085,5525397,2501097,1164243,1860057,1761,188,1573,1798,222,1576,0
2027,7568,7568,7578,6328,23463396,19350935,4112461,1664543,1073073,1374845,3322,171,3151,3365,206,3159,0
2028,7568,7568,7578,7401,1635696,1281879,353817,7149,98573,248095,7272,47,7225,7281,55,7226,0
2029,7568,7568,7578,7102,5028660,4642716,385944,5870,92171,287903,6658,75,6583,6693,103,6590,0
2030,7568,7568,7578,7578,0,0,0,0,0,0,7568,10,7558,7578,13,7565,0
2031,7568,7568,7578,6323,31266108,25023441,6242667,3171645,1202884,1868138,1910,203,1707,1949,237,1712,0
2032,7568,7568,7578,6969,6001236,5520942,480294,10584,122129,347581,6482,86,6396,6507,104,6403,0
2033,7568,7568,7578,7434,1281832,983628,298204,53376,72675,172153,7336,49,7287,7346,50,7296,200
2034,7568,7568,7578,6339,15972164,14046916,1925248,427533,575664,922051,4257,154,4103,4309,196,4113,2332712
2035,7568,7568,7578,7573,44208,24627,19581,5521,5332,8728,7560,53,7507,7570,59,7511,0
2036,7568,7568,7578,6538,7871573,7184717,686856,78264,190449,418143,5448,96,5352,5472,112,5360,3863160
2037,7568,7568,7578,6334,12235427,10636992,1598435,416058,354429,827948,3970,159,3811,4013,195,3818,7678321
2038,7568,7568,7578,6397,17865558,15319105,2546453,839134,616557,1090762,4335,153,4182,4384,196,4188,0
2039,7568,7568,7578,6730,8059023,7378510,680513,132946,148679,398888,5978,100,5878,5988,102,5886,730933
2040,7568,7568,7578,6325,25640640,21582052,4058588,1458838,1222839,1376911,2928,174,2754,2969,211,2758,0
2041,7568,7568,7578,7572,26120,14514,11606,3454,2136,6016,7558,67,7491,7568,72,7496,29140
2042,7568,7568,7578,6372,14132210,12643074,1489136,287746,486167,715223,4885,157,4728,4933,197,4736,697336
2043,7568,7568,7578,7203,3542166,3146434,395732,22220,117927,255585,6927,75,6852,6953,97,6856,0
2044,7568,7568,7578,7577,9646,6122,3524,294,569,2661,7566,41,7525,7577,44,7533,1406
2045,7568,7568,7578,7578,0,0,0,0,0,0,7568,35,7533,7578,38,7540,0
2046,7568,7568,7578,6635,9048911,8164024,884887,244704,241081,399102,5624,93,5531,5656,122,5534,1702173
2047,7568,7568,7578,7511,100468,75882,24586,2882,5940,15764,7459,66,7393,7469,71,7398,501866
2048,7568,7568,7578,6347,15854094,14692150,1161944,67421,315445,779078,4699,134,4565,4748,175,4573,0
2049,7568,7568,7578,7578,0,0,0,0,0,0,7568,34,7534,7578,38,7540,0
2050,7568,7568,7578,7578,0,0,0,0,0,0,7568,15,7553,7578,3,7575,0
2051,7568,7568,7578,6804,8839970,7747780,1092190,216978,371943,503269,5965,133,5832,5987,146,5841,18208
2052,7568,7568,7578,7405,935442,703201,232241,59185,65090,107966,7280,44,7236,7284,36,7248,656046
2053,7568,7568,7578,6460,16461954,13942384,2519570,847505,597508,1074557,4589,141,4448,4636,183,4453,0
2054,7568,7568,7578,7457,502353,371820,130533,7057,33004,90472,7374,27,7347,7383,27,7356,569691
2055,7568,7568,7578,6719,8239266,7577068,662198,101084,194430,366684,6077,108,5969,6092,114,5978,0
2056,7568,7568,7578,7002,6067548,5476225,591323,72540,153966,364817,6470,121,6349,6498,143,6355,0
2057,7568,7568,7578,7530,414450,250955,163495,25170,49303,89022,7493,39,7454,7502,44,7458,0
2058,7568,7568,7578,7576,8326,5490,2836,436,875,1525,7566,32,7534,7575,34,7541,2726
2059,7568,7568,7578,7578,0,0,0,0,0,0,7568,8,7560,7578,12,7566,0
2060,7568,7568,7578,7578,0,0,0,0,0,0,7568,24,7544,7578,26,7552,0
2061,7568,7568,7578,6658,3537992,3304040,233952,56140,78735,99077,5920,99,5821,5947,117,5830,5602766
2062,7568,7568,7578,7398,1421276,1099639,321637,36959,82594,202084,7278,34,7244,7283,28,7255,181264
