"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,22997491,5447038,2323866,0,1953016,6009581,7263990,0,763564,472543,8188,0,0,0,282833,0,5114,3830
2011,23429561,5669723,1875811,0,2190787,6382342,7310898,0,689513,428056,5198,0,0,0,256259,0,4901,3618
2012,21272299,5549041,3982673,0,488102,5178387,6074096,0,916379,435716,218243,0,0,0,262420,0,5676,4379
2013,23813389,6344681,3318158,0,480905,6253753,7415892,0,1352273,392333,719394,0,0,0,240546,0,5060,3776
2014,9740,7070,1372,0,1298,0,0,0,1712,548,941,0,0,0,223,0,3,0
2015,11195058,2050800,859413,0,523030,3059189,4702626,0,244168,135164,28191,0,0,0,80813,0,2234,1290
2016,38682,2891,15324,0,0,20467,0,0,0,0,0,0,0,0,0,0,942,371
2017,32579423,8625465,4177713,0,5293893,7001423,7480929,0,1200341,654500,152745,0,0,0,393096,0,7183,5902
2018,19700634,4456691,3052756,0,1788403,4761324,5641460,0,837740,381841,225717,0,0,0,230182,0,5329,4039
2019,8643357,1206607,554196,0,3666,2314412,4564476,0,284143,120219,91566,0,0,0,72358,0,1740,817
2020,605823,317882,95541,0,90449,101951,0,0,78356,40853,13363,0,0,0,24140,0,164,64
2021,15756606,2946064,1465002,0,96419,4250721,6998400,0,399320,148437,161124,0,0,0,89759,0,3210,1937
2022,8465524,1149309,492727,0,279753,2255559,4288176,0,276061,126330,73770,0,0,0,75961,0,1706,827
2023,17152593,4272087,2471274,0,365630,4401247,5642355,0,528645,311109,31370,0,0,0,186166,0,4747,3485
2024,17607155,3066312,2019992,0,1064153,4466308,6990390,0,280306,122726,83779,0,0,0,73801,0,3427,2174
2025,6516746,1308539,473680,0,128516,1887034,2718977,0,241646,115822,56616,0,0,0,69208,0,4550,3271
2026,26564085,7381718,2383710,0,2115162,7173661,7509834,0,1164243,576844,240010,0,0,0,347389,0,5807,4525
2027,19350935,4697948,1564064,0,165079,5568738,7355106,0,1073073,471983,315844,0,0,0,285246,0,4246,2963
2028,1281879,511223,214294,0,0,556362,0,0,98573,38248,37399,0,0,0,22926,0,296,120
2029,4642716,747558,378692,0,176611,1869939,1469916,0,92171,37678,32023,0,0,0,22470,0,910,409
2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,25023441,7134516,2953433,0,681177,6810793,7443522,0,1202884,685220,106300,0,0,0,411364,0,5658,4374
2032,5520942,819406,413224,0,0,2094490,2193822,0,122129,50895,40687,0,0,0,30547,0,1086,462
2033,983628,326388,230522,0,90410,336308,0,0,72675,41414,6714,0,0,0,24547,0,232,88
2034,14046916,2446956,1395862,0,26493,3834695,6342910,0,575664,226711,211915,0,0,0,137038,0,3311,2030
2035,24627,17165,5778,0,1684,0,0,0,5332,2762,1300,0,0,0,1270,0,8,3
2036,7184717,970455,354445,0,274345,1752640,3832832,0,190449,81037,60930,0,0,0,48482,0,2120,1066
2037,10636992,1995034,814870,0,139969,3117065,4570054,0,354429,189765,50984,0,0,0,113680,0,3598,2321
2038,15319105,2943515,1319517,0,211024,4103329,6741720,0,616557,314017,114044,0,0,0,188496,0,3233,2013
2039,7378510,891268,495444,0,263022,2080570,3648206,0,148679,91022,3582,0,0,0,54075,0,1590,742
