"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6324,27219374,22997491,4221883,1892847,763564,1565472,2454,183,2271,2494,218,2276,1042343,2010,22997491,5447038,2323866,0,1953016,6009581,7263990,0,763564,472543,8188,0,0,0,282833,0,5114,3830
2011,7568,7568,7578,6324,27082926,23429561,3653365,1626495,689513,1337357,2667,183,2484,2706,217,2489,0,2011,23429561,5669723,1875811,0,2190787,6382342,7310898,0,689513,428056,5198,0,0,0,256259,0,4901,3618
2012,7568,7568,7578,6314,25438746,21272299,4166447,1804871,916379,1445197,1892,194,1698,1935,232,1703,5945470,2012,21272299,5549041,3982673,0,488102,5178387,6074096,0,916379,435716,218243,0,0,0,262420,0,5676,4379
2013,7568,7568,7578,6323,27961560,23813389,4148171,1259463,1352273,1536435,2508,183,2325,2547,217,2330,0,2013,23813389,6344681,3318158,0,480905,6253753,7415892,0,1352273,392333,719394,0,0,0,240546,0,5060,3776
2014,7568,7568,7578,7577,16578,9740,6838,219,1712,4907,7565,23,7542,7577,18,7559,0,2014,9740,7070,1372,0,1298,0,0,0,1712,548,941,0,0,0,223,0,3,0
2015,7568,7568,7578,6650,12345084,11195058,1150026,130957,244168,774901,5334,140,5194,5360,165,5195,0,2015,11195058,2050800,859413,0,523030,3059189,4702626,0,244168,135164,28191,0,0,0,80813,0,2234,1290
2016,7568,7568,7578,7024,38682,38682,0,0,0,0,6626,113,6513,6653,129,6524,5194440,2016,38682,2891,15324,0,0,20467,0,0,0,0,0,0,0,0,0,0,942,371
2017,7568,7568,7578,6322,38418804,32579423,5839381,3598212,1200341,1040828,385,194,191,420,230,190,1274479,2017,32579423,8625465,4177713,0,5293893,7001423,7480929,0,1200341,654500,152745,0,0,0,393096,0,7183,5902
2018,7568,7568,7578,6321,23015617,19700634,3314983,1562278,837740,914965,2239,195,2044,2282,231,2051,6445408,2018,19700634,4456691,3052756,0,1788403,4761324,5641460,0,837740,381841,225717,0,0,0,230182,0,5329,4039
2019,7568,7568,7578,6667,9615240,8643357,971883,131344,284143,556396,5828,107,5721,5850,122,5728,0,2019,8643357,1206607,554196,0,3666,2314412,4564476,0,284143,120219,91566,0,0,0,72358,0,1740,817
2020,7568,7568,7578,7479,906264,605823,300441,44804,78356,177281,7404,41,7363,7415,41,7374,0,2020,605823,317882,95541,0,90449,101951,0,0,78356,40853,13363,0,0,0,24140,0,164,64
2021,7568,7568,7578,6341,17385215,15756606,1628609,123933,399320,1105356,4358,148,4210,4404,187,4217,354857,2021,15756606,2946064,1465002,0,96419,4250721,6998400,0,399320,148437,161124,0,0,0,89759,0,3210,1937
2022,7568,7568,7578,6704,9427356,8465524,961832,193900,276061,491871,5862,117,5745,5877,124,5753,0,2022,8465524,1149309,492727,0,279753,2255559,4288176,0,276061,126330,73770,0,0,0,75961,0,1706,827
2023,7568,7568,7578,6347,20079600,17152593,2927007,1040617,528645,1357745,2821,191,2630,2862,230,2632,6169950,2023,17152593,4272087,2471274,0,365630,4401247,5642355,0,528645,311109,31370,0,0,0,186166,0,4747,3485
2024,7568,7568,7578,6366,18937602,17607155,1330447,200800,280306,849341,4141,153,3988,4192,193,3999,0,2024,17607155,3066312,2019992,0,1064153,4466308,6990390,0,280306,122726,83779,0,0,0,73801,0,3427,2174
2025,7568,7568,7578,6329,7535881,6516746,1019135,316402,241646,461087,3018,168,2850,3058,202,2856,17664256,2025,6516746,1308539,473680,0,128516,1887034,2718977,0,241646,115822,56616,0,0,0,69208,0,4550,3271
2026,7568,7568,7578,6323,32089482,26564085,5525397,2501097,1164243,1860057,1761,188,1573,1798,222,1576,0,2026,26564085,7381718,2383710,0,2115162,7173661,7509834,0,1164243,576844,240010,0,0,0,347389,0,5807,4525
2027,7568,7568,7578,6328,23463396,19350935,4112461,1664543,1073073,1374845,3322,171,3151,3365,206,3159,0,2027,19350935,4697948,1564064,0,165079,5568738,7355106,0,1073073,471983,315844,0,0,0,285246,0,4246,2963
2028,7568,7568,7578,7401,1635696,1281879,353817,7149,98573,248095,7272,47,7225,7281,55,7226,0,2028,1281879,511223,214294,0,0,556362,0,0,98573,38248,37399,0,0,0,22926,0,296,120
2029,7568,7568,7578,7102,5028660,4642716,385944,5870,92171,287903,6658,75,6583,6693,103,6590,0,2029,4642716,747558,378692,0,176611,1869939,1469916,0,92171,37678,32023,0,0,0,22470,0,910,409
2030,7568,7568,7578,7578,0,0,0,0,0,0,7568,10,7558,7578,13,7565,0,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
