"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6303,36510282,29848437,6661845,3305485,1246037,2110323,961,193,768,1003,233,770,0
2011,7568,7568,7578,6322,33896484,28901371,4995113,2289543,841596,1863974,1434,196,1238,1474,232,1242,0
2012,7568,7568,7578,6298,14495903,12986666,1509237,143653,353502,1012082,4169,154,4015,4223,199,4024,4307967
2013,7568,7568,7578,6323,29763036,26239856,3523180,1258873,738291,1526016,2182,195,1987,2224,230,1994,0
2014,7568,7568,7578,6444,11470893,10304043,1166850,195818,306199,664833,5133,127,5006,5176,163,5013,1986977
2015,7568,7568,7578,6772,7823486,7192330,631156,17556,115993,497607,6026,101,5925,6039,107,5932,700595
2016,7568,7568,7578,6323,37256292,31592759,5663533,2614854,1182235,1866444,826,192,634,861,229,632,0
2017,7568,7568,7578,6500,6953940,6394219,559721,104785,145530,309406,5433,98,5335,5468,126,5342,4868666
2018,7568,7568,7578,6324,33028902,27279345,5749557,2571698,1042729,2135130,1591,201,1390,1628,237,1391,0
2019,7568,7568,7578,6315,34756583,28255589,6500994,3073702,1132375,2294917,1277,193,1084,1316,230,1086,7483
2020,7568,7568,7578,6324,25745634,23324472,2421162,509939,518048,1393175,2909,171,2738,2955,211,2744,0
2021,7568,7568,7578,6353,18003708,16325228,1678480,411527,357616,909337,4310,166,4144,4358,207,4151,0
2022,7568,7568,7578,6331,18213696,16027471,2186225,619332,465643,1101250,4272,171,4101,4318,208,4110,0
2023,7568,7568,7578,6328,20589876,17936790,2653086,1074930,610441,967715,3842,176,3666,3889,217,3672,0
2024,7568,7568,7578,6342,21595608,18422694,3172914,1087805,715890,1369219,3660,157,3503,3709,198,3511,0
2025,7568,7568,7578,6323,36825264,30063424,6761840,3332938,1230687,2198215,904,192,712,943,230,713,0
2026,7568,7568,7578,6340,17996242,15178700,2817542,984565,585273,1247704,2961,175,2786,3002,209,2793,7482983
2027,7568,7568,7578,6322,39453211,34430042,5023169,1683091,906267,2433811,370,191,179,405,227,178,322937
2028,7568,7568,7578,7523,497340,325064,172276,9545,41098,121633,7478,45,7433,7487,50,7437,0
2029,7568,7568,7578,6476,12986744,11682492,1304252,212008,293788,798456,5212,119,5093,5250,150,5100,32512
2030,7568,7568,7578,6329,25099092,21109662,3989430,1442714,702388,1844328,3026,169,2857,3070,207,2863,0
2031,7568,7568,7578,6270,29210436,24965700,4244736,1753788,868785,1622163,2282,175,2107,2329,219,2110,0
2032,7568,7568,7578,6315,34460136,28644316,5815820,3260899,1040790,1514131,1332,193,1139,1371,231,1140,0
2033,7568,7568,7578,6320,29165893,23356827,5809066,3067262,1065218,1676586,766,180,586,803,216,587,8444167
2034,7568,7568,7578,6322,14030645,11110631,2920014,1549058,609089,761867,1240,201,1039,1275,234,1041,20997971
