"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,29848437,9067548,5708688,0,473258,6989641,7609302,0,1246037,674605,166118,0,0,0,405314,0,6607,5300
2011,28901371,7314669,4014714,0,2620971,7264351,7686666,0,841596,522172,6722,0,0,0,312702,0,6134,4848
2012,12986666,2384024,1020170,0,69866,3914576,5598030,0,353502,156565,102665,0,0,0,94272,0,3399,2075
2013,26239856,5736009,5012446,0,1292193,6683848,7515360,0,738291,352346,173662,0,0,0,212283,0,5386,4099
2014,10304043,1417647,815834,0,1114,2658306,5411142,0,306199,146386,72049,0,0,0,87764,0,2435,1268
2015,7192330,1113639,535452,0,35171,2127431,3380637,0,115993,63345,15062,0,0,0,37586,0,1542,733
2016,31592759,8668235,2758159,0,4111584,8301803,7752978,0,1182235,546397,306206,0,0,0,329632,0,6742,5462
2017,6394219,715314,399538,0,208776,1556871,3513720,0,145530,72412,30059,0,0,0,43059,0,2135,1032
2018,27279345,8349629,3124912,0,1290674,7059556,7454574,0,1042729,605968,73181,0,0,0,363580,0,5977,4696
2019,28255589,8645285,3225882,0,1715839,7169801,7498782,0,1132375,689946,28949,0,0,0,413480,0,6291,4999
2020,23324472,5393858,3784867,0,988802,5713423,7443522,0,518048,217183,169651,0,0,0,131214,0,4659,3369
2021,16325228,2458717,963281,0,1168859,4650039,7084332,0,357616,207349,26266,0,0,0,124001,0,3258,1995
2022,16027471,2598240,1486184,0,214302,4484159,7244586,0,465643,283138,13297,0,0,0,169208,0,3296,2013
2023,17936790,3163353,1430344,0,1422227,4764696,7156170,0,610441,336150,72670,0,0,0,201621,0,3726,2439
2024,18422694,4011467,2232649,0,237986,4756792,7183800,0,715890,367714,127128,0,0,0,221048,0,3908,2633
2025,30063424,9583837,3399959,0,2251342,7235562,7592724,0,1230687,704254,103739,0,0,0,422694,0,6664,5380
2026,15178700,3734998,1412610,0,252752,4307050,5471290,0,585273,304135,98733,0,0,0,182405,0,4607,3338
2027,34430042,10305435,7793863,0,878405,7693835,7758504,0,906267,405337,256384,0,0,0,244546,0,7198,5917
2028,325064,207676,81010,0,36378,0,0,0,41098,20732,8050,0,0,0,12316,0,90,36
2029,11682492,1665798,699290,0,221607,3011671,6084126,0,293788,161931,34945,0,0,0,96912,0,2356,1226
2030,21109662,5386468,2680141,0,204013,5522616,7316424,0,702388,428559,17195,0,0,0,256634,0,4542,3259
2031,24965700,5778692,4861319,0,853575,6061748,7410366,0,868785,453099,143397,0,0,0,272289,0,5286,3941
2032,28644316,7770394,4104355,0,2235408,7040903,7493256,0,1040790,650891,0,0,0,0,389899,0,6236,4944
2033,23356827,7055845,3659073,0,1392180,5404459,5845270,0,1065218,618661,75573,0,0,0,370984,0,6802,5517
2034,11110631,3433425,1791878,0,198936,2741012,2945380,0,609089,304347,122105,0,0,0,182637,0,6328,5047
2035,11404,8386,3018,0,0,0,0,0,1235,616,356,0,0,0,263,0,5,3
2036,112340,72532,39808,0,0,0,0,0,19498,9205,4945,0,0,0,5348,0,33,12
2037,13489059,1890891,896296,0,407986,3744606,6549280,0,431306,231245,61430,0,0,0,138631,0,3012,1792
2038,24354279,6643384,3284449,0,3233459,5344181,5848806,0,919111,551464,37332,0,0,0,330315,0,6926,5663
2039,13881914,2215785,1232294,0,16546,3670043,6747246,0,298346,148053,61528,0,0,0,88765,0,2765,1547
2040,1083,867,216,0,0,0,0,0,81,38,23,0,0,0,20,0,1,0
2041,9489678,1367459,757859,0,140695,2051329,5172336,0,210478,118876,20691,0,0,0,70911,0,1900,929
2042,21947154,6990675,3819894,0,293671,5199654,5643260,0,1288578,694256,177087,0,0,0,417235,0,6682,5396
2043,8017374,1341099,778339,0,155702,2072566,3669668,0,301890,149860,62220,0,0,0,89810,0,1933,1050
2044,17013510,3021904,2056867,0,62691,4699300,7172748,0,562561,242088,174455,0,0,0,146018,0,3464,2165
2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2047,24488830,5299502,4630922,0,1576830,5709376,7272200,0,891198,512382,71552,0,0,0,307264,0,5402,4116
2048,8744671,1731470,1465072,0,251955,2169702,3126472,0,334928,193974,25141,0,0,0,115813,0,4274,2984
2049,395856,212996,100072,0,1499,81289,0,0,70623,40391,6420,0,0,0,23812,0,202,82
2050,3843951,609270,413238,0,7791,986420,1827232,0,125047,75635,4704,0,0,0,44708,0,3089,1827
2051,4791568,524279,461051,0,0,1419682,2386556,0,110322,68847,786,0,0,0,40689,0,1365,558
2052,24107702,6448032,3028517,0,1425299,6184105,7021749,0,803900,418956,133143,0,0,0,251801,0,5509,4177
2053,11982727,2551498,1110559,0,156781,3340711,4823178,0,474988,237464,94991,0,0,0,142533,0,3981,2696
2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,13055207,1792743,857544,0,252289,3459106,6693525,0,309838,194054,0,0,0,0,115784,0,2728,1484
2056,4988310,1188590,972773,0,437883,1135000,1254064,0,214759,100122,55021,0,0,0,59616,0,6060,4731
2057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2058,25056,16792,8264,0,0,0,0,0,5290,2756,1314,0,0,0,1220,0,8,3
2059,15261522,1939363,1630544,0,862643,3932524,6896448,0,235507,101137,73656,0,0,0,60714,0,2941,1703
2060,64197,46481,17716,0,0,0,0,0,16149,7030,4997,0,0,0,4122,0,28,10
2061,1283829,343828,244979,0,134275,540651,20096,0,58564,31637,8431,0,0,0,18496,0,307,133
2062,18239683,3750231,2071074,0,795483,4814863,6808032,0,716256,339684,172087,0,0,0,204485,0,3837,2610
2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2064,23166823,5225778,3595861,0,2447281,5410714,6487189,0,713444,381574,102730,0,0,0,229140,0,5506,4239
2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,19
2066,1431277,195577,216464,0,9114,389684,620438,0,56568,25111,17181,0,0,0,14276,0,2990,1728
2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2071,8246620,1155680,960930,0,203974,2201273,3724763,0,267377,129654,60127,0,0,0,77596,0,3196,1924
2072,1945377,181809,233440,0,0,522829,1007299,0,60309,23798,22694,0,0,0,13817,0,1561,677
2073,5115734,683708,468368,0,31920,1262183,2669555,0,193382,88948,51298,0,0,0,53136,0,1866,916
