"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6303,36510282,29848437,6661845,3305485,1246037,2110323,961,193,768,1003,233,770,0,2010,29848437,9067548,5708688,0,473258,6989641,7609302,0,1246037,674605,166118,0,0,0,405314,0,6607,5300
2011,7568,7568,7578,6322,33896484,28901371,4995113,2289543,841596,1863974,1434,196,1238,1474,232,1242,0,2011,28901371,7314669,4014714,0,2620971,7264351,7686666,0,841596,522172,6722,0,0,0,312702,0,6134,4848
2012,7568,7568,7578,6298,14495903,12986666,1509237,143653,353502,1012082,4169,154,4015,4223,199,4024,4307967,2012,12986666,2384024,1020170,0,69866,3914576,5598030,0,353502,156565,102665,0,0,0,94272,0,3399,2075
2013,7568,7568,7578,6323,29763036,26239856,3523180,1258873,738291,1526016,2182,195,1987,2224,230,1994,0,2013,26239856,5736009,5012446,0,1292193,6683848,7515360,0,738291,352346,173662,0,0,0,212283,0,5386,4099
2014,7568,7568,7578,6444,11470893,10304043,1166850,195818,306199,664833,5133,127,5006,5176,163,5013,1986977,2014,10304043,1417647,815834,0,1114,2658306,5411142,0,306199,146386,72049,0,0,0,87764,0,2435,1268
2015,7568,7568,7578,6772,7823486,7192330,631156,17556,115993,497607,6026,101,5925,6039,107,5932,700595,2015,7192330,1113639,535452,0,35171,2127431,3380637,0,115993,63345,15062,0,0,0,37586,0,1542,733
2016,7568,7568,7578,6323,37256292,31592759,5663533,2614854,1182235,1866444,826,192,634,861,229,632,0,2016,31592759,8668235,2758159,0,4111584,8301803,7752978,0,1182235,546397,306206,0,0,0,329632,0,6742,5462
2017,7568,7568,7578,6500,6953940,6394219,559721,104785,145530,309406,5433,98,5335,5468,126,5342,4868666,2017,6394219,715314,399538,0,208776,1556871,3513720,0,145530,72412,30059,0,0,0,43059,0,2135,1032
2018,7568,7568,7578,6324,33028902,27279345,5749557,2571698,1042729,2135130,1591,201,1390,1628,237,1391,0,2018,27279345,8349629,3124912,0,1290674,7059556,7454574,0,1042729,605968,73181,0,0,0,363580,0,5977,4696
2019,7568,7568,7578,6315,34756583,28255589,6500994,3073702,1132375,2294917,1277,193,1084,1316,230,1086,7483,2019,28255589,8645285,3225882,0,1715839,7169801,7498782,0,1132375,689946,28949,0,0,0,413480,0,6291,4999
