"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6305,16504777,13836198,2668579,1195176,499884,973519,2254,187,2067,2301,229,2072,12897110
2011,7568,7568,7578,6310,15292570,11991261,3301309,1989959,665216,646134,1148,190,958,1191,230,961,20241320
2012,7568,7568,7578,6338,15374549,13538934,1835615,435956,431773,967886,4130,171,3959,4179,212,3967,3638909
2013,7568,7568,7578,6322,34438032,29609210,4828822,1325176,1137576,2366070,1336,196,1140,1377,231,1146,0
2014,7568,7568,7578,7528,436554,242741,193813,32779,49292,111742,7489,73,7416,7498,78,7420,0
2015,7568,7568,7578,6322,34889428,26763771,8125657,5063392,1965034,1097231,373,194,179,411,230,181,4878782
2016,7568,7568,7578,7567,51663,32738,18925,956,3028,14941,7551,83,7468,7560,93,7467,42279
2017,7568,7568,7578,7276,1763832,1526974,236858,15579,69870,151409,7066,85,6981,7068,79,6989,1016247
2018,7568,7568,7578,6336,20512512,17518226,2994286,998583,818158,1177545,3856,168,3688,3905,210,3695,0
2019,7568,7568,7578,6751,4564957,4227588,337369,3865,85781,247723,6042,90,5952,6058,96,5962,3887815
2020,7568,7568,7578,7396,1674378,1492862,181516,200,42874,138442,7265,63,7202,7269,61,7208,0
2021,7568,7568,7578,7459,1071689,887128,184561,1208,44502,138851,7374,47,7327,7383,47,7336,355
2022,7568,7568,7578,6724,9228420,8246742,981678,172563,271569,537546,5898,103,5795,5916,113,5803,0
2023,7568,7568,7578,6518,13455810,11892430,1563380,284633,421267,857480,5133,133,5000,5156,154,5002,0
2024,7568,7568,7578,6313,36886050,30984806,5901244,2269684,1065309,2566251,893,195,698,932,233,699,0
2025,7568,7568,7578,6501,12941892,11998895,942997,57433,294131,591433,5226,109,5117,5255,135,5120,0
2026,7568,7568,7578,7493,740484,452934,287550,28429,79818,179303,7434,39,7395,7442,39,7403,0
2027,7568,7568,7578,6333,22385675,19289165,3096510,1282731,684672,1129107,3423,165,3258,3469,202,3267,519695
2028,7568,7568,7578,6660,7792938,6981553,811385,86477,235138,489770,5722,130,5592,5751,150,5601,2420868
2029,7568,7568,7578,6920,3070156,2840921,229235,15315,53071,160849,6437,97,6340,6464,116,6348,3196628
2030,7568,7568,7578,7578,0,0,0,0,0,0,7568,19,7549,7578,24,7554,0
2031,7568,7568,7578,7334,2238030,1845277,392753,9953,93822,288978,7163,65,7098,7165,59,7106,0
2032,7568,7568,7578,6323,14669074,12545117,2123957,793844,387002,943111,1807,193,1614,1845,226,1619,17211947
2033,7568,7568,7578,6316,16184833,13900169,2284664,979674,576625,728365,3854,170,3684,3899,207,3692,4355164
2034,7568,7568,7578,7397,1081622,841325,240297,19690,57896,162711,7282,57,7225,7284,50,7234,498814
2035,7568,7568,7578,6371,16174602,14681568,1493034,319869,349200,823965,4641,151,4490,4689,190,4499,0
2036,7568,7568,7578,6456,758682,699501,59181,9408,11787,37986,5258,122,5136,5307,162,5145,12063033
2037,7568,7568,7578,6875,7040124,6562271,477853,16111,94935,366807,6294,95,6199,6320,112,6208,0
2038,7568,7568,7578,7523,115541,71066,44475,9553,11265,23657,7480,46,7434,7491,48,7443,370747
2039,7568,7568,7578,6737,8170053,7806845,363208,1677,79881,281650,6089,101,5988,6104,105,5999,2901
2040,7568,7568,7578,7156,4155552,3854229,301323,2538,63196,235589,6816,59,6757,6848,88,6760,0
2041,7568,7568,7578,7578,0,0,0,0,0,0,7568,41,7527,7578,46,7532,0
2042,7568,7568,7578,7578,0,0,0,0,0,0,7568,43,7525,7578,46,7532,0
2043,7568,7568,7578,7578,0,0,0,0,0,0,7568,8,7560,7578,11,7567,0
2044,7568,7568,7578,6564,12864528,11468346,1396182,181337,342377,872468,5240,133,5107,5270,159,5111,0
2045,7568,7568,7578,6786,7598250,6889865,708385,186256,191871,330258,6193,94,6099,6207,102,6105,0
2046,7568,7568,7578,6831,7465626,6806296,659330,75632,246283,337415,6217,78,6139,6235,87,6148,0
2047,7568,7568,7578,6414,14689983,13199959,1490024,209305,441378,839341,4909,131,4778,4960,178,4782,3651
2048,7568,7568,7578,7066,5053482,4371652,681830,162026,171439,348365,6607,104,6503,6634,126,6508,258008
2049,7568,7568,7578,7383,1729638,1347637,382001,49510,101310,231181,7255,72,7183,7254,68,7186,0
2050,7568,7568,7578,7130,4652892,4183751,469141,32671,170249,266221,6726,87,6639,6761,115,6646,0
2051,7568,7568,7578,7462,978988,737672,241316,19356,90190,131770,7377,54,7323,7388,53,7335,76478
2052,7568,7568,7578,7571,55260,35294,19966,1172,5228,13566,7558,24,7534,7567,27,7540,0
2053,7568,7568,7578,6998,142740,135605,7135,1328,1337,4470,6276,133,6143,6303,155,6148,7023529
2054,7568,7568,7578,7491,790218,542393,247825,30716,69719,147390,7425,39,7386,7436,42,7394,0
2055,7568,7568,7578,6401,9281076,8924722,356354,170927,90709,94718,5035,147,4888,5085,193,4892,4738290
2056,7568,7568,7578,6568,326407,306036,20371,8962,2698,8711,5680,107,5573,5704,124,5580,10157786
2057,7568,7568,7578,6691,60786,60786,0,0,0,0,6011,112,5899,6034,133,5901,8587404
2058,7568,7568,7578,7578,0,0,0,0,0,0,7568,41,7527,7578,47,7531,0
2059,7568,7568,7578,7578,0,0,0,0,0,0,7568,25,7543,7578,27,7551,0
2060,7568,7568,7578,7578,0,0,0,0,0,0,7568,35,7533,7578,42,7536,0
2061,7568,7568,7578,7491,554016,286303,267713,103090,71807,92816,7408,77,7331,7417,81,7336,330144
2062,7568,7568,7578,7370,1364116,1057107,307009,63345,97521,146143,7218,84,7134,7226,92,7134,571617
2063,7568,7568,7578,6330,21280626,18093898,3186728,1163504,989134,1034090,3717,175,3542,3764,212,3552,0
2064,7568,7568,7578,7578,0,0,0,0,0,0,7568,35,7533,7578,39,7539,0
2065,7568,7568,7578,7578,0,0,0,0,0,0,7568,41,7527,7578,45,7533,0
2066,7568,7568,7578,7378,1950678,1691196,259482,4785,112047,142650,7215,69,7146,7219,64,7155,0
2067,7568,7568,7578,7578,0,0,0,0,0,0,7568,47,7521,7578,56,7522,0
2068,7568,7568,7578,7578,0,0,0,0,0,0,7568,21,7547,7578,24,7554,0
2069,7568,7568,7578,7578,0,0,0,0,0,0,7568,40,7528,7578,44,7534,0
2070,7568,7568,7578,7489,214127,138387,75740,19073,24222,32445,7424,43,7381,7435,50,7385,581617
2071,7568,7568,7578,7578,0,0,0,0,0,0,7568,39,7529,7578,43,7535,0
2072,7568,7568,7578,7578,0,0,0,0,0,0,7568,31,7537,7578,36,7542,0
2073,7568,7568,7578,7497,401046,210648,190398,52971,66667,70760,7439,47,7392,7449,50,7399,311808
2074,7568,7568,7578,7578,0,0,0,0,0,0,7568,26,7542,7578,31,7547,0
2075,7568,7568,7578,7578,0,0,0,0,0,0,7568,7,7561,7578,11,7567,0
2076,7568,7568,7578,7578,0,0,0,0,0,0,7568,42,7526,7578,44,7534,0
2077,7568,7568,7578,7578,0,0,0,0,0,0,7568,6,7562,7578,9,7569,0
2078,7568,7568,7578,7577,10398,7386,3012,430,1125,1457,7566,50,7516,7577,56,7521,654
2079,7568,7568,7578,7578,0,0,0,0,0,0,7568,6,7562,7578,11,7567,0
2080,7568,7568,7578,7578,0,0,0,0,0,0,7568,36,7532,7578,40,7538,0
2081,7568,7568,7578,7502,119685,77314,42371,12055,14409,15907,7446,76,7370,7458,80,7378,554487
2082,7568,7568,7578,7578,0,0,0,0,0,0,7568,22,7546,7578,27,7551,0
2083,7568,7568,7578,7578,0,0,0,0,0,0,7568,46,7522,7578,53,7525,0
2084,7568,7568,7578,7578,0,0,0,0,0,0,7568,32,7536,7578,33,7545,0
2085,7568,7568,7578,7578,0,0,0,0,0,0,7568,22,7546,7578,25,7553,0
2086,7568,7568,7578,7578,0,0,0,0,0,0,7568,32,7536,7578,34,7544,0
2087,7568,7568,7578,6618,194331,184970,9361,5323,2391,1647,5834,115,5719,5862,140,5722,9441170
2088,7568,7568,7578,7557,116411,76415,39996,13558,16252,10186,7534,41,7493,7545,45,7500,71473
2089,7568,7568,7578,7578,0,0,0,0,0,0,7568,24,7544,7578,29,7549,0
2090,7568,7568,7578,7576,1581,945,636,57,195,384,7565,27,7538,7575,26,7549,14997
2091,7568,7568,7578,7578,0,0,0,0,0,0,7568,10,7558,7578,11,7567,0
2092,7568,7568,7578,7578,0,0,0,0,0,0,7568,21,7547,7578,26,7552,0
2093,7568,7568,7578,7578,0,0,0,0,0,0,7568,22,7546,7578,26,7552,0
2094,7568,7568,7578,7578,0,0,0,0,0,0,7568,23,7545,7578,26,7552,0
2095,7568,7568,7578,7578,0,0,0,0,0,0,7568,3,7565,7578,3,7575,0
