"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,13836198,3429084,2444981,0,369780,3324004,4268349,0,499884,297792,23954,0,0,0,178138,0,5314,4004
2011,11991261,3468446,1850298,0,585115,2890608,3196794,0,665216,366710,78651,0,0,0,219855,0,6420,5119
2012,13538934,2470819,1223304,0,262658,3788965,5793188,0,431773,220128,79563,0,0,0,132082,0,3438,2159
2013,29609210,8985102,4988243,0,894828,7280937,7460100,0,1137576,398341,496769,0,0,0,242466,0,6232,4945
2014,242741,184250,56690,0,1801,0,0,0,49292,27053,6134,0,0,0,16105,0,79,30
2015,26763771,8499536,2342682,0,2294347,6727068,6900138,0,1965034,888312,540267,0,0,0,536455,0,7195,5911
2016,32738,22784,9176,0,778,0,0,0,3028,2139,0,0,0,0,889,0,17,7
2017,1526974,322874,135216,0,63578,790769,214537,0,69870,28987,23854,0,0,0,17029,0,502,208
2018,17518226,3508696,1816174,0,108242,4790794,7294320,0,818158,359317,242051,0,0,0,216790,0,3712,2431
2019,4227588,584803,273955,0,0,1274100,2094730,0,85781,33012,32989,0,0,0,19780,0,1526,693
2020,1492862,418125,284785,0,105196,668178,16578,0,42874,15523,18124,0,0,0,9227,0,303,127
2021,887128,310506,138107,0,93032,345483,0,0,44502,18886,14371,0,0,0,11245,0,194,76
2022,8246742,1213515,394711,0,253436,1903494,4481586,0,271569,128843,65342,0,0,0,77384,0,1670,808
2023,11892430,2069610,802147,0,285612,3026703,5708358,0,421267,188399,119525,0,0,0,113343,0,2435,1362
2024,30984806,9622235,4446705,0,1421905,7818347,7675614,0,1065309,545363,192008,0,0,0,327938,0,6675,5381
2025,11998895,1579845,623788,0,560443,3272265,5962554,0,294131,99761,133940,0,0,0,60430,0,2342,1246
2026,452934,302072,89953,0,23217,37692,0,0,79818,38022,19094,0,0,0,22702,0,134,51
2027,19289165,3636612,2181873,0,1322484,4860702,7287494,0,684672,372890,88019,0,0,0,223763,0,4145,2864
2028,6981553,1079540,538069,0,40862,1774262,3548820,0,235138,95847,81652,0,0,0,57639,0,1846,909
2029,2840921,332872,167615,0,25624,1050552,1264258,0,53071,27284,9945,0,0,0,15842,0,1131,456
2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,1845277,564556,238405,0,0,931796,110520,0,93822,44622,22650,0,0,0,26550,0,405,169
2032,12545117,3315839,1494881,0,542059,3263234,3929104,0,387002,214102,44892,0,0,0,128008,0,5761,4478
2033,13900169,2360492,1510295,0,174249,3799833,6055300,0,576625,298075,99587,0,0,0,178963,0,3714,2417
2034,841325,299933,178132,0,0,363260,0,0,57896,29731,10624,0,0,0,17541,0,286,113
2035,14681568,2113578,1357349,0,581987,3693524,6935130,0,349200,189168,46794,0,0,0,113238,0,2927,1682
2036,699501,87207,97860,0,86,184645,329703,0,11787,6013,2785,0,0,0,2989,0,2310,1149
2037,6562271,811564,578127,0,164412,2084914,2923254,0,94935,52202,11793,0,0,0,30940,0,1274,555
2038,71066,42162,17328,0,11576,0,0,0,11265,6262,1366,0,0,0,3637,0,88,32
2039,7806845,828410,676326,0,124449,2232096,3945564,0,79881,33085,27084,0,0,0,19712,0,1479,633
2040,3854229,558987,389881,0,132950,1600899,1171512,0,63196,30055,15437,0,0,0,17704,0,752,308
2041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2044,11468346,1858181,919338,0,254214,3054289,5382324,0,342377,168143,73249,0,0,0,100985,0,2328,1294
2045,6889865,753387,423718,0,12124,2141892,3558744,0,191871,101039,30582,0,0,0,60250,0,1375,579
2046,6806296,881486,393948,0,88554,2198546,3243762,0,246283,80377,117298,0,0,0,48608,0,1351,596
2047,13199959,1992956,1069148,0,7973,3515260,6614622,0,441378,178795,154591,0,0,0,107992,0,2659,1454
2048,4371652,750008,341432,0,15281,1824856,1440075,0,171439,94787,20164,0,0,0,56488,0,961,432
2049,1347637,436571,311222,0,0,599844,0,0,101310,50918,20095,0,0,0,30297,0,313,129
2050,4183751,693447,309268,0,161124,1870504,1149408,0,170249,55892,80671,0,0,0,33686,0,842,369
2051,737672,300340,125950,0,87079,224303,0,0,90190,29515,42893,0,0,0,17782,0,191,74
2052,35294,22199,7357,0,5738,0,0,0,5228,2300,1735,0,0,0,1193,0,10,4
2053,135605,13908,29091,0,816,56290,35500,0,1337,505,639,0,0,0,193,0,1292,695
2054,542393,281139,80927,0,91687,88640,0,0,69719,33165,16762,0,0,0,19792,0,143,55
2055,8924722,986490,465940,0,748426,2238086,4485780,0,90709,52379,7397,0,0,0,30933,0,2533,1316
2056,306036,28354,73718,0,249,94263,109452,0,2698,1309,911,0,0,0,478,0,1888,864
2057,60786,4598,24568,0,0,31620,0,0,0,0,0,0,0,0,0,0,1557,657
2058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2061,286303,205369,72780,0,8154,0,0,0,71807,40754,7100,0,0,0,23953,0,160,74
2062,1057107,324341,207952,0,14490,479180,31144,0,97521,42695,29418,0,0,0,25408,0,350,144
2063,18093898,3698034,1882612,0,277447,4930433,7305372,0,989134,375768,385704,0,0,0,227662,0,3851,2566
2064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,1691196,486330,372884,0,158894,662036,11052,0,112047,25976,70249,0,0,0,15822,0,353,159
2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,138387,71773,40178,0,16404,10032,0,0,24222,10640,7297,0,0,0,6285,0,144,54
2071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2073,210648,156971,53677,0,0,0,0,0,66667,28016,21932,0,0,0,16719,0,129,48
2074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2078,7386,3364,2792,0,1230,0,0,0,1125,174,869,0,0,0,82,0,2,0
2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2081,77314,38036,36105,0,3173,0,0,0,14409,5860,5485,0,0,0,3064,0,122,44
2082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2087,184970,14139,46678,0,818,63273,60062,0,2391,430,1762,0,0,0,199,0,1734,756
2088,76415,32155,44260,0,0,0,0,0,16252,5778,7344,0,0,0,3130,0,34,12
2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2098,945,670,218,0,57,0,0,0,195,21,167,0,0,0,7,0,3,1
2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
