"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6305,16504777,13836198,2668579,1195176,499884,973519,2254,187,2067,2301,229,2072,12897110,2010,13836198,3429084,2444981,0,369780,3324004,4268349,0,499884,297792,23954,0,0,0,178138,0,5314,4004
2011,7568,7568,7578,6310,15292570,11991261,3301309,1989959,665216,646134,1148,190,958,1191,230,961,20241320,2011,11991261,3468446,1850298,0,585115,2890608,3196794,0,665216,366710,78651,0,0,0,219855,0,6420,5119
2012,7568,7568,7578,6338,15374549,13538934,1835615,435956,431773,967886,4130,171,3959,4179,212,3967,3638909,2012,13538934,2470819,1223304,0,262658,3788965,5793188,0,431773,220128,79563,0,0,0,132082,0,3438,2159
2013,7568,7568,7578,6322,34438032,29609210,4828822,1325176,1137576,2366070,1336,196,1140,1377,231,1146,0,2013,29609210,8985102,4988243,0,894828,7280937,7460100,0,1137576,398341,496769,0,0,0,242466,0,6232,4945
2014,7568,7568,7578,7528,436554,242741,193813,32779,49292,111742,7489,73,7416,7498,78,7420,0,2014,242741,184250,56690,0,1801,0,0,0,49292,27053,6134,0,0,0,16105,0,79,30
2015,7568,7568,7578,6322,34889428,26763771,8125657,5063392,1965034,1097231,373,194,179,411,230,181,4878782,2015,26763771,8499536,2342682,0,2294347,6727068,6900138,0,1965034,888312,540267,0,0,0,536455,0,7195,5911
2016,7568,7568,7578,7567,51663,32738,18925,956,3028,14941,7551,83,7468,7560,93,7467,42279,2016,32738,22784,9176,0,778,0,0,0,3028,2139,0,0,0,0,889,0,17,7
2017,7568,7568,7578,7276,1763832,1526974,236858,15579,69870,151409,7066,85,6981,7068,79,6989,1016247,2017,1526974,322874,135216,0,63578,790769,214537,0,69870,28987,23854,0,0,0,17029,0,502,208
2018,7568,7568,7578,6336,20512512,17518226,2994286,998583,818158,1177545,3856,168,3688,3905,210,3695,0,2018,17518226,3508696,1816174,0,108242,4790794,7294320,0,818158,359317,242051,0,0,0,216790,0,3712,2431
2019,7568,7568,7578,6751,4564957,4227588,337369,3865,85781,247723,6042,90,5952,6058,96,5962,3887815,2019,4227588,584803,273955,0,0,1274100,2094730,0,85781,33012,32989,0,0,0,19780,0,1526,693
2020,7568,7568,7578,7396,1674378,1492862,181516,200,42874,138442,7265,63,7202,7269,61,7208,0,2020,1492862,418125,284785,0,105196,668178,16578,0,42874,15523,18124,0,0,0,9227,0,303,127
2021,7568,7568,7578,7459,1071689,887128,184561,1208,44502,138851,7374,47,7327,7383,47,7336,355,2021,887128,310506,138107,0,93032,345483,0,0,44502,18886,14371,0,0,0,11245,0,194,76
2022,7568,7568,7578,6724,9228420,8246742,981678,172563,271569,537546,5898,103,5795,5916,113,5803,0,2022,8246742,1213515,394711,0,253436,1903494,4481586,0,271569,128843,65342,0,0,0,77384,0,1670,808
2023,7568,7568,7578,6518,13455810,11892430,1563380,284633,421267,857480,5133,133,5000,5156,154,5002,0,2023,11892430,2069610,802147,0,285612,3026703,5708358,0,421267,188399,119525,0,0,0,113343,0,2435,1362
2024,7568,7568,7578,6313,36886050,30984806,5901244,2269684,1065309,2566251,893,195,698,932,233,699,0,2024,30984806,9622235,4446705,0,1421905,7818347,7675614,0,1065309,545363,192008,0,0,0,327938,0,6675,5381
2025,7568,7568,7578,6501,12941892,11998895,942997,57433,294131,591433,5226,109,5117,5255,135,5120,0,2025,11998895,1579845,623788,0,560443,3272265,5962554,0,294131,99761,133940,0,0,0,60430,0,2342,1246
2026,7568,7568,7578,7493,740484,452934,287550,28429,79818,179303,7434,39,7395,7442,39,7403,0,2026,452934,302072,89953,0,23217,37692,0,0,79818,38022,19094,0,0,0,22702,0,134,51
2027,7568,7568,7578,6333,22385675,19289165,3096510,1282731,684672,1129107,3423,165,3258,3469,202,3267,519695,2027,19289165,3636612,2181873,0,1322484,4860702,7287494,0,684672,372890,88019,0,0,0,223763,0,4145,2864
2028,7568,7568,7578,6660,7792938,6981553,811385,86477,235138,489770,5722,130,5592,5751,150,5601,2420868,2028,6981553,1079540,538069,0,40862,1774262,3548820,0,235138,95847,81652,0,0,0,57639,0,1846,909
2029,7568,7568,7578,6920,3070156,2840921,229235,15315,53071,160849,6437,97,6340,6464,116,6348,3196628,2029,2840921,332872,167615,0,25624,1050552,1264258,0,53071,27284,9945,0,0,0,15842,0,1131,456
2030,7568,7568,7578,7578,0,0,0,0,0,0,7568,19,7549,7578,24,7554,0,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,7568,7568,7578,7334,2238030,1845277,392753,9953,93822,288978,7163,65,7098,7165,59,7106,0,2031,1845277,564556,238405,0,0,931796,110520,0,93822,44622,22650,0,0,0,26550,0,405,169
2032,7568,7568,7578,6323,14669074,12545117,2123957,793844,387002,943111,1807,193,1614,1845,226,1619,17211947,2032,12545117,3315839,1494881,0,542059,3263234,3929104,0,387002,214102,44892,0,0,0,128008,0,5761,4478
2033,7568,7568,7578,6316,16184833,13900169,2284664,979674,576625,728365,3854,170,3684,3899,207,3692,4355164,2033,13900169,2360492,1510295,0,174249,3799833,6055300,0,576625,298075,99587,0,0,0,178963,0,3714,2417
2034,7568,7568,7578,7397,1081622,841325,240297,19690,57896,162711,7282,57,7225,7284,50,7234,498814,2034,841325,299933,178132,0,0,363260,0,0,57896,29731,10624,0,0,0,17541,0,286,113
