"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6310,23034177,18751803,4282374,1961696,822190,1498488,743,190,553,788,231,557,14718903
2011,7568,7568,7578,6322,30945600,25563770,5381830,2523117,1089657,1769056,1968,197,1771,2010,233,1777,0
2012,7568,7568,7578,6322,31232952,26081501,5151451,2317020,1117674,1716757,1916,196,1720,1959,232,1727,0
2013,7568,7568,7578,6331,24599132,22498911,2100221,324792,300288,1475141,2740,178,2562,2783,218,2565,2084140
2014,7568,7568,7578,6324,22349554,20290359,2059195,484143,321635,1253417,2200,190,2010,2242,227,2015,7334429
2015,7568,7568,7578,6322,29315430,26234549,3080881,741480,628475,1710926,2263,194,2069,2305,230,2075,0
2016,7568,7568,7578,6340,18256090,15886443,2369647,545495,522589,1301563,3598,156,3442,3646,197,3449,3693636
2017,7568,7568,7578,6892,6187478,5750231,437247,19941,80164,337142,6261,106,6155,6286,122,6164,1040457
2018,7568,7568,7578,6268,24938838,22221813,2717025,596905,545704,1574416,3055,159,2896,3105,203,2902,0
2019,7568,7568,7578,6310,26541378,22856502,3684876,1065507,760792,1858577,2765,180,2585,2812,219,2593,0
2020,7568,7568,7578,6535,12433500,11769173,664327,78909,138195,447223,5318,116,5202,5346,138,5208,0
2021,7568,7568,7578,6322,7370281,6190228,1180053,568618,234535,376900,511,196,315,547,231,316,31700711
2022,7568,7568,7578,6331,24540966,20889448,3651518,1065571,719532,1866415,3127,183,2944,3165,216,2949,0
2023,7568,7568,7578,6322,38241411,32217063,6024348,2264236,1030881,2729231,501,198,303,536,234,302,810981
2024,7568,7568,7578,6329,23054472,18557631,4496841,2609422,926896,960523,3396,171,3225,3437,208,3229,0
2025,7568,7568,7578,6313,22073705,19179635,2894070,925257,594114,1374699,1078,196,882,1118,234,884,13829140
2026,7568,7568,7578,7575,27630,17215,10415,352,1824,8239,7563,59,7504,7573,63,7510,0
2027,7568,7568,7578,6346,20678292,18189241,2489051,797174,524831,1167046,3826,151,3675,3876,193,3683,0
2028,7568,7568,7578,6288,20685649,18691760,1993889,1253396,388928,351565,603,187,416,651,233,418,17847707
2029,7568,7568,7578,6315,23225739,19482906,3742833,1785273,870513,1087047,3354,181,3173,3397,216,3181,60825
2030,7568,7568,7578,6267,22672625,18163655,4508970,2866323,1022109,620538,956,185,771,1001,229,772,13904342
2031,7568,7568,7578,6323,24908822,20260835,4647987,2419273,980642,1248072,2168,187,1981,2209,224,1985,4947984
2032,7568,7568,7578,6325,22943952,20445334,2498618,521376,427940,1549302,3416,170,3246,3459,208,3251,0
2033,7568,7568,7578,6330,24441917,21484610,2957307,1155417,571356,1230534,3103,177,2926,3143,215,2928,231673
2034,7568,7568,7578,6312,19959340,16976252,2983088,1353593,513790,1115705,780,187,593,820,227,593,17596364
2035,7568,7568,7578,6291,10411030,8745972,1665058,631260,309982,723816,2300,178,2122,2348,222,2126,18756685
2036,7568,7568,7578,6310,8903922,7728096,1175826,418818,200387,556621,2343,185,2158,2388,224,2164,20033410
2037,7568,7568,7578,6294,27983664,23946698,4036966,1185750,723937,2127279,2504,188,2316,2551,231,2320,0
2038,7568,7568,7578,7351,2238030,1867366,370664,2192,92366,276106,7163,73,7090,7163,69,7094,0
2039,7568,7568,7578,6672,10280152,9666352,613800,8008,119977,485815,5707,140,5567,5732,160,5572,3734
2040,7568,7568,7578,7063,3516469,3193780,322689,13811,66983,241895,6654,114,6540,6682,137,6545,1541027
2041,7568,7568,7578,6454,15799199,14001297,1797902,743115,343927,710860,3386,186,3200,3416,214,3202,7330779
2042,7568,7568,7578,6277,35908899,29851352,6057547,2627607,1381625,2048315,1019,184,835,1066,228,838,280975
2043,7568,7568,7578,6734,4507950,4206728,301222,5917,74313,220992,6021,87,5934,6040,99,5941,4060448
2044,7568,7568,7578,6384,12823798,11983815,839983,286202,212052,341729,4766,150,4616,4814,192,4622,2670302
2045,7568,7568,7578,6294,6073864,5370982,702882,210665,149709,342508,2534,186,2348,2582,229,2353,21813215
2046,7568,7568,7578,6323,31459518,25497709,5961809,2624168,1176260,2161381,1875,189,1686,1913,224,1689,0
2047,7568,7568,7578,6324,20722500,17546065,3176435,1218691,805089,1152655,3818,177,3641,3860,210,3650,0
2048,7568,7568,7578,6482,14093763,12620711,1473052,393127,315333,764592,5003,151,4852,5032,174,4858,80427
2049,7568,7568,7578,6302,20044557,16624263,3420294,1678322,911953,830019,2960,174,2786,3007,217,2790,5439197
2050,7568,7568,7578,7574,21630,14925,6705,784,1356,4565,7561,37,7524,7571,43,7528,17052
2051,7568,7568,7578,7567,93942,59411,34531,1638,7163,25730,7551,34,7517,7560,39,7521,0
2052,7568,7568,7578,7576,11052,7992,3060,6,567,2487,7566,68,7498,7575,72,7503,0
2053,7568,7568,7578,7468,841320,620029,221291,3450,56604,161237,7390,45,7345,7399,51,7348,142308
2054,7568,7568,7578,6348,21197736,18284913,2912823,1165640,711950,1035233,3732,170,3562,3772,206,3566,0
2055,7568,7568,7578,6323,13012524,10983570,2028954,867441,459716,701797,1515,203,1312,1552,238,1314,20497792
2056,7568,7568,7578,7489,812322,536080,276242,25967,64922,185353,7421,49,7372,7432,52,7380,0
2057,7568,7568,7578,6312,14913805,13165753,1748052,1169834,361334,216884,2064,195,1869,2105,232,1873,15549572
2058,7568,7568,7578,6521,4117635,3738851,378784,47937,77569,253278,5549,134,5415,5574,155,5419,7078046
2059,7568,7568,7578,6322,27457844,23273227,4184617,1340038,927843,1916736,2599,188,2411,2639,225,2414,850
2060,7568,7568,7578,6545,9351249,8474701,876548,200133,189718,486697,5593,110,5483,5618,131,5487,1571170
2061,7568,7568,7578,6313,16727314,15546333,1180981,643812,256755,280414,2330,193,2137,2370,229,2141,12258286
2062,7568,7568,7578,6323,13792801,12200968,1591833,446252,377188,768393,3295,172,3123,3338,208,3130,9836871
2063,7568,7568,7578,6598,11496893,10432084,1064809,239822,266475,558512,5484,132,5352,5505,148,5357,19291
2064,7568,7568,7578,6325,14243826,12431085,1812741,536358,427995,848388,3915,163,3752,3959,201,3758,5969430
2065,7568,7568,7578,6330,23000702,19739218,3261484,971129,633910,1656445,3091,168,2923,3134,204,2930,1743519
2066,7568,7568,7578,6324,13369568,11921051,1448517,772887,264032,411598,2342,182,2160,2379,219,2160,15551203
2067,7568,7568,7578,6288,5944880,5379560,565320,171371,152237,241712,4357,165,4192,4405,207,4198,11823680
2068,7568,7568,7578,6376,15119136,14004904,1114232,29160,226598,858474,4832,139,4693,4879,181,4698,0
2069,7568,7568,7578,6544,10518673,9522865,995808,126500,215238,654070,5346,102,5244,5368,120,5248,1768393
2070,7568,7568,7578,6551,11516184,10377328,1138856,156953,367197,614706,5484,129,5355,5510,150,5360,0
2071,7568,7568,7578,7577,11052,6784,4268,648,730,2890,7566,44,7522,7577,50,7527,0
2072,7568,7568,7578,6813,7802712,7088076,714636,121753,181623,411260,6156,131,6025,6178,147,6031,0
2073,7568,7568,7578,6326,19612327,17209271,2403056,712771,647527,1042758,3920,176,3744,3963,210,3753,546721
2074,7568,7568,7578,6987,38682,38682,0,0,0,0,6558,59,6499,6585,78,6507,5570208
2075,7568,7568,7578,6625,6421218,5746777,674441,140805,157669,375967,5682,115,5567,5703,131,5572,4021918
