"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,18751803,6197368,1991578,0,1119731,4818087,4625039,0,822190,428402,136535,0,0,0,257253,0,6825,5522
2011,25563770,6923464,2389600,0,2074332,6716274,7460100,0,1089657,599954,129357,0,0,0,360346,0,5600,4312
2012,26081501,6998866,5277315,0,273087,6066607,7465626,0,1117674,529182,269545,0,0,0,318947,0,5652,4363
2013,22498911,5142939,4417872,0,268993,5596028,7073079,0,300288,160378,43802,0,0,0,96108,0,4828,3548
2014,20290359,4465004,3176773,0,1284940,5348153,6015489,0,321635,165450,56947,0,0,0,99238,0,5368,4082
2015,26234549,6739306,3581606,0,1307833,7151230,7454574,0,628475,279049,181039,0,0,0,168387,0,5305,4017
2016,15886443,3758525,1606751,0,16826,4356797,6147544,0,522589,232733,149598,0,0,0,140258,0,3970,2694
2017,5750231,750610,344225,0,265221,1736602,2653573,0,80164,48114,3528,0,0,0,28522,0,1307,606
2018,22221813,5233414,2651373,0,1117639,5792443,7426944,0,545704,263402,123760,0,0,0,158542,0,4513,3163
2019,22856502,5747683,2726576,0,430394,6486223,7465626,0,760792,370924,166488,0,0,0,223380,0,4803,3498
2020,11769173,1551307,715770,0,880092,2996536,5625468,0,138195,80337,10072,0,0,0,47786,0,2250,1189
2021,6190228,1623164,1138251,0,374038,1464489,1590286,0,234535,124165,36743,0,0,0,73627,0,7057,5775
2022,20889448,5454898,2272628,0,81900,5780176,7299846,0,719532,360439,142185,0,0,0,216908,0,4441,3166
2023,32217063,10204830,5115344,0,970181,8232140,7694568,0,1030881,537650,169980,0,0,0,323251,0,7067,5786
2024,18557631,4025909,1425927,0,216167,5562152,7327476,0,926896,575274,7053,0,0,0,344569,0,4172,2892
2025,19179635,5502969,3651705,0,836211,4660495,4528255,0,594114,254468,186043,0,0,0,153603,0,6490,5195
2026,17215,12050,4951,0,214,0,0,0,1824,1030,433,0,0,0,361,0,5,2
2027,18189241,3563709,1662220,0,988086,4796952,7178274,0,524831,280759,75568,0,0,0,168504,0,3742,2470
2028,18691760,3633454,2249398,0,4738221,3918078,4152609,0,388928,233720,15709,0,0,0,139499,0,6965,5637
2029,19482906,3970479,2837957,0,491608,4789074,7393788,0,870513,462468,130349,0,0,0,277696,0,4214,2918
2030,18163655,4675762,3332902,0,1661955,3974654,4518382,0,1022109,514176,198773,0,0,0,309160,0,6612,5266
2031,20260835,5138447,3139524,0,652554,5196000,6134310,0,980642,526083,138617,0,0,0,315942,0,5400,4114
2032,20445334,4339766,2560016,0,520534,5631230,7393788,0,427940,255571,19527,0,0,0,152842,0,4152,2866
2033,21484610,4886181,2247259,0,1532411,5518913,7299846,0,571356,338105,30752,0,0,0,202499,0,4465,3187
2034,16976252,5033061,2976167,0,1121659,3732534,4112831,0,513790,316895,7510,0,0,0,189385,0,6788,5492
2035,8745972,2349053,958330,0,412472,2350601,2675516,0,309982,177887,25936,0,0,0,106159,0,5268,3943
2036,7728096,1936960,814710,0,459039,2110654,2406733,0,200387,125714,0,0,0,0,74673,0,5225,3922
2037,23946698,6352876,3075233,0,585936,6461501,7471152,0,723937,391966,96691,0,0,0,235280,0,5064,3743
2038,1867366,596089,216178,0,118805,869982,66312,0,92366,37409,32525,0,0,0,22432,0,405,188
2039,9666352,1292083,736561,0,524476,2438236,4674996,0,119977,57823,27651,0,0,0,34503,0,1861,940
2040,3193780,487255,336441,0,2712,1302861,1064511,0,66983,37636,7160,0,0,0,22187,0,914,381
2041,14001297,3585056,1380665,0,1574712,3149018,4311846,0,343927,204587,17090,0,0,0,122250,0,4182,3038
2042,29851352,8671402,5532619,0,1075829,7083872,7487630,0,1381625,594349,428052,0,0,0,359224,0,6549,5211
2043,4206728,523856,271060,0,42877,1252918,2116017,0,74313,30032,26362,0,0,0,17919,0,1547,694
2044,11983815,1434961,888318,0,888070,2876402,5896064,0,212052,115910,27122,0,0,0,69020,0,2802,1570
2045,5370982,1316049,713298,0,309622,1409562,1622451,0,149709,70440,37395,0,0,0,41874,0,5034,3712
2046,25497709,7581239,1935128,0,1449264,7094082,7437996,0,1176260,637899,154970,0,0,0,383391,0,5693,4410
2047,17546065,3444750,1317208,0,292644,5114253,7377210,0,805089,399117,165989,0,0,0,239983,0,3750,2464
2048,12620711,1898145,1095689,0,484044,3235539,5907294,0,315333,197451,0,0,0,0,117882,0,2565,1450
2049,16624263,3640087,2309065,0,703926,4298868,5672317,0,911953,412324,251084,0,0,0,248545,0,4608,3295
2050,14925,8129,5514,0,1282,0,0,0,1356,460,694,0,0,0,202,0,7,3
2051,59411,41614,15276,0,2521,0,0,0,7163,4036,892,0,0,0,2235,0,17,7
2052,7992,4676,2770,0,546,0,0,0,567,184,301,0,0,0,82,0,2,1
2053,620029,329977,167568,0,20405,102079,0,0,56604,23636,18846,0,0,0,14122,0,178,69
2054,18284913,3895836,1455600,0,1042136,4807009,7084332,0,711950,353096,146622,0,0,0,212232,0,3836,2576
2055,10983570,3145980,2262169,0,212302,2520799,2842320,0,459716,195884,146107,0,0,0,117725,0,6053,4771
2056,536080,336818,96116,0,66739,36407,0,0,64922,36367,7098,0,0,0,21457,0,147,57
2057,13165753,2575607,1351193,0,2159742,3228090,3851121,0,361334,220911,8663,0,0,0,131760,0,5504,4207
2058,3738851,494807,262058,0,0,912716,2069270,0,77569,46287,4003,0,0,0,27279,0,2019,947
2059,23273227,6154718,2701656,0,517403,6455928,7443522,0,927843,422846,249943,0,0,0,255054,0,4969,3683
2060,8474701,1043869,547465,0,111512,2039096,4732759,0,189718,118927,0,0,0,0,70791,0,1975,927
2061,15546333,2584400,1764890,0,3342493,3617665,4236885,0,256755,144576,26188,0,0,0,85991,0,5238,3943
2062,12200968,2506275,2249489,0,216740,2975857,4252607,0,377188,164753,113593,0,0,0,98842,0,4273,2985
2063,10432084,1458089,871221,0,582264,2431064,5089446,0,266475,133949,52334,0,0,0,80192,0,2084,1093
2064,12431085,2193335,1618045,0,162626,3325774,5131305,0,427995,221931,73067,0,0,0,132997,0,3653,2366
2065,19739218,4874377,2123842,0,152272,5595970,6992757,0,633910,337981,92879,0,0,0,203050,0,4477,3196
2066,11921051,2374301,1198971,0,1153099,3221051,3973629,0,264032,165451,0,0,0,0,98581,0,5226,3945
2067,5379560,707043,986859,0,22215,1502188,2161255,0,152237,71722,37770,0,0,0,42745,0,3211,1883
2068,14004904,2132417,1129616,0,192980,3653443,6896448,0,226598,111115,48943,0,0,0,66540,0,2736,1497
2069,9522865,1386252,502179,0,380300,2410554,4843580,0,215238,115969,30039,0,0,0,69230,0,2222,1176
2070,10377328,1488831,874759,0,148301,2405749,5459688,0,367197,136601,148013,0,0,0,82583,0,2084,1041
2071,6784,4296,1486,0,1002,0,0,0,730,260,328,0,0,0,142,0,2,0
2072,7088076,967775,428253,0,113421,2213293,3365334,0,181623,94979,30050,0,0,0,56594,0,1412,635
2073,17209271,3119041,1850914,0,301065,4702787,7235464,0,647527,291262,180820,0,0,0,175445,0,3648,2363
2074,38682,2896,15029,0,0,20757,0,0,0,0,0,0,0,0,0,0,1010,402
2075,5746777,817909,385687,0,86247,1437190,3019744,0,157669,89435,15091,0,0,0,53143,0,1886,922
2076,12682626,1804834,1203147,0,155185,3294628,6224832,0,354550,220934,1623,0,0,0,131993,0,2918,1611
2077,26050917,6026009,5289041,0,1267116,6008651,7460100,0,950408,409850,293013,0,0,0,247545,0,5420,4115
2078,7573,6027,1546,0,0,0,0,0,1368,424,753,0,0,0,191,0,3,1
2079,2539,1622,524,0,393,0,0,0,482,108,317,0,0,0,57,0,1,0
2080,1952444,521687,192325,0,103904,863754,270774,0,96866,50408,16608,0,0,0,29850,0,421,178
2081,897929,145141,252474,0,45175,272159,182980,0,23099,12590,4670,0,0,0,5839,0,4287,3003
2082,11850350,1704028,1491161,0,111184,2732227,5811750,0,337355,113199,155678,0,0,0,68478,0,2466,1331
2083,1417312,379058,288057,0,150208,599989,0,0,36384,15820,11161,0,0,0,9403,0,287,113
2084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2086,741309,324286,196868,0,116957,103198,0,0,71688,31307,21687,0,0,0,18694,0,179,69
2087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2088,126854,12811,57863,0,0,56180,0,0,526,361,0,0,0,0,165,0,3163,1880
2089,5539034,613143,683723,0,17647,1286668,2937853,0,164303,97179,9356,0,0,0,57768,0,2423,1197
2090,4640629,498284,477601,0,139466,1039518,2485760,0,111187,65907,6575,0,0,0,38705,0,1971,947
2091,1343759,192533,220738,0,7013,454935,468540,0,28594,15194,4770,0,0,0,8630,0,1111,499
2092,19252834,3735407,2195522,0,656473,5271644,7393788,0,929982,470796,176130,0,0,0,283056,0,4150,2866
2093,8293348,901052,726491,0,60767,2145556,4459482,0,226368,121806,32058,0,0,0,72504,0,1654,744
2094,188277,111019,77258,0,0,0,0,0,47978,24738,8560,0,0,0,14680,0,77,28
2095,240301,134940,77170,0,28191,0,0,0,46798,21852,11969,0,0,0,12977,0,71,28
2096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
