"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6310,23034177,18751803,4282374,1961696,822190,1498488,743,190,553,788,231,557,14718903,2010,18751803,6197368,1991578,0,1119731,4818087,4625039,0,822190,428402,136535,0,0,0,257253,0,6825,5522
2011,7568,7568,7578,6322,30945600,25563770,5381830,2523117,1089657,1769056,1968,197,1771,2010,233,1777,0,2011,25563770,6923464,2389600,0,2074332,6716274,7460100,0,1089657,599954,129357,0,0,0,360346,0,5600,4312
2012,7568,7568,7578,6322,31232952,26081501,5151451,2317020,1117674,1716757,1916,196,1720,1959,232,1727,0,2012,26081501,6998866,5277315,0,273087,6066607,7465626,0,1117674,529182,269545,0,0,0,318947,0,5652,4363
2013,7568,7568,7578,6331,24599132,22498911,2100221,324792,300288,1475141,2740,178,2562,2783,218,2565,2084140,2013,22498911,5142939,4417872,0,268993,5596028,7073079,0,300288,160378,43802,0,0,0,96108,0,4828,3548
2014,7568,7568,7578,6324,22349554,20290359,2059195,484143,321635,1253417,2200,190,2010,2242,227,2015,7334429,2014,20290359,4465004,3176773,0,1284940,5348153,6015489,0,321635,165450,56947,0,0,0,99238,0,5368,4082
2015,7568,7568,7578,6322,29315430,26234549,3080881,741480,628475,1710926,2263,194,2069,2305,230,2075,0,2015,26234549,6739306,3581606,0,1307833,7151230,7454574,0,628475,279049,181039,0,0,0,168387,0,5305,4017
2016,7568,7568,7578,6340,18256090,15886443,2369647,545495,522589,1301563,3598,156,3442,3646,197,3449,3693636,2016,15886443,3758525,1606751,0,16826,4356797,6147544,0,522589,232733,149598,0,0,0,140258,0,3970,2694
2017,7568,7568,7578,6892,6187478,5750231,437247,19941,80164,337142,6261,106,6155,6286,122,6164,1040457,2017,5750231,750610,344225,0,265221,1736602,2653573,0,80164,48114,3528,0,0,0,28522,0,1307,606
2018,7568,7568,7578,6268,24938838,22221813,2717025,596905,545704,1574416,3055,159,2896,3105,203,2902,0,2018,22221813,5233414,2651373,0,1117639,5792443,7426944,0,545704,263402,123760,0,0,0,158542,0,4513,3163
2019,7568,7568,7578,6310,26541378,22856502,3684876,1065507,760792,1858577,2765,180,2585,2812,219,2593,0,2019,22856502,5747683,2726576,0,430394,6486223,7465626,0,760792,370924,166488,0,0,0,223380,0,4803,3498
2020,7568,7568,7578,6535,12433500,11769173,664327,78909,138195,447223,5318,116,5202,5346,138,5208,0,2020,11769173,1551307,715770,0,880092,2996536,5625468,0,138195,80337,10072,0,0,0,47786,0,2250,1189
2021,7568,7568,7578,6322,7370281,6190228,1180053,568618,234535,376900,511,196,315,547,231,316,31700711,2021,6190228,1623164,1138251,0,374038,1464489,1590286,0,234535,124165,36743,0,0,0,73627,0,7057,5775
2022,7568,7568,7578,6331,24540966,20889448,3651518,1065571,719532,1866415,3127,183,2944,3165,216,2949,0,2022,20889448,5454898,2272628,0,81900,5780176,7299846,0,719532,360439,142185,0,0,0,216908,0,4441,3166
2023,7568,7568,7578,6322,38241411,32217063,6024348,2264236,1030881,2729231,501,198,303,536,234,302,810981,2023,32217063,10204830,5115344,0,970181,8232140,7694568,0,1030881,537650,169980,0,0,0,323251,0,7067,5786
