"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6309,13362239,12092346,1269893,715409,251025,303459,1769,193,1576,1812,232,1580,18741005
2011,7568,7568,7578,6312,143676,136636,7040,6428,594,18,3699,167,3532,3743,205,3538,21324834
2012,7568,7568,7578,6324,18114735,15703070,2411665,656912,563548,1191205,3503,177,3326,3548,215,3333,4366710
2013,7568,7568,7578,6325,10740509,9320482,1420027,545637,276543,597847,3458,170,3288,3503,208,3295,12018050
2014,7568,7568,7578,6275,34318990,29255300,5063690,2110564,973320,1979806,884,185,699,931,229,702,2617548
2015,7568,7568,7578,6878,4859628,4418792,440836,61663,146972,232201,6320,88,6232,6342,103,6239,2048251
2016,7568,7568,7578,6651,6995353,6312815,682538,81688,147370,453480,5593,158,5435,5620,177,5443,3937587
2017,7568,7568,7578,6338,20192004,17403272,2788732,679083,715896,1393753,3914,170,3744,3959,211,3748,0
2018,7568,7568,7578,6322,31746870,28610803,3136067,1138186,577964,1419917,1823,200,1623,1863,234,1629,0
2019,7568,7568,7578,6335,3669329,3408302,261027,33246,61174,166607,3520,154,3366,3564,194,3370,18765304
2020,7568,7568,7578,6336,12061013,10925335,1135678,314308,252181,569189,4213,165,4048,4259,203,4056,6504743
2021,7568,7568,7578,6286,30579393,24289857,6289536,3969045,1480307,840184,818,184,634,865,230,635,6739522
2022,7568,7568,7578,6355,5272118,4820684,451434,129393,121654,200387,4795,145,4650,4841,187,4654,10094334
2023,7568,7568,7578,6650,5496672,5027608,469064,52543,124002,292519,5842,123,5719,5865,136,5729,4064814
2024,7568,7568,7578,6292,21540348,18664064,2876284,1081884,568219,1226181,3670,158,3512,3722,203,3519,0
2025,7568,7568,7578,6266,16033419,13216144,2817275,1840108,647192,329975,334,183,151,377,226,151,24001403
2026,7568,7568,7578,6344,27663156,23119561,4543595,1859429,1215307,1468859,2562,188,2374,2600,225,2375,0
2027,7568,7568,7578,7526,453132,329037,124095,879,24586,98630,7486,36,7450,7495,36,7459,0
2028,7568,7568,7578,6926,5305865,4902887,402978,41732,111413,249833,6431,110,6321,6453,122,6331,982321
2029,7568,7568,7578,6324,15355152,13450514,1904638,800851,436293,667494,2845,165,2680,2886,201,2685,10776243
