"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,12092346,2584243,1864556,0,1883881,2635419,3124247,0,251025,153292,6563,0,0,0,91170,0,5799,4497
2011,136636,13709,68735,0,468,53724,0,0,594,398,1,0,0,0,195,0,3869,2569
2012,15703070,3425110,2250818,0,226982,3936774,5863386,0,563548,257380,151245,0,0,0,154923,0,4065,2776
2013,9320482,1785369,1083927,0,548308,2398199,3504679,0,276543,171891,2232,0,0,0,102420,0,4110,2822
2014,29255300,8303667,6664525,0,948759,6279975,7058374,0,973320,492592,184446,0,0,0,296282,0,6684,5344
2015,4418792,551899,288690,0,29478,1512686,2036039,0,146972,56285,56914,0,0,0,33773,0,1248,536
2016,6312815,1023139,528495,0,154939,1539026,3067216,0,147370,79392,20707,0,0,0,47271,0,1975,1031
2017,17403272,3671507,1383324,0,218396,4907563,7222482,0,715896,314779,211182,0,0,0,189935,0,3654,2379
2018,28610803,6657394,5797905,0,2219816,6481114,7454574,0,577964,322396,62227,0,0,0,193341,0,5745,4459
2019,3408302,465150,336098,0,52639,980731,1573684,0,61174,26511,19272,0,0,0,15391,0,4048,2771
2020,10925335,1698896,867198,0,536978,2993827,4828436,0,252181,145434,20063,0,0,0,86684,0,3355,2077
2021,24289857,6468653,4556658,0,1706860,5464656,6093030,0,1480307,709171,343747,0,0,0,427389,0,6750,5421
2022,4820684,605388,577677,0,86549,1210329,2340741,0,121654,61050,24560,0,0,0,36044,0,2773,1514
2023,5027608,617689,489663,0,0,1236336,2683920,0,124002,56540,33803,0,0,0,33659,0,1726,785
2024,18664064,3704422,1463206,0,878149,5207921,7410366,0,568219,355491,0,0,0,0,212728,0,3898,2570
2025,13216144,3206376,2684185,0,1602962,2734701,2987920,0,647192,312468,147109,0,0,0,187615,0,7234,5889
2026,23119561,6111869,3620582,0,550657,5691335,7145118,0,1215307,475570,451413,0,0,0,288324,0,5006,3744
2027,329037,196906,130406,0,1725,0,0,0,24586,12360,4850,0,0,0,7376,0,82,31
2028,4902887,547895,293720,0,96721,1577159,2387392,0,111413,49691,32055,0,0,0,29667,0,1137,473
2029,13450514,2490981,1362886,0,977526,3828912,4790209,0,436293,214206,93687,0,0,0,128400,0,4723,3438
2030,57628,38184,15278,0,4166,0,0,0,8812,4458,1960,0,0,0,2394,0,17,7
2031,29529219,10392319,2916066,0,661541,7944465,7614828,0,1765841,897426,328030,0,0,0,540385,0,6942,5661
2032,19124366,3257190,2269462,0,1697797,4823368,7076549,0,501047,293805,31322,0,0,0,175920,0,4107,2789
2033,29340353,7239445,5823429,0,3790890,6033935,6452654,0,480478,206753,149066,0,0,0,124659,0,6600,5300
2034,12368917,1958397,993553,0,10714,3195029,6211224,0,354125,149857,114035,0,0,0,90233,0,2485,1334
2035,3716988,580892,460758,0,97823,1649147,928368,0,58016,25478,17456,0,0,0,15082,0,719,283
2036,13603258,1875302,1341153,0,871373,3571830,5943600,0,413179,238182,32543,0,0,0,142454,0,3377,2101
2037,10019503,1627828,1741571,0,801895,2250940,3597269,0,247552,154342,1512,0,0,0,91698,0,4177,2892
2038,12072362,3669161,1462125,0,879006,2999776,3062294,0,686869,385959,69515,0,0,0,231395,0,6713,5412
2039,9237224,1402568,1800926,0,97498,2176532,3759700,0,254737,123899,56842,0,0,0,73996,0,3476,2199
2040,1621088,475163,205568,0,989,850952,88416,0,109279,54337,22508,0,0,0,32434,0,368,142
2041,23570532,5793582,3062563,0,1295294,6058461,7360632,0,817150,354177,248953,0,0,0,214020,0,4885,3564
2042,8779801,1147771,663649,0,1,2211250,4757130,0,227656,108574,54222,0,0,0,64860,0,2333,1174
2043,10028719,1437643,784573,0,172434,2537629,5096440,0,184526,110537,8171,0,0,0,65818,0,2236,1161
2044,23203559,5700147,3701626,0,627760,5736030,7437996,0,1072809,428836,384206,0,0,0,259767,0,4939,3594
2045,9956162,1204798,607269,0,588962,2393849,5161284,0,150646,71971,35786,0,0,0,42889,0,1910,910
2046,12478837,1623449,930197,0,61716,3088599,6774876,0,324931,181066,35577,0,0,0,108288,0,2504,1282
2047,7313957,2054917,1099453,0,295189,1829098,2035300,0,272302,154991,25136,0,0,0,92175,0,5643,4342
2048,16425863,2916904,966736,0,242102,5016853,7283268,0,804063,242578,413222,0,0,0,148263,0,3363,2081
2049,38926,30053,8873,0,0,0,0,0,9813,4541,2767,0,0,0,2505,0,13,4
2050,2056729,585476,166797,0,100573,1065733,138150,0,85402,45905,12213,0,0,0,27284,0,445,201
2051,10696436,2233157,1342899,0,513060,2851871,3755449,0,450772,261999,32144,0,0,0,156629,0,4708,3373
2052,10016453,2577192,1894961,0,204764,2460271,2879265,0,336883,126072,134863,0,0,0,75948,0,5393,4082
2053,8514683,1051913,510124,0,0,2314021,4638625,0,142403,74951,22677,0,0,0,44775,0,1716,763
2054,13619678,1965843,1071371,0,444410,3633952,6504102,0,355852,176986,72693,0,0,0,106173,0,2725,1534
2055,7812138,1015703,603875,0,358082,1911918,3922560,0,150438,85593,13865,0,0,0,50980,0,1992,1016
2056,8111889,1013631,443851,0,182045,2267076,4205286,0,171256,99635,12195,0,0,0,59426,0,1602,718
2057,15794930,2373709,1484994,0,691226,4337501,6907500,0,486847,299510,8261,0,0,0,179076,0,3252,2016
2058,7699554,1570087,1251512,0,209802,1830724,2837429,0,254757,133793,41353,0,0,0,79611,0,4322,2985
2059,127102,12554,61749,0,0,52799,0,0,480,339,0,0,0,0,141,0,3265,1983
2060,23906792,6103157,5185360,0,1618667,4994215,6005393,0,667924,373490,70472,0,0,0,223962,0,6117,4825
2061,7486347,1454323,1042124,0,116692,1951363,2921845,0,413961,147895,176769,0,0,0,89297,0,3892,2603
2062,2957,2301,530,0,126,0,0,0,499,180,238,0,0,0,81,0,1,0
2063,15929786,2915451,1373207,0,354860,4179832,7106436,0,840766,275932,396906,0,0,0,167928,0,3312,2047
2064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2065,7202637,990402,455179,0,71726,2129980,3555350,0,236780,102085,73426,0,0,0,61269,0,1522,701
2066,13088086,2307135,1027140,0,26214,3571633,6155964,0,505814,221599,150715,0,0,0,133500,0,2702,1565
2067,88936,45048,35184,0,8704,0,0,0,11218,2585,7185,0,0,0,1448,0,21,8
2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2069,12316638,1630753,1039233,0,0,3020978,6625674,0,376576,173417,99060,0,0,0,104099,0,2473,1267
2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2071,6605166,759051,777048,0,0,1498863,3570204,0,177491,80167,49432,0,0,0,47892,0,2520,1273
2072,1175532,379614,217458,0,28906,540310,9244,0,92419,39660,29056,0,0,0,23703,0,322,130
2073,25643,16363,3537,0,5743,0,0,0,2804,1480,818,0,0,0,506,0,7,3
2074,5178256,664969,317018,0,0,2068759,2127510,0,118558,41714,51782,0,0,0,25062,0,1010,394
2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
