"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6309,13362239,12092346,1269893,715409,251025,303459,1769,193,1576,1812,232,1580,18741005,2010,12092346,2584243,1864556,0,1883881,2635419,3124247,0,251025,153292,6563,0,0,0,91170,0,5799,4497
2011,7568,7568,7578,6312,143676,136636,7040,6428,594,18,3699,167,3532,3743,205,3538,21324834,2011,136636,13709,68735,0,468,53724,0,0,594,398,1,0,0,0,195,0,3869,2569
2012,7568,7568,7578,6324,18114735,15703070,2411665,656912,563548,1191205,3503,177,3326,3548,215,3333,4366710,2012,15703070,3425110,2250818,0,226982,3936774,5863386,0,563548,257380,151245,0,0,0,154923,0,4065,2776
2013,7568,7568,7578,6325,10740509,9320482,1420027,545637,276543,597847,3458,170,3288,3503,208,3295,12018050,2013,9320482,1785369,1083927,0,548308,2398199,3504679,0,276543,171891,2232,0,0,0,102420,0,4110,2822
2014,7568,7568,7578,6275,34318990,29255300,5063690,2110564,973320,1979806,884,185,699,931,229,702,2617548,2014,29255300,8303667,6664525,0,948759,6279975,7058374,0,973320,492592,184446,0,0,0,296282,0,6684,5344
2015,7568,7568,7578,6878,4859628,4418792,440836,61663,146972,232201,6320,88,6232,6342,103,6239,2048251,2015,4418792,551899,288690,0,29478,1512686,2036039,0,146972,56285,56914,0,0,0,33773,0,1248,536
2016,7568,7568,7578,6651,6995353,6312815,682538,81688,147370,453480,5593,158,5435,5620,177,5443,3937587,2016,6312815,1023139,528495,0,154939,1539026,3067216,0,147370,79392,20707,0,0,0,47271,0,1975,1031
2017,7568,7568,7578,6338,20192004,17403272,2788732,679083,715896,1393753,3914,170,3744,3959,211,3748,0,2017,17403272,3671507,1383324,0,218396,4907563,7222482,0,715896,314779,211182,0,0,0,189935,0,3654,2379
2018,7568,7568,7578,6322,31746870,28610803,3136067,1138186,577964,1419917,1823,200,1623,1863,234,1629,0,2018,28610803,6657394,5797905,0,2219816,6481114,7454574,0,577964,322396,62227,0,0,0,193341,0,5745,4459
2019,7568,7568,7578,6335,3669329,3408302,261027,33246,61174,166607,3520,154,3366,3564,194,3370,18765304,2019,3408302,465150,336098,0,52639,980731,1573684,0,61174,26511,19272,0,0,0,15391,0,4048,2771
2020,7568,7568,7578,6336,12061013,10925335,1135678,314308,252181,569189,4213,165,4048,4259,203,4056,6504743,2020,10925335,1698896,867198,0,536978,2993827,4828436,0,252181,145434,20063,0,0,0,86684,0,3355,2077
2021,7568,7568,7578,6286,30579393,24289857,6289536,3969045,1480307,840184,818,184,634,865,230,635,6739522,2021,24289857,6468653,4556658,0,1706860,5464656,6093030,0,1480307,709171,343747,0,0,0,427389,0,6750,5421
2022,7568,7568,7578,6355,5272118,4820684,451434,129393,121654,200387,4795,145,4650,4841,187,4654,10094334,2022,4820684,605388,577677,0,86549,1210329,2340741,0,121654,61050,24560,0,0,0,36044,0,2773,1514
2023,7568,7568,7578,6650,5496672,5027608,469064,52543,124002,292519,5842,123,5719,5865,136,5729,4064814,2023,5027608,617689,489663,0,0,1236336,2683920,0,124002,56540,33803,0,0,0,33659,0,1726,785
2024,7568,7568,7578,6292,21540348,18664064,2876284,1081884,568219,1226181,3670,158,3512,3722,203,3519,0,2024,18664064,3704422,1463206,0,878149,5207921,7410366,0,568219,355491,0,0,0,0,212728,0,3898,2570
2025,7568,7568,7578,6266,16033419,13216144,2817275,1840108,647192,329975,334,183,151,377,226,151,24001403,2025,13216144,3206376,2684185,0,1602962,2734701,2987920,0,647192,312468,147109,0,0,0,187615,0,7234,5889
2026,7568,7568,7578,6344,27663156,23119561,4543595,1859429,1215307,1468859,2562,188,2374,2600,225,2375,0,2026,23119561,6111869,3620582,0,550657,5691335,7145118,0,1215307,475570,451413,0,0,0,288324,0,5006,3744
2027,7568,7568,7578,7526,453132,329037,124095,879,24586,98630,7486,36,7450,7495,36,7459,0,2027,329037,196906,130406,0,1725,0,0,0,24586,12360,4850,0,0,0,7376,0,82,31
2028,7568,7568,7578,6926,5305865,4902887,402978,41732,111413,249833,6431,110,6321,6453,122,6331,982321,2028,4902887,547895,293720,0,96721,1577159,2387392,0,111413,49691,32055,0,0,0,29667,0,1137,473
2029,7568,7568,7578,6324,15355152,13450514,1904638,800851,436293,667494,2845,165,2680,2886,201,2685,10776243,2029,13450514,2490981,1362886,0,977526,3828912,4790209,0,436293,214206,93687,0,0,0,128400,0,4723,3438
2030,7568,7568,7578,7567,93685,57628,36057,3798,8812,23447,7551,34,7517,7560,34,7526,257,2030,57628,38184,15278,0,4166,0,0,0,8812,4458,1960,0,0,0,2394,0,17,7
2031,7568,7568,7578,6323,38361492,29529219,8832273,4744945,1765841,2321487,626,196,430,662,232,430,0,2031,29529219,10392319,2916066,0,661541,7944465,7614828,0,1765841,897426,328030,0,0,0,540385,0,6942,5661
2032,7568,7568,7578,6301,21511957,19124366,2387591,1020043,501047,866501,3461,160,3301,3512,205,3307,1186116,2032,19124366,3257190,2269462,0,1697797,4823368,7076549,0,501047,293805,31322,0,0,0,175920,0,4107,2789
2033,7568,7568,7578,6309,31580475,29340353,2240122,684815,480478,1074829,968,194,774,1009,233,776,4904619,2033,29340353,7239445,5823429,0,3790890,6033935,6452654,0,480478,206753,149066,0,0,0,124659,0,6600,5300
2034,7568,7568,7578,6462,13732110,12368917,1363193,103641,354125,905427,5083,121,4962,5128,161,4967,0,2034,12368917,1958397,993553,0,10714,3195029,6211224,0,354125,149857,114035,0,0,0,90233,0,2485,1334
2035,7568,7568,7578,7165,3973194,3716988,256206,2055,58016,196135,6849,88,6761,6882,114,6768,0,2035,3716988,580892,460758,0,97823,1649147,928368,0,58016,25478,17456,0,0,0,15082,0,719,283
2036,7568,7568,7578,6337,15327111,13603258,1723853,790214,413179,520460,4191,158,4033,4236,197,4039,3346644,2036,13603258,1875302,1341153,0,871373,3571830,5943600,0,413179,238182,32543,0,0,0,142454,0,3377,2101
2037,7568,7568,7578,6324,11210694,10019503,1191191,615109,247552,328530,3391,168,3223,3432,206,3226,11915567,2037,10019503,1627828,1741571,0,801895,2250940,3597269,0,247552,154342,1512,0,0,0,91698,0,4177,2892
2038,7568,7568,7578,6309,15552478,12072362,3480116,2117511,686869,675736,855,188,667,897,228,669,21602155,2038,12072362,3669161,1462125,0,879006,2999776,3062294,0,686869,385959,69515,0,0,0,231395,0,6713,5412
2039,7568,7568,7578,6341,10297821,9237224,1060597,270275,254737,535585,4092,155,3937,4142,195,3947,8931188,2039,9237224,1402568,1800926,0,97498,2176532,3759700,0,254737,123899,56842,0,0,0,73996,0,3476,2199
2040,7568,7568,7578,7346,2033568,1621088,412480,41593,109279,261608,7200,77,7123,7204,73,7131,0,2040,1621088,475163,205568,0,989,850952,88416,0,109279,54337,22508,0,0,0,32434,0,368,142
2041,7568,7568,7578,6296,26994510,23570532,3423978,1088718,817150,1518110,2683,184,2499,2732,228,2504,0,2041,23570532,5793582,3062563,0,1295294,6058461,7360632,0,817150,354177,248953,0,0,0,214020,0,4885,3564
2042,7568,7568,7578,6456,9672585,8779801,892784,109312,227656,555816,5235,123,5112,5282,164,5118,3234214,2042,8779801,1147771,663649,0,1,2211250,4757130,0,227656,108574,54222,0,0,0,64860,0,2333,1174
2043,7568,7568,7578,6523,10981984,10028719,953265,87086,184526,681653,5332,121,5211,5362,140,5222,1377620,2043,10028719,1437643,784573,0,172434,2537629,5096440,0,184526,110537,8171,0,0,0,65818,0,2236,1161
2044,7568,7568,7578,6270,27292914,23203559,4089355,1504680,1072809,1511866,2629,171,2458,2676,215,2461,0,2044,23203559,5700147,3701626,0,627760,5736030,7437996,0,1072809,428836,384206,0,0,0,259767,0,4939,3594
2045,7568,7568,7578,6591,10554660,9956162,598498,61207,150646,386645,5658,109,5549,5681,124,5557,0,2045,9956162,1204798,607269,0,588962,2393849,5161284,0,150646,71971,35786,0,0,0,42889,0,1910,910
2046,7568,7568,7578,6395,13837104,12478837,1358267,300091,324931,733245,5064,128,4936,5113,176,4937,0,2046,12478837,1623449,930197,0,61716,3088599,6774876,0,324931,181066,35577,0,0,0,108288,0,2504,1282
2047,7568,7568,7578,6308,8766933,7313957,1452976,611112,272302,569562,1925,195,1730,1966,233,1733,22488452,2047,7313957,2054917,1099453,0,295189,1829098,2035300,0,272302,154991,25136,0,0,0,92175,0,5643,4342
2048,7568,7568,7578,6331,18583938,16425863,2158075,310551,804063,1043461,4205,176,4029,4250,213,4037,0,2048,16425863,2916904,966736,0,242102,5016853,7283268,0,804063,242578,413222,0,0,0,148263,0,3363,2081
2049,7568,7568,7578,7571,71838,38926,32912,5732,9813,17367,7555,15,7540,7567,16,7551,0,2049,38926,30053,8873,0,0,0,0,0,9813,4541,2767,0,0,0,2505,0,13,4
2050,7568,7568,7578,7321,2459070,2056729,402341,13703,85402,303236,7123,61,7062,7120,51,7069,0,2050,2056729,585476,166797,0,100573,1065733,138150,0,85402,45905,12213,0,0,0,27284,0,445,201
2051,7568,7568,7578,6282,12798939,10696436,2102503,1119639,450772,532092,2860,175,2685,2909,218,2691,13261502,2051,10696436,2233157,1342899,0,513060,2851871,3755449,0,450772,261999,32144,0,0,0,156629,0,4708,3373
2052,7568,7568,7578,6303,11425864,10016453,1409411,364257,336883,708271,2175,192,1983,2221,231,1990,18437117,2052,10016453,2577192,1894961,0,204764,2460271,2879265,0,336883,126072,134863,0,0,0,75948,0,5393,4082
2053,7568,7568,7578,6642,9197681,8514683,682998,25806,142403,514789,5852,125,5727,5879,148,5731,286445,2053,8514683,1051913,510124,0,0,2314021,4638625,0,142403,74951,22677,0,0,0,44775,0,1716,763
2054,7568,7568,7578,6433,15058350,13619678,1438672,270078,355852,812742,4843,131,4712,4899,181,4718,0,2054,13619678,1965843,1071371,0,444410,3633952,6504102,0,355852,176986,72693,0,0,0,106173,0,2725,1534
2055,7568,7568,7578,6616,8494654,7812138,682516,96250,150438,435828,5576,112,5464,5600,129,5471,2525198,2055,7812138,1015703,603875,0,358082,1911918,3922560,0,150438,85593,13865,0,0,0,50980,0,1992,1016
2056,7568,7568,7578,6703,8852652,8111889,740763,159257,171256,410250,5966,103,5863,5985,112,5873,0,2056,8111889,1013631,443851,0,182045,2267076,4205286,0,171256,99635,12195,0,0,0,59426,0,1602,718
