"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6337,12879512,11398120,1481392,427082,385580,668730,4121,160,3961,4167,196,3971,6194184
2011,7568,7568,7578,6339,13054838,12153405,901433,92424,225417,583592,4442,163,4279,4488,202,4286,4236517
2012,7568,7568,7578,6348,18434736,16617292,1817444,233592,435606,1148246,4232,159,4073,4282,201,4081,0
2013,7568,7568,7578,6940,6369058,5677377,691681,100034,143992,447655,6413,87,6326,6438,107,6331,13472
2014,7568,7568,7578,6322,35814006,29442067,6371939,4017202,1142531,1212206,1087,194,893,1124,230,894,0
2015,7568,7568,7578,6323,149202,142703,6499,5839,657,3,3311,169,3142,3355,206,3149,23463396
2016,7568,7568,7578,6325,14223813,12763652,1460161,496347,276000,687814,3563,183,3380,3607,219,3388,7939236
2017,7568,7568,7578,6322,7805851,6462701,1343150,810779,261672,270699,2218,195,2023,2259,230,2029,21827571
2018,7568,7568,7578,6322,31385676,24242927,7142749,4580946,1342810,1218993,1234,193,1041,1275,229,1046,3628773
2019,7568,7568,7578,6322,318622,307475,11147,6377,1346,3424,1619,194,1425,1659,230,1429,32653603
2020,7568,7568,7578,6667,4538796,4149703,389093,43628,74304,271161,5824,112,5712,5846,127,5719,5127938
2021,7568,7568,7578,6604,11190150,9659891,1530259,454524,437973,637762,5543,130,5413,5566,147,5419,0
2022,7568,7568,7578,6562,15024770,12641296,2383474,623184,606680,1153610,4848,151,4697,4873,173,4700,5950
2023,7568,7568,7578,6347,19406637,17335242,2071395,269073,613511,1188811,4056,154,3902,4104,193,3911,675
2024,7568,7568,7578,6383,16224336,15185172,1039164,55756,227757,755651,4632,133,4499,4682,179,4503,0
2025,7568,7568,7578,6326,21949272,19700095,2249177,520874,497774,1230529,3596,161,3435,3640,198,3442,0
2026,7568,7568,7578,6730,38944986,33338603,5606383,2030311,1975903,1600169,512,190,322,552,228,324,46470
2027,7568,7568,7578,6859,7360632,6612466,748166,94585,220613,432968,6236,112,6124,6257,127,6130,0
2028,7568,7568,7578,6619,10875168,9823729,1051439,62615,310860,677964,5600,127,5473,5621,141,5480,0
2029,7568,7568,7578,7019,3855691,3454410,401281,62711,122127,216443,6530,76,6454,6556,95,6461,1889212
2030,7568,7568,7578,6330,19131012,17176583,1954429,647236,520324,786869,4106,157,3949,4148,191,3957,0
2031,7568,7568,7578,6324,13882634,11910877,1971757,965978,487273,518506,3377,172,3205,3420,208,3212,9312933
2032,7568,7568,7578,6330,20484882,18682576,1802306,446324,414225,941757,3861,172,3689,3899,206,3693,0
2033,7568,7568,7578,6335,17887662,15927678,1959984,365200,637775,957009,4331,170,4161,4375,207,4168,0
2034,7568,7568,7578,7567,93942,52781,41161,4535,11589,25037,7551,44,7507,7560,46,7514,0
2035,7568,7568,7578,6404,17406900,15339978,2066922,469251,413177,1184494,4418,137,4281,4474,186,4288,0
2036,7568,7568,7578,6359,12368444,11187193,1181251,495664,317154,368433,4666,149,4517,4711,189,4522,3682347
2037,7568,7568,7578,6629,1139301,1095179,44122,4389,9023,30710,5866,119,5747,5900,147,5753,8312210
2038,7568,7568,7578,7352,719357,584867,134490,7561,32522,94407,7170,77,7093,7175,75,7100,1483683
2039,7568,7568,7578,7576,16578,11152,5426,20,994,4412,7565,37,7528,7575,41,7534,0
2040,7568,7568,7578,7100,4570002,4162361,407641,54106,86930,266605,6741,50,6691,6770,75,6695,0
2041,7568,7568,7578,6340,13604934,12443417,1161517,199781,253574,708162,4157,154,4003,4205,194,4011,5265080
2042,7568,7568,7578,7578,0,0,0,0,0,0,7568,45,7523,7578,49,7529,0
2043,7568,7568,7578,6324,16758195,14858471,1899724,834971,488647,576106,3182,167,3015,3222,202,3020,7490948
2044,7568,7568,7578,7564,113278,65133,48145,18812,14377,14956,7546,98,7448,7556,100,7456,8294
2045,7568,7568,7578,6477,5712672,5412069,300603,27402,64256,208945,5440,114,5326,5476,144,5332,6078149
2046,7568,7568,7578,6324,27448599,22872539,4576060,2758857,1047232,769971,2260,198,2062,2300,231,2069,1888052
2047,7568,7568,7578,6372,7655300,6616322,1038978,360908,237632,440438,4567,168,4399,4607,204,4403,8967658
2048,7568,7568,7578,6324,12149040,10460459,1688581,786021,431600,470960,3279,171,3108,3321,206,3115,11593712
2049,7568,7568,7578,6608,11704068,10264837,1439231,152394,389795,897042,5450,139,5311,5481,165,5316,0
2050,7568,7568,7578,6372,16025400,14936454,1088946,116156,249549,723241,4668,146,4522,4721,188,4533,0
2051,7568,7568,7578,6332,19391641,17358639,2033002,734621,557920,740461,3967,164,3803,4013,201,3812,508663
2052,7568,7568,7578,6339,16649838,15844635,805203,120439,230137,454627,4555,158,4397,4599,192,4407,0
2053,7568,7568,7578,6482,4717033,4431463,285570,4623,42182,238765,5199,133,5066,5230,156,5074,8409564
2054,7568,7568,7578,6466,13798422,12352757,1445665,154346,442577,848742,5071,126,4945,5111,159,4952,0
2055,7568,7568,7578,7392,568124,446182,121942,3862,45450,72630,7257,62,7195,7259,62,7197,1150462
2056,7568,7568,7578,7578,0,0,0,0,0,0,7568,31,7537,7578,36,7542,0
2057,7568,7568,7578,6585,10974636,9994401,980235,59000,242350,678885,5582,124,5458,5603,142,5461,0
2058,7568,7568,7578,6881,6791187,6370807,420380,32696,81566,306118,6339,91,6248,6363,107,6256,267
2059,7568,7568,7578,6325,10414257,8759073,1655184,586409,422861,645914,3454,180,3274,3500,220,3280,12367931
2060,7568,7568,7578,6324,30022758,26485719,3537039,1276687,1219648,1040704,2135,186,1949,2175,222,1953,0
2061,7568,7568,7578,7505,417732,265505,152227,10302,36682,105243,7446,46,7400,7457,49,7408,256440
2062,7568,7568,7578,6617,7631780,6814956,816824,183254,249994,383576,5707,114,5593,5729,129,5600,2666176
2063,7568,7568,7578,7461,1060992,758661,302331,18177,87005,197149,7376,46,7330,7387,52,7335,0
2064,7568,7568,7578,7006,5741514,5115562,625952,162831,166064,297057,6529,89,6440,6556,108,6448,0
2065,7568,7568,7578,7174,1763946,1542814,221132,46011,90497,84624,6813,102,6711,6844,133,6711,2420944
2066,7568,7568,7578,7578,0,0,0,0,0,0,7568,16,7552,7578,20,7558,0
2067,7568,7568,7578,7473,892396,588748,303648,83677,72258,147713,7398,46,7352,7406,51,7355,47024
2068,7568,7568,7578,6322,11021418,9889445,1131973,493405,269069,369499,2174,190,1984,2219,231,1988,18845889
2069,7568,7568,7578,6427,14643750,12879070,1764680,449678,591118,723884,4918,136,4782,4971,183,4788,150
2070,7568,7568,7578,7560,91420,63026,28394,1714,7845,18835,7540,49,7491,7550,54,7496,63308
2071,7568,7568,7578,7578,0,0,0,0,0,0,7568,36,7532,7578,40,7538,0
2072,7568,7568,7578,7573,44208,26719,17489,6575,3827,7087,7560,42,7518,7570,46,7524,0
2073,7568,7568,7578,6322,12938042,12022749,915293,193042,265039,457212,4339,164,4175,4388,205,4183,4925935
2074,7568,7568,7578,7578,0,0,0,0,0,0,7568,43,7525,7578,47,7531,0
2075,7568,7568,7578,7569,27581,20000,7581,33,1320,6228,7554,48,7506,7563,50,7513,49783
2076,7568,7568,7578,6614,10632024,9567499,1064525,214746,291035,558744,5644,121,5523,5667,135,5532,0
