"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,11398120,1978922,1135681,0,378377,3090619,4814521,0,385580,181359,95466,0,0,0,108755,0,3447,2170
2011,12153405,1760330,935565,0,633252,3346698,5477560,0,225417,99697,65878,0,0,0,59842,0,3126,1851
2012,16617292,3182200,1606637,0,422557,4398930,7006968,0,435606,189565,131903,0,0,0,114138,0,3336,2066
2013,5677377,841084,293851,0,0,2133106,2409336,0,143992,90343,0,0,0,0,53649,0,1155,502
2014,29442067,7132474,4900360,0,2634850,7054561,7719822,0,1142531,714559,0,0,0,0,427972,0,6481,5198
2015,142703,13620,71120,0,1150,56813,0,0,657,489,0,0,0,0,168,0,4257,2968
2016,12763652,2241503,2337707,0,442693,2976737,4765012,0,276000,171128,3049,0,0,0,101823,0,4005,2718
2017,6462701,1473109,1016736,0,360372,1646968,1965516,0,261672,158097,9729,0,0,0,93846,0,5350,4063
2018,24242927,6847599,4448459,0,884932,5601637,6460300,0,1342810,796317,68879,0,0,0,477614,0,6334,5047
2019,307475,24236,82371,0,1808,102773,96287,0,1346,549,521,0,0,0,276,0,5949,4663
2020,4149703,560098,355532,0,52155,1042469,2139449,0,74304,46693,259,0,0,0,27352,0,1744,821
2021,9659891,1581932,620435,0,18342,2382892,5056290,0,437973,204044,111089,0,0,0,122840,0,2025,1038
2022,12641296,2769955,956795,0,36900,3506374,5371272,0,606680,293400,136701,0,0,0,176579,0,2720,1689
2023,17335242,3526741,2015782,0,437705,4204370,7150644,0,613511,193030,302864,0,0,0,117617,0,3512,2243
2024,15185172,2197296,1571010,0,591670,3967430,6857766,0,227757,93696,77571,0,0,0,56490,0,2936,1701
2025,19700095,4225658,1720045,0,962821,4900443,7891128,0,497774,226658,134508,0,0,0,136608,0,3972,2686
2026,33338603,9515791,7145668,0,1756696,7532186,7388262,0,1975903,487295,1187168,0,0,0,301440,0,7056,6178
2027,6612466,940558,561371,0,45938,2052929,3011670,0,220613,93126,71462,0,0,0,56025,0,1332,602
2028,9823729,1651529,826797,0,17815,2398396,4929192,0,310860,107162,138803,0,0,0,64895,0,1968,998
2029,3454410,506668,238997,0,77198,1407586,1223961,0,122127,52305,38648,0,0,0,31174,0,1038,463
2030,17176583,2614117,1584811,0,924258,4792233,7261164,0,520324,244932,128165,0,0,0,147227,0,3462,2182
2031,11910877,2141747,1500938,0,694159,3188384,4385649,0,487273,240552,102455,0,0,0,144266,0,4191,2904
2032,18682576,2763795,1498924,0,1224492,4911891,8283474,0,414225,197116,98571,0,0,0,118538,0,3707,2431
2033,15927678,2585218,1406201,0,184158,4540671,7211430,0,637775,234971,260429,0,0,0,142375,0,3237,1960
2034,52781,41491,11290,0,0,0,0,0,11589,5354,3270,0,0,0,2965,0,17,7
2035,15339978,2793501,1718228,0,325382,3777725,6725142,0,413177,236131,35706,0,0,0,141340,0,3150,1930
2036,11187193,1266667,949233,0,534878,2865139,5571276,0,317154,167339,49728,0,0,0,100087,0,2902,1648
2037,1095179,86698,150094,0,33439,286744,538204,0,9023,4604,2105,0,0,0,2314,0,1702,729
2038,584867,182618,87970,0,7237,283525,23517,0,32522,16062,7126,0,0,0,9334,0,398,177
2039,11152,6680,2427,0,2045,0,0,0,994,389,431,0,0,0,174,0,3,1
2040,4162361,500563,343978,0,76473,1478553,1762794,0,86930,54631,0,0,0,0,32299,0,827,330
2041,12443417,1990365,1629388,0,620129,3121889,5081646,0,253574,122037,58527,0,0,0,73010,0,3411,2135
2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,14858471,2753702,1571953,0,2244342,3357729,4930745,0,488647,233506,115018,0,0,0,140123,0,4386,3102
2044,65133,36104,23175,0,5854,0,0,0,14377,7422,2606,0,0,0,4349,0,22,8
2045,5412069,664844,423731,0,203547,1195973,2923974,0,64256,35138,8398,0,0,0,20720,0,2128,1001
2046,22872539,4989260,3096487,0,1994189,5709834,7082769,0,1047232,552543,162595,0,0,0,332094,0,5308,4024
2047,6616322,1084619,518280,0,59223,1847937,3106263,0,237632,141744,11409,0,0,0,84479,0,3001,1765
2048,10460459,2121567,1526473,0,516417,2640035,3655967,0,431600,203532,106014,0,0,0,122054,0,4289,3003
2049,10264837,1941488,807183,0,23120,2679900,4813146,0,389795,166023,123754,0,0,0,100018,0,2118,1127
2050,14936454,2035112,1281379,0,667643,4006138,6946182,0,249549,120972,56105,0,0,0,72472,0,2900,1651
2051,17358639,2632159,1377408,0,1170418,4978722,7199932,0,557920,250681,156254,0,0,0,150985,0,3601,2319
2052,15844635,1910134,1357999,0,1274021,4135259,7167222,0,230137,97050,74872,0,0,0,58215,0,3013,1740
2053,4431463,625777,478288,0,21993,1125983,2179422,0,42182,24281,3649,0,0,0,14252,0,2369,1252
2054,12352757,1953286,1011404,0,15267,3222362,6150438,0,442577,167945,173018,0,0,0,101614,0,2497,1355
2055,446182,169900,75199,0,4037,197046,0,0,45450,12882,24865,0,0,0,7703,0,311,133
2056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2057,9994401,1529464,737704,0,84306,2442961,5199966,0,242350,108231,69090,0,0,0,65029,0,1986,982
2058,6370807,789776,337247,0,245941,2113271,2884572,0,81566,51317,0,0,0,0,30249,0,1229,518
2059,8759073,1941191,842403,0,119725,2479626,3376128,0,422861,190614,117853,0,0,0,114394,0,4114,2825
2060,26485719,5916408,3221299,0,2798544,6697022,7852446,0,1219648,331561,684356,0,0,0,203731,0,5433,4149
2061,265505,184362,59495,0,21648,0,0,0,36682,18856,6711,0,0,0,11115,0,122,48
2062,6814956,891817,552408,0,12279,1560734,3797718,0,249994,108805,75808,0,0,0,65381,0,1861,888
2063,758661,373147,176601,0,60410,148503,0,0,87005,37187,27515,0,0,0,22303,0,192,74
2064,5115562,700933,391420,0,90411,2020802,1911996,0,166064,88686,24731,0,0,0,52647,0,1039,450
2065,1542814,256050,287397,0,10342,619937,369088,0,90497,29012,44386,0,0,0,17099,0,755,330
2066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2067,588748,278738,162128,0,64689,83193,0,0,72258,44829,944,0,0,0,26485,0,170,67
2068,9889445,1762845,1934952,0,714512,2481274,2995862,0,269069,116749,82204,0,0,0,70116,0,5394,4103
2069,12879070,1879243,973733,0,72094,2836512,7117488,0,591118,230794,220841,0,0,0,139483,0,2650,1456
2070,63026,36764,15218,0,11044,0,0,0,7845,3222,2880,0,0,0,1743,0,28,10
2071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2072,26719,14731,8999,0,2989,0,0,0,3827,2490,280,0,0,0,1057,0,8,3
2073,12022749,1944718,618281,0,947883,3258788,5253079,0,265039,111759,86184,0,0,0,67096,0,3229,1934
2074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2075,20000,11565,5829,0,2606,0,0,0,1320,564,549,0,0,0,207,0,14,6
2076,9567499,1316582,582881,0,304493,2384617,4978926,0,291035,137098,71662,0,0,0,82275,0,1924,947
2077,5411391,592370,289396,0,202595,1879012,2448018,0,111287,55006,23386,0,0,0,32895,0,1057,432
2078,6757149,700465,529485,0,241376,2014431,3271392,0,137746,73693,20164,0,0,0,43889,0,1322,576
2079,153528,72204,38470,0,37637,5217,0,0,9085,4367,2207,0,0,0,2511,0,96,39
2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2082,2231325,261985,193703,0,136308,621955,1017374,0,42411,17381,15111,0,0,0,9919,0,2976,1706
2083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2084,28281,14283,8471,0,5527,0,0,0,3998,785,2874,0,0,0,339,0,7,3
2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2088,2269861,310643,285204,0,136780,1095154,442080,0,56453,23389,19028,0,0,0,14036,0,445,173
2089,23434,15750,4331,0,3353,0,0,0,3220,1849,657,0,0,0,714,0,7,3
2090,1545274,312275,155673,0,137240,784638,155448,0,59569,22163,24340,0,0,0,13066,0,380,158
2091,75543,36662,20516,0,18365,0,0,0,14795,4408,7977,0,0,0,2410,0,20,8
