"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,1390306,476007,188320,0,10580,704347,11052,0,117771,52909,33351,0,0,0,31511,0,325,132
2011,12912792,1921695,555372,0,3963,3678990,6752772,0,475121,209943,138626,0,0,0,126552,0,2632,1411
2012,27951185,7821136,3364413,0,1912288,7293780,7559568,0,963379,440298,257467,0,0,0,265614,0,5918,4633
2013,5392904,850798,328309,0,244326,1897221,2072250,0,109102,59127,14846,0,0,0,35129,0,1074,506
2014,28240090,7777215,4096542,0,1590784,7193877,7581672,0,1022537,560266,125770,0,0,0,336501,0,6108,4825
2015,9487255,1670982,733110,0,34201,2693358,4355604,0,276586,122401,80680,0,0,0,73505,0,3228,1960
2016,5666110,779377,440387,0,135764,2083604,2226978,0,137749,71994,22842,0,0,0,42913,0,1128,498
2017,12761991,1894923,879292,0,663391,3383935,5940450,0,255227,107707,82715,0,0,0,64805,0,2524,1418
2018,26455166,6460771,4570921,0,459280,6503888,8460306,0,562693,320847,49544,0,0,0,192302,0,5440,4162
2019,2585553,264334,189182,0,83057,714199,1334781,0,45655,17338,18310,0,0,0,10007,0,3016,1844
2020,1563047,445058,149414,0,28149,758068,182358,0,121926,61982,23041,0,0,0,36903,0,362,145
2021,18310297,5176730,3109015,0,1092330,4212390,4719832,0,688826,374595,89514,0,0,0,224717,0,6295,5013
2022,17325773,3182562,1712083,0,3357417,4623531,4450180,0,507521,305749,18971,0,0,0,182801,0,6019,4707
2023,15312603,3839355,2562113,0,1309008,3464618,4137509,0,554553,342943,6588,0,0,0,205022,0,5857,4557
2024,19680651,5283274,2410128,0,495538,5347678,6144033,0,1133868,566134,226869,0,0,0,340865,0,5319,3978
2025,12154507,2354371,837083,0,11399,3488565,5463089,0,590631,251935,186652,0,0,0,152044,0,2789,1697
2026,14211774,2477356,1264130,0,22293,3617859,6830136,0,468386,221415,113829,0,0,0,133142,0,2914,1683
2027,6906487,1046701,668813,0,40716,2061223,3089034,0,230053,77750,105310,0,0,0,46993,0,1374,635
2028,11245404,1827766,706139,0,490291,2778098,5443110,0,297635,139026,75242,0,0,0,83367,0,2257,1224
