"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,7373,1795950,1390306,405644,43526,117771,244347,7243,34,7209,7241,24,7217,0,2010,1390306,476007,188320,0,10580,704347,11052,0,117771,52909,33351,0,0,0,31511,0,325,132
2011,7568,7568,7578,6395,14544432,12912792,1631640,283848,475121,872671,4936,146,4790,4984,184,4800,0,2011,12912792,1921695,555372,0,3963,3678990,6752772,0,475121,209943,138626,0,0,0,126552,0,2632,1411
2012,7568,7568,7578,6323,32702868,27951185,4751683,1713424,963379,2074880,1650,194,1456,1690,232,1458,0,2012,27951185,7821136,3364413,0,1912288,7293780,7559568,0,963379,440298,257467,0,0,0,265614,0,5918,4633
2013,7568,7568,7578,7024,5934924,5392904,542020,29218,109102,403700,6494,94,6400,6518,113,6405,0,2013,5392904,850798,328309,0,244326,1897221,2072250,0,109102,59127,14846,0,0,0,35129,0,1074,506
2014,7568,7568,7578,6322,33752808,28240090,5512718,2280857,1022537,2209324,1460,195,1265,1497,231,1266,0,2014,28240090,7777215,4096542,0,1590784,7193877,7581672,0,1022537,560266,125770,0,0,0,336501,0,6108,4825
2015,7568,7568,7578,6343,10616838,9487255,1129583,147463,276586,705534,4340,166,4174,4383,204,4179,7249346,2015,9487255,1670982,733110,0,34201,2693358,4355604,0,276586,122401,80680,0,0,0,73505,0,3228,1960
2016,7568,7568,7578,6965,6233328,5666110,567218,62542,137749,366927,6440,118,6322,6467,140,6327,0,2016,5666110,779377,440387,0,135764,2083604,2226978,0,137749,71994,22842,0,0,0,42913,0,1128,498
2017,7568,7568,7578,6491,13831062,12761991,1069071,68517,255227,745327,5044,132,4912,5073,156,4917,116562,2017,12761991,1894923,879292,0,663391,3383935,5940450,0,255227,107707,82715,0,0,0,64805,0,2524,1418
2018,7568,7568,7578,6326,30061440,26455166,3606274,1141423,562693,1902158,2128,181,1947,2164,219,1945,0,2018,26455166,6460771,4570921,0,459280,6503888,8460306,0,562693,320847,49544,0,0,0,192302,0,5440,4162
2019,7568,7568,7578,6442,2747818,2585553,162265,15442,45655,101168,4552,163,4389,4598,203,4395,13976101,2019,2585553,264334,189182,0,83057,714199,1334781,0,45655,17338,18310,0,0,0,10007,0,3016,1844
