"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,18330030,3564593,2000701,0,846203,4751311,7167222,0,506300,277537,62436,0,0,0,166327,0,3773,2501
2011,18639093,3924058,2133143,0,248560,4856654,7476678,0,329897,158885,75484,0,0,0,95528,0,3729,2458
2012,23720137,5412376,2484452,0,2117927,6250808,7454574,0,900581,538118,40090,0,0,0,322373,0,5114,3825
2013,17797318,4080769,1984289,0,294634,4837833,6599793,0,625226,271033,190653,0,0,0,163540,0,4238,2950
2014,9545167,1095730,872016,0,322963,2264480,4989978,0,95782,59030,1712,0,0,0,35040,0,1832,863
2015,34324589,10887019,6259641,0,1088913,8424454,7664562,0,929112,429165,241112,0,0,0,258835,0,7195,5913
2016,9428302,1107197,659488,0,382941,2349484,4929192,0,172214,93331,23144,0,0,0,55739,0,1844,881
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,21639427,4985728,3843278,0,839575,5438790,6532056,0,437693,260656,20997,0,0,0,156040,0,4935,3649
2019,3004755,637962,553281,0,70359,785396,957757,0,63149,38864,1797,0,0,0,22488,0,7069,5740
2020,21804583,5107688,3134990,0,364146,5765289,7432470,0,648415,317131,140457,0,0,0,190827,0,4504,3155
2021,14148759,2339155,1778970,0,113940,3484430,6432264,0,536127,283250,83086,0,0,0,169791,0,2956,1764
2022,11078526,1411388,901826,0,130582,2605864,6028866,0,213606,128347,8732,0,0,0,76527,0,2185,1063
2023,16436164,2926536,1649451,0,211393,4448406,7200378,0,389864,202296,66264,0,0,0,121304,0,3310,2021
2024,25525199,6856434,3931830,0,1131769,6334080,7271086,0,855267,533199,2764,0,0,0,319304,0,5591,4276
2025,24374236,6794883,3488129,0,1001986,6395393,6693845,0,1048934,445313,334412,0,0,0,269209,0,6229,4943
2026,8455465,1093117,567970,0,195252,2294372,4304754,0,176581,96331,22875,0,0,0,57375,0,1673,783
2027,31631784,9565532,5274817,0,2246462,7084873,7460100,0,1263616,717726,115112,0,0,0,430778,0,6963,5687
2028,15945583,1879299,890232,0,2834319,3821053,6520680,0,76463,44679,5671,0,0,0,26113,0,2947,1753
2029,9773127,1403295,1048496,0,23974,2570046,4727316,0,283565,127854,79023,0,0,0,76688,0,2955,1680
2030,1393592,440053,409631,0,0,543908,0,0,93227,42129,26138,0,0,0,24960,0,314,132
2031,16354420,3470028,1047953,0,99497,4608402,7128540,0,574440,281921,123009,0,0,0,169510,0,3423,2154
2032,24763738,5329673,1633111,0,3167291,7173563,7460100,0,1032713,463067,290250,0,0,0,279396,0,5208,3898
2033,7606578,727025,408298,0,31082,2240413,4199760,0,140212,75522,19554,0,0,0,45136,0,1479,601
2034,32800774,9901493,4215948,0,3928377,7272752,7482204,0,1084701,644467,53855,0,0,0,386379,0,7034,5753
2035,23173749,7336232,3137602,0,375031,5871130,6453754,0,1245957,678305,160106,0,0,0,407546,0,6106,4805
2036,8931129,1236042,448597,0,100745,2365755,4779990,0,237739,130900,28660,0,0,0,78179,0,1796,845
2037,30111014,9070819,5020947,0,1565789,7015463,7437996,0,1099423,632119,88025,0,0,0,379279,0,6571,5292
2038,19107395,4129228,2364676,0,1391137,4895689,6326665,0,328847,183099,36141,0,0,0,109607,0,4488,3213
