"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6342,20849598,18330030,2519568,754530,506300,1258738,3795,151,3644,3841,192,3649,0,2010,18330030,3564593,2000701,0,846203,4751311,7167222,0,506300,277537,62436,0,0,0,166327,0,3773,2501
2011,7568,7568,7578,6343,20595896,18639093,1956803,248116,329897,1378790,3839,157,3682,3885,197,3688,10558,2011,18639093,3924058,2133143,0,248560,4856654,7476678,0,329897,158885,75484,0,0,0,95528,0,3729,2458
2012,7568,7568,7578,6321,28259964,23720137,4539827,2319372,900581,1319874,2454,195,2259,2496,231,2265,0,2012,23720137,5412376,2484452,0,2117927,6250808,7454574,0,900581,538118,40090,0,0,0,322373,0,5114,3825
2013,7568,7568,7578,6324,20500088,17797318,2702770,630586,625226,1446958,3330,168,3162,3374,204,3170,2928973,2013,17797318,4080769,1984289,0,294634,4837833,6599793,0,625226,271033,190653,0,0,0,163540,0,4238,2950
2014,7568,7568,7578,6621,10123055,9545167,577888,13919,95782,468187,5736,131,5605,5758,147,5611,577,2014,9545167,1095730,872016,0,322963,2264480,4989978,0,95782,59030,1712,0,0,0,35040,0,1832,863
2015,7568,7568,7578,6322,39744370,34324589,5419781,1649639,929112,2841030,373,195,178,409,231,178,15200,2015,34324589,10887019,6259641,0,1088913,8424454,7664562,0,929112,429165,241112,0,0,0,258835,0,7195,5913
2016,7568,7568,7578,6626,10189192,9428302,760890,93005,172214,495671,5724,124,5600,5745,142,5603,752,2016,9428302,1107197,659488,0,382941,2349484,4929192,0,172214,93331,23144,0,0,0,55739,0,1844,881
2017,7568,7568,7578,7578,0,0,0,0,0,0,7568,34,7534,7578,38,7540,0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7568,7568,7578,6322,24299725,21639427,2660298,669879,437693,1552726,2633,192,2441,2673,226,2447,2981783,2018,21639427,4985728,3843278,0,839575,5438790,6532056,0,437693,260656,20997,0,0,0,156040,0,4935,3649
2019,7568,7568,7578,6286,3389217,3004755,384462,145181,63149,176132,499,183,316,546,229,317,35760368,2019,3004755,637962,553281,0,70359,785396,957757,0,63149,38864,1797,0,0,0,22488,0,7069,5740
2020,7568,7568,7578,6268,24889104,21804583,3084521,906677,648415,1529429,3064,164,2900,3113,208,2905,0,2020,21804583,5107688,3134990,0,364146,5765289,7432470,0,648415,317131,140457,0,0,0,190827,0,4504,3155
2021,7568,7568,7578,6432,16334856,14148759,2186097,832298,536127,817672,4612,144,4468,4668,192,4476,0,2021,14148759,2339155,1778970,0,113940,3484430,6432264,0,536127,283250,83086,0,0,0,169791,0,2956,1764
2022,7568,7568,7578,6480,12074310,11078526,995784,163844,213606,618334,5383,127,5256,5417,155,5262,0,2022,11078526,1411388,901826,0,130582,2605864,6028866,0,213606,128347,8732,0,0,0,76527,0,2185,1063
2023,7568,7568,7578,6327,18291060,16436164,1854896,264441,389864,1200591,4258,156,4102,4306,196,4110,0,2023,16436164,2926536,1649451,0,211393,4448406,7200378,0,389864,202296,66264,0,0,0,121304,0,3310,2021
2024,7568,7568,7578,6299,30555149,25525199,5029950,2078404,855267,2096279,1977,189,1788,2023,230,1793,342830,2024,25525199,6856434,3931830,0,1131769,6334080,7271086,0,855267,533199,2764,0,0,0,319304,0,5591,4276
