"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,9803842,1121446,763415,0,358476,2465533,5094972,0,64617,38619,3144,0,0,0,22854,0,1855,866
2011,13523311,1884368,868889,0,274217,3533077,6962760,0,342361,171422,68126,0,0,0,102813,0,2690,1434
2012,24257962,6314726,3301589,0,823246,6352950,7465451,0,1038702,530140,189724,0,0,0,318838,0,5357,4067
2013,8847308,1376721,689067,0,2288,2367430,4411802,0,123300,65833,18349,0,0,0,39118,0,1745,835
2014,12126212,1667124,938160,0,418608,3101084,6001236,0,259744,140754,34890,0,0,0,84100,0,2410,1313
2015,126569,69052,20852,0,36665,0,0,0,17582,10534,868,0,0,0,6180,0,52,19
2016,8578438,1003942,525891,0,318844,2375273,4354488,0,115829,46198,41836,0,0,0,27795,0,1643,752
2017,7277672,778675,608144,0,470895,1750964,3668994,0,58068,35528,1736,0,0,0,20804,0,1631,787
2018,33346575,9481977,6876878,0,1743122,7685030,7559568,0,975363,400022,333254,0,0,0,242087,0,6901,5633
2019,8753046,1317512,437923,0,37123,2036822,4923666,0,319871,111336,141093,0,0,0,67442,0,1759,846
2020,958453,306847,180857,0,125651,345098,0,0,42548,18504,13028,0,0,0,11016,0,206,79
2021,2197852,462793,216411,0,83506,1033028,402114,0,84390,37797,24193,0,0,0,22400,0,547,239
2022,22531028,5463772,1827574,0,1539499,6245609,7454574,0,844019,462926,103145,0,0,0,277948,0,4814,3527
2023,17007541,2886167,1654662,0,1472016,4214294,6780402,0,550066,301817,67510,0,0,0,180739,0,3492,2270
2024,20924761,5155696,2725545,0,836357,5487505,6719658,0,1269388,638991,245991,0,0,0,384406,0,5244,3935
2025,23439953,6473479,2904372,0,490410,6422623,7149069,0,848602,387622,227287,0,0,0,233693,0,5306,4020
2026,19630519,4452665,2102475,0,456366,5230751,7388262,0,982652,342644,431605,0,0,0,208403,0,4139,2863
2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,13350628,2499857,1074709,0,2007906,3287904,4480252,0,231762,115389,47531,0,0,0,68842,0,4200,2955
2029,337865,30144,97615,0,6244,106256,97606,0,1326,739,228,0,0,0,359,0,6347,5061
2030,379323,216047,103286,0,59990,0,0,0,65814,31485,15555,0,0,0,18774,0,107,40
2031,19085533,4514880,1742657,0,221888,5273106,7333002,0,1222219,362364,637971,0,0,0,221884,0,4072,2790
2032,3341,2349,755,0,237,0,0,0,396,142,183,0,0,0,71,0,1,0
2033,11414036,1872369,968586,0,240618,3082763,5249700,0,396040,205761,66902,0,0,0,123377,0,2377,1358
2034,5899739,862438,526477,0,1226,1799061,2710537,0,142260,57355,50563,0,0,0,34342,0,1354,607
2035,4945745,697942,506930,0,51092,1707416,1982365,0,137763,47115,62427,0,0,0,28221,0,1049,440
2036,5972781,898440,484035,0,54444,1511587,3024275,0,224897,114448,42142,0,0,0,68307,0,1565,782
2037,9368512,1669983,1225984,0,481952,2325964,3664629,0,237203,118032,48780,0,0,0,70391,0,3196,2076
2038,429090,150791,65339,0,12141,200819,0,0,30735,14192,8252,0,0,0,8291,0,318,136
2039,19077818,3890747,2909263,0,748940,4394802,7134066,0,492835,236665,114015,0,0,0,142155,0,3866,2600
2040,813622,439619,247813,0,18603,107587,0,0,77812,32771,25544,0,0,0,19497,0,223,109
2041,6267573,731306,505523,0,168965,1916421,2945358,0,107283,45930,33717,0,0,0,27636,0,1213,517
2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,1892328,413488,189857,0,77668,963739,247576,0,72441,42846,4365,0,0,0,25230,0,498,213
