"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6322,40267962,35517761,4750201,1972038,708310,2069853,281,193,88,317,229,88,0
2011,7568,7568,7578,6515,12621384,11538742,1082642,62090,266919,753633,5284,114,5170,5307,133,5174,0
2012,7568,7568,7578,6322,37361286,32623426,4737860,2357890,820834,1559136,807,194,613,845,229,616,0
2013,7568,7568,7578,6294,22634496,19752991,2881505,619718,492938,1768849,3472,158,3314,3525,202,3323,0
2014,7568,7568,7578,6279,30033810,25303752,4730058,1724633,791355,2214070,2133,174,1959,2183,218,1965,0
2015,7568,7568,7578,6305,5216336,4314420,901916,452467,195495,253954,1663,191,1472,1711,233,1478,27496304
2016,7568,7568,7578,6345,18274482,16204908,2069574,466924,412172,1190478,4261,157,4104,4306,198,4108,0
2017,7568,7568,7578,6318,22006784,19219816,2786968,1429709,599683,757576,2240,196,2044,2282,233,2049,7458597
2018,7568,7568,7578,6322,40577418,37901151,2676267,1733836,498539,443892,225,190,35,261,226,35,0
2019,7568,7568,7578,6310,232092,211768,20324,18627,1671,26,393,189,204,434,228,206,39516426
2020,7568,7568,7578,6330,19462572,17432944,2029628,737815,553698,738115,4046,172,3874,4090,210,3880,0
2021,7568,7568,7578,6323,37463419,30690987,6772432,4035660,1184212,1552560,616,201,415,652,235,417,953810
2022,7568,7568,7578,6284,39155647,38858786,296861,220072,55769,21020,318,181,137,368,229,139,910446
2023,7568,7568,7578,6312,17881934,16162691,1719243,354180,354900,1010163,4290,162,4128,4343,205,4138,233019
2024,7568,7568,7578,6331,36991044,29316018,7675026,4476857,1341081,1857088,874,186,688,883,194,689,0
2025,7568,7568,7578,6306,39146184,32047674,7098510,3360566,1469649,2268295,484,186,298,527,227,300,0
2026,7568,7568,7578,6322,38449908,32583752,5866156,2432875,1133558,2299723,610,189,421,647,225,422,0
2027,7568,7568,7578,6324,22551606,20178295,2373311,985690,525416,862205,3487,176,3311,3528,209,3319,0
2028,7568,7568,7578,6322,15088828,12992257,2096571,743427,453886,899258,1012,194,818,1050,230,820,21197598
2029,7568,7568,7578,6658,7664867,6901522,763345,202377,161154,399814,5634,121,5513,5660,140,5520,3037487
2030,7568,7568,7578,6288,37350234,33201294,4148940,1597469,810769,1740702,809,183,626,858,229,629,0
2031,7568,7568,7578,6322,36151092,29946794,6204298,2418652,1513411,2272235,1026,193,833,1064,229,835,0
2032,7568,7568,7578,6518,13494492,12239281,1255211,186373,272002,796836,5126,118,5008,5150,138,5012,0
2033,7568,7568,7578,6325,29988154,25641790,4346364,2137527,1089863,1118974,1964,200,1764,2001,233,1768,980254
2034,7568,7568,7578,6321,21094372,17431084,3663288,1593781,798206,1271301,2208,196,2012,2249,232,2017,8537670
2035,7568,7568,7578,6471,14572062,12837042,1735020,763706,411628,559686,4931,141,4790,4966,171,4795,0
2036,7568,7568,7578,6319,39234600,32671451,6563149,4202127,1224231,1136791,468,192,276,503,228,275,0
2037,7568,7568,7578,6312,33451268,27801898,5649370,2941866,1055138,1652366,1374,192,1182,1418,232,1186,779016
2038,7568,7568,7578,6323,13770369,11889804,1880565,732340,391379,756846,2460,185,2275,2501,222,2279,14502247
2039,7568,7568,7578,6273,40798458,33334103,7464355,4533643,1445586,1485126,185,182,3,229,226,3,0
2040,7568,7568,7578,6322,25710132,21744546,3965586,1320772,785140,1859674,2278,195,2083,2319,231,2088,3535800
2041,7568,7568,7578,6275,35300088,30003360,5296728,3254204,954013,1088511,1180,186,994,1228,230,998,0
2042,7568,7568,7578,6309,12914744,11140935,1773809,895813,351211,526785,2755,182,2573,2801,222,2579,13726777
2043,7568,7568,7578,6280,20295401,17555300,2740101,1149425,463175,1127501,1121,182,939,1169,226,943,15348527
2044,7568,7568,7578,6268,38085192,32234784,5850408,3019311,1029143,1801954,676,184,492,721,228,493,0
2045,7568,7568,7578,6297,23264460,20485673,2778787,769107,508143,1501537,3358,167,3191,3410,212,3198,0
2046,7568,7568,7578,6323,23211618,19008486,4203132,1968127,1074343,1160662,2514,180,2334,2555,215,2340,4733766
2047,7568,7568,7578,6450,15721971,13537080,2184891,610285,496620,1077986,4555,150,4405,4588,181,4407,931479
2048,7568,7568,7578,6322,9232833,7949779,1283054,728653,253938,300463,2314,199,2115,2354,234,2120,19854499
2049,7568,7568,7578,6281,23179722,19939926,3239796,1440959,681907,1116930,3346,165,3181,3396,209,3187,152025
2050,7568,7568,7578,6478,7441364,6682296,759068,82865,194431,481772,5153,119,5034,5187,148,5039,5931008
2051,7568,7568,7578,6323,27066348,25370616,1695732,665784,310162,719786,2670,174,2496,2708,208,2500,0
2052,7568,7568,7578,6311,21869923,19196265,2673658,1002240,523547,1147871,3338,173,3165,3384,213,3171,1511989
2053,7568,7568,7578,6305,11938711,10423504,1515207,476320,318958,719929,2937,175,2762,2983,216,2767,13694744
2054,7568,7568,7578,6324,21905064,19615704,2289360,385119,471762,1432479,3604,172,3432,3645,206,3439,0
2055,7568,7568,7578,6371,10713754,10176933,536821,56003,98072,382746,4663,141,4522,4711,184,4527,5362056
2056,7568,7568,7578,6313,28393286,24684187,3709099,1304964,633589,1770546,641,193,448,679,230,449,9913167
2057,7568,7568,7578,7560,141372,105286,36086,438,8496,27152,7540,44,7496,7549,50,7499,13356
2058,7568,7568,7578,6540,11168046,10247302,920744,23923,209656,687165,5547,121,5426,5575,143,5432,0
2059,7568,7568,7578,6585,11798010,10789951,1008059,116474,218312,673273,5433,119,5314,5457,141,5316,0
2060,7568,7568,7578,7051,5470740,5109148,361592,9065,76796,275731,6578,87,6491,6605,107,6498,0
2061,7568,7568,7578,6343,17007335,15029816,1977519,347784,410020,1219715,4178,151,4027,4225,190,4035,1731482
2062,7568,7568,7578,6322,38057562,32523856,5533706,2588655,1290627,1654424,681,200,481,715,235,480,0
2063,7568,7568,7578,6323,33117318,27906601,5210717,1995052,894831,2320834,1575,202,1373,1614,238,1376,0
2064,7568,7568,7578,6524,11267514,10085872,1181642,291295,264823,625524,5529,138,5391,5558,159,5399,0
2065,7568,7568,7578,6343,21055971,18040489,3015482,971230,565702,1478550,3332,180,3152,3377,216,3161,2359248
2066,7568,7568,7578,6577,17163756,15123340,2040416,345442,502294,1192680,4462,164,4298,4490,187,4303,0
2067,7568,7568,7578,7578,0,0,0,0,0,0,7568,44,7524,7578,48,7530,0
2068,7568,7568,7578,6348,15923726,14264122,1659604,537386,445501,676717,3742,169,3573,3787,208,3579,5234604
2069,7568,7568,7578,6324,33581502,32555831,1025671,653388,195185,177098,1491,196,1295,1531,231,1300,0
2070,7568,7568,7578,6285,25886872,22220509,3666363,1300367,844219,1521777,1241,186,1055,1290,232,1058,9102631
2071,7568,7568,7578,6899,6675408,6279264,396144,9611,77305,309228,6360,86,6274,6386,104,6282,0
2072,7568,7568,7578,7567,93942,66472,27470,240,7277,19953,7551,85,7466,7560,91,7469,0
2073,7568,7568,7578,7578,0,0,0,0,0,0,7568,22,7546,7578,24,7554,0
2074,7568,7568,7578,6482,13641363,12711660,929703,86113,232949,610641,5098,120,4978,5133,147,4986,7857
2075,7568,7568,7578,7441,168565,130427,38138,2180,11325,24633,7341,51,7290,7350,53,7297,1085837
2076,7568,7568,7578,7578,0,0,0,0,0,0,7568,23,7545,7578,30,7548,0
2077,7568,7568,7578,6359,16959294,15683237,1276057,276718,257092,742247,4499,150,4349,4545,186,4359,0
2078,7568,7568,7578,6320,20197530,17637375,2560155,636099,519689,1404367,3913,175,3738,3958,213,3745,0
2079,7568,7568,7578,6314,18198668,15835827,2362841,1384381,478444,500016,1647,191,1456,1687,229,1458,14565494
2080,7568,7568,7578,6321,6582489,5497044,1085445,566170,242229,277046,2056,202,1854,2096,237,1859,23937308
2081,7568,7568,7578,6397,10373998,9355661,1018337,133985,229112,655240,4771,146,4625,4823,191,4632,5094705
2082,7568,7568,7578,6320,23071050,21881085,1189965,430633,271784,487548,3393,168,3225,3439,205,3234,0
2083,7568,7568,7578,6324,5127318,4451069,676249,279268,159908,237073,3685,177,3508,3729,211,3518,16398060
2084,7568,7568,7578,7024,5188914,4978119,210795,5530,37926,167339,6629,74,6555,6653,94,6559,0
2085,7568,7568,7578,6387,13991832,12689905,1301927,234347,354231,713349,5036,123,4913,5088,166,4922,0
2086,7568,7568,7578,6404,14323392,12655842,1667550,437489,471261,758800,4976,134,4842,5026,179,4847,0
2087,7568,7568,7578,7488,776972,436933,340039,70020,104625,165394,7420,40,7380,7432,41,7391,40876
2088,7568,7568,7578,6582,12243391,10595957,1647434,420390,487281,739763,5012,153,4859,5040,175,4865,1887845
2089,7568,7568,7578,6322,22137634,19005165,3132469,1503235,581079,1048155,2495,189,2306,2536,225,2311,5912544
2090,7568,7568,7578,6577,10291533,9392608,898925,73635,291684,533606,5683,115,5568,5704,129,5575,125477
2091,7568,7568,7578,6779,8150850,7362486,788364,193434,206353,388577,6093,100,5993,6111,105,6006,0
2092,7568,7568,7578,6360,17953974,15992177,1961797,318853,443588,1199356,4319,172,4147,4361,208,4153,0
2093,7568,7568,7578,6340,8544526,7620770,923756,146759,221402,555595,4536,156,4380,4584,192,4392,8245075
2094,7568,7568,7578,6556,11588022,10507631,1080391,97065,252473,730853,5471,137,5334,5501,160,5341,0
2095,7568,7568,7578,6367,10197765,9233620,964145,403141,215026,345978,3251,176,3075,3291,213,3078,13697310
2096,7568,7568,7578,7411,743547,586672,156875,32579,35794,88502,7301,53,7248,7307,53,7254,731895
2097,7568,7568,7578,6348,15925932,14441278,1484654,394284,324417,765953,4686,153,4533,4738,196,4542,0
2098,7568,7568,7578,6317,16583526,14613382,1970144,570321,407064,992759,4567,169,4398,4610,206,4404,0
2099,7568,1312,7578,1278,1409130,205285,0,0,0,0,1057,179,878,1078,196,882,0
