"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,35517761,8877016,7995618,0,3055606,7847595,7741926,0,708310,439134,6270,0,0,0,262906,0,7287,6005
2011,11538742,1792968,694752,0,200453,3109055,5741514,0,266919,119966,74753,0,0,0,72200,0,2284,1208
2012,32623426,8474632,3267272,0,5706637,7582161,7592724,0,820834,512984,744,0,0,0,307106,0,6761,5477
2013,19752991,4555549,2025711,0,396476,5359363,7415892,0,492938,308374,0,0,0,0,184564,0,4096,2769
2014,25303752,7033123,3700775,0,738565,6354611,7476678,0,791355,494971,0,0,0,0,296384,0,5435,4096
2015,4314420,1108543,510915,0,247473,1179452,1268037,0,195495,100583,35113,0,0,0,59799,0,5905,4594
2016,16204908,2865957,1197665,0,403455,4598239,7139592,0,412172,253950,6420,0,0,0,151802,0,3307,2039
2017,19219816,4326033,2348909,0,3385122,3907612,5252140,0,599683,329152,73283,0,0,0,197248,0,5328,4036
2018,37901151,10270964,6035142,0,7296171,6816670,7482204,0,498539,302309,15514,0,0,0,180716,0,7343,6061
2019,211768,28015,110671,0,3833,69249,0,0,1671,1123,3,0,0,0,545,0,7175,5876
2020,17432944,2767098,1261697,0,1198257,4922624,7283268,0,553698,263899,131044,0,0,0,158755,0,3522,2240
2021,30690987,8687875,4367154,0,3137371,7045189,7453398,0,1184212,740584,0,0,0,0,443628,0,6952,5671
2022,38858786,8160130,4217125,0,12209362,6966183,7305986,0,55769,35079,326,0,0,0,20364,0,7250,5916
2023,16162691,2594090,1847648,0,373812,4211913,7135228,0,354900,209586,20030,0,0,0,125284,0,3278,1969
2024,29316018,8522868,5027426,0,1483640,6667256,7614828,0,1341081,838710,0,0,0,0,502371,0,6694,5448
2025,32047674,10002842,5845856,0,1364052,7358246,7476678,0,1469649,688379,366077,0,0,0,415193,0,7084,5779
2026,32583752,9397658,6488959,0,2165480,7049451,7482204,0,1133558,572163,217108,0,0,0,344287,0,6958,5675
2027,20178295,3477371,2285834,0,2024953,4996349,7393788,0,525416,295732,52659,0,0,0,177025,0,4081,2796
2028,12992257,3577404,2824736,0,595871,2867663,3126583,0,453886,192510,145657,0,0,0,115719,0,6556,5272
2029,6901522,955552,342514,0,404727,1738370,3460359,0,161154,101140,0,0,0,0,60014,0,1934,998
2030,33201294,8411568,7732037,0,2884420,6674487,7498782,0,810769,407663,157983,0,0,0,245123,0,6759,5430
2031,29946794,9178557,3481000,0,2239680,7499041,7548516,0,1513411,602499,545591,0,0,0,365321,0,6542,5258
2032,12239281,1904694,980255,0,429782,3171984,5752566,0,272002,151758,29422,0,0,0,90822,0,2442,1368
2033,25641790,5760509,3214742,0,2778847,6472150,7415542,0,1089863,486298,310129,0,0,0,293436,0,5604,4324
2034,17431084,4623788,2279045,0,604479,4596610,5327162,0,798206,405384,149031,0,0,0,243791,0,5360,4072
2035,12837042,2040658,1097922,0,413658,3178574,6106230,0,411628,240469,27397,0,0,0,143762,0,2637,1505
2036,32671451,7308236,4939440,0,5851756,7095341,7476678,0,1224231,755966,15411,0,0,0,452854,0,7100,5816
2037,27801898,6714495,5921556,0,1929948,5917963,7317936,0,1055138,636602,37050,0,0,0,381486,0,6194,4894
2038,11889804,3046660,1254690,0,868016,3133227,3587211,0,391379,207694,59330,0,0,0,124355,0,5108,3822
2039,33334103,8514263,8622137,0,2383979,6337046,7476678,0,1445586,810838,147861,0,0,0,486887,0,7383,6044
2040,21744546,5915925,3129323,0,723212,5555284,6420802,0,785140,393475,154945,0,0,0,236720,0,5290,4003
2041,30003360,7641734,5255168,0,3105396,6452546,7548516,0,954013,596698,0,0,0,0,357315,0,6388,5047
2042,11140935,1993949,1338500,0,1136186,3038870,3633430,0,351211,220028,0,0,0,0,131183,0,4813,3508
2043,17555300,4388566,3582631,0,1054522,4042140,4487441,0,463175,289940,0,0,0,0,173235,0,6447,5111
2044,32234784,8907447,5682828,0,3509639,6669244,7465626,0,1029143,623520,32069,0,0,0,373554,0,6892,5547
2045,20485673,4312896,3520808,0,252900,4955547,7443522,0,508143,290374,43819,0,0,0,173950,0,4210,2887
2046,19008486,5053035,3026819,0,177852,4763208,5987572,0,1074343,458586,338554,0,0,0,277203,0,5054,3768
2047,13537080,2538912,910092,0,268244,3910357,5909475,0,496620,280891,47614,0,0,0,168115,0,3013,1862
2048,7949779,1514675,974350,0,664152,2116112,2680490,0,253938,159267,0,0,0,0,94671,0,5254,3968
2049,19939926,3698985,3156848,0,788672,4939397,7356024,0,681907,406440,32074,0,0,0,243393,0,4222,2885
2050,6682296,1067091,512226,0,10694,1734141,3358144,0,194431,85674,57505,0,0,0,51252,0,2415,1291
2051,25370616,5817081,2355009,0,3540201,6242433,7415892,0,310162,188374,9334,0,0,0,112454,0,4898,3615
