"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6322,40267962,35517761,4750201,1972038,708310,2069853,281,193,88,317,229,88,0,2010,35517761,8877016,7995618,0,3055606,7847595,7741926,0,708310,439134,6270,0,0,0,262906,0,7287,6005
2011,7568,7568,7578,6515,12621384,11538742,1082642,62090,266919,753633,5284,114,5170,5307,133,5174,0,2011,11538742,1792968,694752,0,200453,3109055,5741514,0,266919,119966,74753,0,0,0,72200,0,2284,1208
2012,7568,7568,7578,6322,37361286,32623426,4737860,2357890,820834,1559136,807,194,613,845,229,616,0,2012,32623426,8474632,3267272,0,5706637,7582161,7592724,0,820834,512984,744,0,0,0,307106,0,6761,5477
2013,7568,7568,7578,6294,22634496,19752991,2881505,619718,492938,1768849,3472,158,3314,3525,202,3323,0,2013,19752991,4555549,2025711,0,396476,5359363,7415892,0,492938,308374,0,0,0,0,184564,0,4096,2769
2014,7568,7568,7578,6279,30033810,25303752,4730058,1724633,791355,2214070,2133,174,1959,2183,218,1965,0,2014,25303752,7033123,3700775,0,738565,6354611,7476678,0,791355,494971,0,0,0,0,296384,0,5435,4096
2015,7568,7568,7578,6305,5216336,4314420,901916,452467,195495,253954,1663,191,1472,1711,233,1478,27496304,2015,4314420,1108543,510915,0,247473,1179452,1268037,0,195495,100583,35113,0,0,0,59799,0,5905,4594
2016,7568,7568,7578,6345,18274482,16204908,2069574,466924,412172,1190478,4261,157,4104,4306,198,4108,0,2016,16204908,2865957,1197665,0,403455,4598239,7139592,0,412172,253950,6420,0,0,0,151802,0,3307,2039
2017,7568,7568,7578,6318,22006784,19219816,2786968,1429709,599683,757576,2240,196,2044,2282,233,2049,7458597,2017,19219816,4326033,2348909,0,3385122,3907612,5252140,0,599683,329152,73283,0,0,0,197248,0,5328,4036
2018,7568,7568,7578,6322,40577418,37901151,2676267,1733836,498539,443892,225,190,35,261,226,35,0,2018,37901151,10270964,6035142,0,7296171,6816670,7482204,0,498539,302309,15514,0,0,0,180716,0,7343,6061
2019,7568,7568,7578,6310,232092,211768,20324,18627,1671,26,393,189,204,434,228,206,39516426,2019,211768,28015,110671,0,3833,69249,0,0,1671,1123,3,0,0,0,545,0,7175,5876
2020,7568,7568,7578,6330,19462572,17432944,2029628,737815,553698,738115,4046,172,3874,4090,210,3880,0,2020,17432944,2767098,1261697,0,1198257,4922624,7283268,0,553698,263899,131044,0,0,0,158755,0,3522,2240
2021,7568,7568,7578,6323,37463419,30690987,6772432,4035660,1184212,1552560,616,201,415,652,235,417,953810,2021,30690987,8687875,4367154,0,3137371,7045189,7453398,0,1184212,740584,0,0,0,0,443628,0,6952,5671
