YEAR,A2_CNRMCM3,A2_GFDLCM21,A2_MIROC32MED,A2_MPIECHAM5,A2_NCARCCSM3,A2_NCARPCM1,B1_CNRMCM3,B1_GFDLCM21,B1_MIROC32MED,B1_MPIECHAM5,B1_NCARCCSM3,B1_NCARPCM1
2010,6030,6820,10092,13078,10492,13514,11462,6758,514,7410,3574,14438
2011,11254,5862,9666,12132,12704,11064,7602,6116,5128,7322,5244,4432
2012,6188,14286,11216,6662,6740,11168,7994,6536,11700,10092,10578,13386
2013,12706,14448,9984,10636,12328,9520,8084,2174,2012,8340,3354,8056
2014,13150,438,0,4734,22,10600,13232,12826,12080,3528,4684,10734
2015,14406,6028,4332,2948,14254,10474,2360,8378,6320,14254,0,11674
2016,14270,6054,1748,13348,0,7804,3814,7874,2120,3552,3150,6478
2017,9456,0,14230,4134,868,2478,7172,10564,4912,0,3126,10520
2018,5598,30,10522,11818,7288,8890,11354,12532,10744,9734,13666,14550
2019,11240,1988,3344,12446,2916,9470,7960,11762,5896,14002,3382,14214
2020,11308,13084,192,9182,470,4364,6574,3352,588,8872,276,6908
2021,12672,4744,6284,6380,252,13978,13364,3914,12454,5776,958,13768
2022,11338,5560,3276,6456,3204,8746,5410,5304,11902,4234,9492,14364
2023,8340,0,9358,7316,4734,13998,3316,6888,11578,6484,6848,6420
2024,7058,132,6718,7680,13214,8208,7660,5736,10502,11046,10352,13252
2025,10780,1016,8964,13192,4548,12844,14332,7808,5442,12322,10476,14032
2026,5854,12134,11478,9078,132,0,9876,13976,5692,3210,8142,13780
2027,3870,338,8356,14260,8154,7348,28,2528,2612,13790,0,8026
2028,0,0,456,44,3556,13794,2138,3800,4378,5758,8264,12976
2029,3138,1584,1684,4576,2126,8292,9310,1940,6498,5774,12558,3732
2030,10138,4084,0,8948,0,13088,0,6788,224,492,78,13382
2031,9176,0,11180,10436,674,10664,13748,8246,11358,6710,8008,12948
2032,6526,0,2036,12336,11386,8168,8078,7278,4008,10280,0,4748
2033,13656,5122,328,13468,7292,8794,13064,6338,12290,2822,4618,11072
2034,4900,11062,6486,12520,436,13440,4834,0,482,13932,2572,10584
2035,8944,0,0,0,5718,10400,1302,6164,320,12076,1962,5138
2036,12752,78,4104,0,4484,10314,6618,5668,5432,3456,2994,14064
2037,5858,5872,7060,5888,2412,9992,8218,3268,0,13006,6256,12252
