"cnrmcm3","gfdlcm21","miroc32med","mpiecham5","ncarccsm3","ncarpcm1"
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,NA,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,NA,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,NA,0,NA,0
0,0,0,0,0,0
0,NA,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,NA,0,0,0,0
0,0,0,0,NA,0
0,NA,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,0,0
NA,0,NA,NA,0,0
0,0,0,NA,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,NA,0,0,0
0,0,NA,0,0,0
0,0,0,0,0,0
0,NA,0,0,0,0
0,0,0,0,0,0
NA,0,0,NA,0,0
0,NA,0,0,0,0
0,NA,0,0,0,0
0,0,0,0,0,0
0,0,0,0,NA,0
NA,0,NA,0,NA,0
NA,0,NA,0,0,0
NA,0,0,0,0,0
NA,NA,0,0,0,0
0,NA,0,NA,0,0
0,0,0,0,NA,0
0,NA,NA,0,NA,0
NA,0,0,0,0,0
0,NA,0,NA,NA,0
NA,NA,0,NA,NA,0
NA,NA,0,NA,NA,0
NA,NA,NA,NA,0,0
0,NA,0,0,NA,NA
NA,0,NA,0,NA,0
NA,0,NA,0,0,0
0,NA,NA,0,NA,NA
NA,NA,NA,NA,NA,0
0,NA,NA,NA,NA,0
0,NA,NA,NA,NA,0
NA,NA,NA,0,0,0
0,NA,NA,NA,NA,0
0,NA,NA,0,NA,0
NA,NA,NA,0,0,0
NA,NA,NA,0,NA,0
NA,NA,0,0,NA,0
0,NA,0,0,NA,NA
0,NA,0,NA,NA,NA
NA,NA,NA,0,NA,0
NA,NA,NA,0,0,NA
NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,0
0,NA,NA,NA,NA,0
0,NA,NA,NA,NA,0
0,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,0,NA,NA
NA,NA,NA,NA,NA,NA
