"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6363,16086684,14502503,1584181,569635,390839,623707,4477,152,4325,4522,193,4329,997571
2011,7568,7568,7578,6322,10606889,8794451,1812438,918401,331738,562299,1775,197,1578,1815,233,1582,21471112
2012,7568,7568,7578,6298,14504912,12995352,1509560,180851,479043,849666,4492,165,4327,4544,209,4335,2504320
2013,7568,7568,7578,6322,24375986,19630042,4745944,2644719,893587,1207638,890,193,697,926,229,697,12558113
2014,7568,7568,7578,6322,9362708,7843849,1518859,793758,273300,451801,894,196,698,936,232,704,27589660
2015,7568,7568,7578,6314,40494528,33613281,6881247,3643094,1189088,2049065,240,189,51,277,227,50,0
2016,7568,7568,7578,6272,3535435,3246957,288478,186243,58796,43439,360,186,174,404,230,174,36385847
2017,7568,7568,7578,6268,30055914,25901341,4154573,1347235,905532,1901806,2129,186,1943,2177,230,1947,0
2018,7568,7568,7578,6350,11127609,9960701,1166908,180390,231771,754747,4718,145,4573,4767,187,4580,4642183
2019,7568,7568,7578,6288,31768974,28182449,3586525,1128042,681096,1777387,1819,184,1635,1869,229,1640,0
2020,7568,7568,7578,6320,32852070,30478432,2373638,960538,444340,968760,1623,192,1431,1662,228,1434,0
2021,7568,7568,7578,6317,8600331,7204352,1395979,766596,271449,357934,1052,190,862,1091,227,864,27482770
2022,7568,7568,7578,6270,8073429,6680941,1392488,908583,268001,215904,1037,188,849,1080,230,850,28091876
2023,7568,7568,7578,6310,29402165,27354364,2047801,1000603,437979,609219,1970,193,1777,2013,232,1781,1532935
2024,7568,7568,7578,6322,6056783,6020044,36739,13338,6035,17366,2715,193,2522,2757,227,2530,20829615
2025,7568,7568,7578,6285,27492065,23984653,3507412,2061285,734196,711931,1559,184,1375,1610,231,1379,5727555
2026,7568,7568,7578,6324,11420081,10137409,1282672,303850,277056,701766,3835,165,3670,3878,199,3679,9247606
2027,7568,7568,7578,6429,10916761,10142315,774446,16118,173795,584533,4926,123,4803,4985,173,4812,3700115
2028,7568,7568,7578,7571,66312,44022,22290,620,4713,16957,7556,22,7534,7567,25,7542,0
2029,7568,7568,7578,6662,9200790,8567257,633533,24315,133402,475816,5903,114,5789,5925,128,5797,0
2030,7568,7568,7578,6322,16695816,13982667,2713149,1089062,575365,1048722,2446,187,2259,2486,223,2263,11643144
2031,7568,7568,7578,6288,32320607,26541837,5778770,2711171,1403948,1663651,1719,189,1530,1764,231,1533,967
2032,7568,7568,7578,6381,14125689,12555780,1569909,420189,352879,796841,4874,148,4726,4915,187,4728,764719
2033,7568,7568,7578,6312,35460342,29070667,6389675,3186091,1446811,1756773,488,191,297,527,230,297,3673562
2034,7568,7568,7578,6589,14262606,12522432,1740174,507699,386866,845609,4987,121,4866,5009,136,4873,0
2035,7568,7568,7578,6283,11595269,9749915,1845354,660107,423551,761696,3153,177,2976,3204,221,2983,12844489
2036,7568,7568,7578,6328,31995540,27609689,4385851,1573047,772827,2039977,1778,194,1584,1815,227,1588,0
2037,7568,7568,7578,6368,12390563,11359320,1031243,115013,228360,687870,4552,151,4401,4602,192,4410,4292782
2038,7568,7568,7578,6309,26823204,22430146,4393058,1685118,946811,1761129,2714,177,2537,2755,216,2539,0
2039,7568,7568,7578,6319,17682150,15269361,2412789,652107,579369,1181313,4366,170,4196,4412,208,4204,12102
2040,7568,7568,7578,6393,12723012,11420681,1302331,230984,341408,729939,4288,149,4139,4338,193,4145,5421785
2041,7568,7568,7578,6345,21927168,19574812,2352356,629787,588732,1133837,3600,182,3418,3647,222,3425,0
2042,7568,7568,7578,7539,348138,200970,147168,17829,33107,96232,7505,12,7493,7516,16,7500,0
2043,7568,7568,7578,6460,14351022,12817992,1533030,251031,470967,811032,4971,137,4834,5015,178,4837,0
2044,7568,7568,7578,7500,655539,465595,189944,6711,52722,130511,7438,37,7401,7446,40,7406,62841
2045,7568,7568,7578,7578,0,0,0,0,0,0,7568,23,7545,7578,27,7551,0
2046,7568,7568,7578,7089,4956822,4724730,232092,5047,58834,168211,6671,74,6597,6702,97,6605,0
2047,7568,7568,7578,7344,2160666,1864067,296599,5488,78914,212197,7177,80,7097,7184,83,7101,0
2048,7568,7568,7578,6610,9869386,9244967,624419,66772,173271,384376,5782,116,5666,5807,139,5668,50
2049,7568,7568,7578,6900,8755794,7513913,1241881,206830,280710,754341,5947,129,5818,5971,149,5822,202452
2050,7568,7568,7578,6321,23338666,20985461,2353205,1302526,568821,481858,1939,187,1752,1982,225,1757,7789573
2051,7568,7568,7578,6341,12474870,10771743,1703127,679652,391261,632214,2721,198,2523,2760,235,2525,14355087
2052,7568,7568,7578,6376,15881724,14091597,1790127,534722,394861,860544,4694,143,4551,4741,181,4560,0
2053,7568,7568,7578,6580,10310236,9400115,910121,74899,214846,620376,5648,111,5537,5676,133,5543,301194
2054,7568,7568,7578,7578,0,0,0,0,0,0,7568,38,7530,7578,41,7537,0
2055,7568,7568,7578,6378,10296508,9322256,974252,271637,258964,443651,4580,147,4433,4626,192,4434,6241760
2056,7568,7568,7578,6324,3743748,3221533,522215,165923,140898,215394,2963,189,2774,3005,225,2780,21776954
2057,7568,7568,7578,6357,12041095,10983455,1057640,99243,403429,554968,4502,155,4347,4547,192,4355,4921413
2058,7568,7568,7578,7398,1597014,1393868,203146,995,39387,162764,7279,37,7242,7287,31,7256,0
2059,7568,7568,7578,7578,0,0,0,0,0,0,7568,41,7527,7578,49,7529,0
2060,7568,7568,7578,7578,0,0,0,0,0,0,7568,3,7565,7578,5,7573,0
2061,7568,7568,7578,7578,0,0,0,0,0,0,7568,5,7563,7578,0,7578,0
2062,7568,7568,7578,7578,0,0,0,0,0,0,7568,21,7547,7578,24,7554,0
