"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,14502503,1945909,1474686,0,822035,3560623,6699250,0,390839,211833,52335,0,0,0,126671,0,3091,1841
2011,8794451,2234825,1004236,0,766726,2242671,2545993,0,331738,207883,0,0,0,0,123855,0,5793,4507
2012,12995352,2177204,1456906,0,70542,3237096,6053604,0,479043,165825,212516,0,0,0,100702,0,3076,1754
2013,19630042,5845485,2714302,0,1029829,4874063,5166363,0,893587,520110,61609,0,0,0,311868,0,6678,5396
2014,7843849,2202520,856727,0,702086,1945995,2136521,0,273300,168171,5156,0,0,0,99973,0,6674,5386
2015,33613281,10126441,4417260,0,4399644,7187732,7482204,0,1189088,726293,27586,0,0,0,435209,0,7328,6037
2016,3246957,572231,485675,0,471831,782247,934973,0,58796,34247,4870,0,0,0,19679,0,7208,5868
2017,25901341,6631866,4436844,0,846932,6520073,7465626,0,905532,405193,255784,0,0,0,244555,0,5439,4091
2018,9960701,1504818,601930,0,43393,2738576,5071984,0,231771,144667,764,0,0,0,86340,0,2850,1583
2019,28182449,7229857,5064849,0,1805555,6599984,7482204,0,681096,342341,132905,0,0,0,205850,0,5749,4419
2020,30478432,6396463,2644682,0,7217847,6831178,7388262,0,444340,257100,33390,0,0,0,153850,0,5945,4658
2021,7204352,1708004,1836433,0,346537,1512104,1801274,0,271449,154301,25588,0,0,0,91560,0,6516,5226
2022,6680941,1527122,729134,0,835416,1696445,1892824,0,268001,164614,5589,0,0,0,97798,0,6531,5190
2023,27354364,5633200,3308656,0,4996924,6246330,7169254,0,437979,241388,52010,0,0,0,144581,0,5598,4297
2024,6020044,753190,505386,0,1704498,1397757,1659213,0,6035,3898,824,0,0,0,1313,0,4853,3565
2025,23984653,4861583,3643896,0,3547629,5397296,6534249,0,734196,418910,64213,0,0,0,251073,0,6009,4675
2026,10137409,1854551,1253440,0,108328,2790780,4130310,0,277056,147465,41503,0,0,0,88088,0,3733,2446
2027,10142315,1570206,1100026,0,10650,2614137,4847296,0,173795,69528,62438,0,0,0,41829,0,2642,1444
2028,44022,28990,9157,0,5875,0,0,0,4713,2338,1183,0,0,0,1192,0,12,4
2029,8567257,1027972,337158,0,156907,2447588,4597632,0,133402,69517,22485,0,0,0,41400,0,1665,737
2030,13982667,3545812,1877901,0,357266,3657004,4544684,0,575365,294698,103733,0,0,0,176934,0,5122,3836
2031,26541837,7246213,4038640,0,1171731,6630679,7454574,0,1403948,619157,410652,0,0,0,374139,0,5849,4524
2032,12555780,1775974,723865,0,70057,3450159,6535725,0,352879,213639,11425,0,0,0,127815,0,2694,1466
2033,29070667,8748919,5814427,0,1358205,6414738,6734378,0,1446811,644329,413495,0,0,0,388987,0,7080,5785
