"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6363,16086684,14502503,1584181,569635,390839,623707,4477,152,4325,4522,193,4329,997571,2010,14502503,1945909,1474686,0,822035,3560623,6699250,0,390839,211833,52335,0,0,0,126671,0,3091,1841
2011,7568,7568,7578,6322,10606889,8794451,1812438,918401,331738,562299,1775,197,1578,1815,233,1582,21471112,2011,8794451,2234825,1004236,0,766726,2242671,2545993,0,331738,207883,0,0,0,0,123855,0,5793,4507
2012,7568,7568,7578,6298,14504912,12995352,1509560,180851,479043,849666,4492,165,4327,4544,209,4335,2504320,2012,12995352,2177204,1456906,0,70542,3237096,6053604,0,479043,165825,212516,0,0,0,100702,0,3076,1754
2013,7568,7568,7578,6322,24375986,19630042,4745944,2644719,893587,1207638,890,193,697,926,229,697,12558113,2013,19630042,5845485,2714302,0,1029829,4874063,5166363,0,893587,520110,61609,0,0,0,311868,0,6678,5396
2014,7568,7568,7578,6322,9362708,7843849,1518859,793758,273300,451801,894,196,698,936,232,704,27589660,2014,7843849,2202520,856727,0,702086,1945995,2136521,0,273300,168171,5156,0,0,0,99973,0,6674,5386
2015,7568,7568,7578,6314,40494528,33613281,6881247,3643094,1189088,2049065,240,189,51,277,227,50,0,2015,33613281,10126441,4417260,0,4399644,7187732,7482204,0,1189088,726293,27586,0,0,0,435209,0,7328,6037
2016,7568,7568,7578,6272,3535435,3246957,288478,186243,58796,43439,360,186,174,404,230,174,36385847,2016,3246957,572231,485675,0,471831,782247,934973,0,58796,34247,4870,0,0,0,19679,0,7208,5868
2017,7568,7568,7578,6268,30055914,25901341,4154573,1347235,905532,1901806,2129,186,1943,2177,230,1947,0,2017,25901341,6631866,4436844,0,846932,6520073,7465626,0,905532,405193,255784,0,0,0,244555,0,5439,4091
2018,7568,7568,7578,6350,11127609,9960701,1166908,180390,231771,754747,4718,145,4573,4767,187,4580,4642183,2018,9960701,1504818,601930,0,43393,2738576,5071984,0,231771,144667,764,0,0,0,86340,0,2850,1583
2019,7568,7568,7578,6288,31768974,28182449,3586525,1128042,681096,1777387,1819,184,1635,1869,229,1640,0,2019,28182449,7229857,5064849,0,1805555,6599984,7482204,0,681096,342341,132905,0,0,0,205850,0,5749,4419
2020,7568,7568,7578,6320,32852070,30478432,2373638,960538,444340,968760,1623,192,1431,1662,228,1434,0,2020,30478432,6396463,2644682,0,7217847,6831178,7388262,0,444340,257100,33390,0,0,0,153850,0,5945,4658
