"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6329,19086804,16837430,2249374,767366,496868,985140,4114,158,3956,4158,191,3967,0
2011,7568,7568,7578,6344,9967113,8937545,1029568,361384,227477,440707,4529,143,4386,4577,182,4395,6854982
2012,7568,7568,7578,6309,35124865,28293187,6831678,3743983,1211278,1876417,253,185,68,295,226,69,5311267
2013,7568,7568,7578,6322,39695600,32140551,7555049,3764138,1487754,2303157,283,190,93,318,226,92,561310
2014,7568,7568,7578,7395,1663326,1258657,404669,46368,101972,256329,7267,78,7189,7270,75,7195,0
2015,7568,7568,7578,6338,18086977,16087068,1999909,470269,448405,1081235,3763,172,3591,3805,208,3597,2944503
2016,7568,7568,7578,6334,17213490,15570459,1643031,249103,579158,814770,4453,156,4297,4499,196,4303,0
2017,7568,7568,7578,7574,16076,9290,6786,280,1421,5085,7564,34,7530,7571,39,7532,6028
2018,7568,7568,7578,7181,4351238,3536089,815149,167599,277324,370226,6692,143,6549,6718,165,6553,491750
2019,7568,7568,7578,7156,3956616,3561843,394773,10457,102178,282138,6852,76,6776,6882,94,6788,0
2020,7568,7568,7578,6322,36786582,31714503,5072079,2369861,923645,1778573,911,199,712,949,234,715,0
2021,7568,7568,7578,6400,14334375,12982246,1352129,109632,379484,863013,4974,128,4846,5025,170,4855,69
2022,7568,7568,7578,6416,14453204,12868361,1584843,188166,462111,934566,4769,150,4619,4826,202,4624,1018134
2023,7568,7568,7578,7578,0,0,0,0,0,0,7568,46,7522,7578,50,7528,0
2024,7568,7568,7578,7487,817848,587723,230125,3285,54535,172305,7420,46,7374,7429,52,7377,0
2025,7568,7568,7578,7233,3464802,2965758,499044,59907,117503,321634,6941,71,6870,6953,76,6877,0
2026,7568,7568,7578,6731,13785196,11345367,2439829,1066464,684760,688605,1627,183,1444,1671,221,1450,19099475
2027,7568,7568,7578,7402,1613592,1271232,342360,13251,92150,236959,7276,39,7237,7284,40,7244,0
2028,7568,7568,7578,7570,62088,32107,29981,11691,8900,9390,7556,29,7527,7565,29,7536,4224
2029,7568,7568,7578,7204,1852702,1670802,181900,5268,34985,141647,6935,79,6856,6958,94,6864,1655704
2030,7568,7568,7578,6523,12682170,11804326,877844,72379,276804,528661,5273,127,5146,5298,150,5148,0
2031,7568,7568,7578,7578,11052,7424,3628,128,1286,2214,7566,25,7541,7578,30,7548,0
2032,7568,7568,7578,7578,0,0,0,0,0,0,7568,42,7526,7578,47,7531,0
2033,7568,7568,7578,6347,132624,126733,5891,5062,548,281,4433,163,4270,4479,201,4278,17263224
2034,7568,7568,7578,6320,13140146,11336031,1804115,629750,530023,644342,2075,198,1877,2115,233,1882,17268252
2035,7568,7568,7578,7566,79849,47049,32800,1665,8109,23026,7551,42,7509,7559,48,7511,14093
2036,7568,7568,7578,7507,541300,342033,199267,19777,58868,120622,7451,58,7393,7462,63,7399,105242
2037,7568,7568,7578,6587,14699160,13147171,1551989,528923,370195,652871,4908,137,4771,4934,157,4777,0
2038,7568,7568,7578,6545,11168046,10476631,691415,6117,175282,510016,5547,122,5425,5574,146,5428,0
2039,7568,7568,7578,7563,143676,117356,26320,0,6496,19824,7542,56,7486,7550,59,7491,0
2040,7568,7568,7578,7578,0,0,0,0,0,0,7568,27,7541,7578,33,7545,0
2041,7568,7568,7578,6987,6216750,5885224,331526,629,69400,261497,6443,113,6330,6469,133,6336,0
2042,7568,7568,7578,7578,0,0,0,0,0,0,7568,39,7529,7578,42,7536,0
2043,7568,7568,7578,7432,1348344,956517,391827,105310,106095,180422,7324,64,7260,7332,69,7263,0
2044,7568,7568,7578,7127,3691899,3350625,341274,27180,91596,222498,6766,75,6691,6802,103,6699,742165
2045,7568,7568,7578,6326,20589876,18861189,1728687,531114,438341,759232,3842,171,3671,3886,209,3677,0
2046,7568,7568,7578,7474,900178,534696,365482,123027,105620,136835,7394,84,7310,7403,84,7319,61346
2047,7568,7568,7578,6545,13964202,12186259,1777943,466057,426178,885708,5041,141,4900,5072,168,4904,0
2048,7568,7568,7578,6345,12286130,10976921,1309209,337176,306122,665911,4054,168,3886,4098,206,3892,7157802
2049,7568,7568,7578,7268,1941430,1614937,326493,56139,79052,191302,7051,68,6983,7060,67,6993,920861
2050,7568,7568,7578,7505,604581,428080,176501,13329,61197,101975,7450,52,7398,7459,55,7404,47487
2051,7568,7568,7578,7528,442080,258604,183476,50610,60181,72685,7488,76,7412,7498,84,7414,0
2052,7568,7568,7578,7578,0,0,0,0,0,0,7568,28,7540,7578,32,7546,0
2053,7568,7568,7578,6308,9992506,8786619,1205887,482968,330132,392787,4256,163,4093,4303,205,4098,8350123
2054,7568,7568,7578,6346,1557901,1417672,140229,47973,34074,58182,4403,155,4248,4448,192,4256,15997680
2055,7568,7568,7578,7578,0,0,0,0,0,0,7568,27,7541,7578,29,7549,0
2056,7568,7568,7578,7578,0,0,0,0,0,0,7568,30,7538,7578,35,7543,0
2057,7568,7568,7578,7281,2746422,2338001,408421,11665,106962,289794,7071,78,6993,7076,79,6997,0
2058,7568,7568,7578,6518,12831372,11742420,1088952,307893,336443,444616,5246,128,5118,5275,153,5122,0
2059,7568,7568,7578,6492,3423402,3148000,275402,24020,85746,165636,5313,155,5158,5339,175,5164,9078700
2060,7568,7568,7578,7352,2028042,1742757,285285,13231,76800,195254,7201,69,7132,7209,73,7136,0
2061,7568,7568,7578,6994,5861783,5390767,471016,18694,138708,313614,6458,103,6355,6486,128,6358,272529
2062,7568,7568,7578,7578,0,0,0,0,0,0,7568,24,7544,7578,29,7549,0
2063,7568,7568,7578,7578,0,0,0,0,0,0,7568,19,7549,7578,25,7553,0
2064,7568,7568,7578,7513,591282,374957,216325,19279,68512,128534,7461,79,7382,7471,83,7388,0
2065,7568,7568,7578,7578,0,0,0,0,0,0,7568,33,7535,7578,36,7542,0
2066,7568,7568,7578,7567,104994,71956,33038,1563,9724,21751,7549,38,7511,7561,40,7521,0
2067,7568,7568,7578,7578,0,0,0,0,0,0,7568,9,7559,7578,12,7566,0
2068,7568,7568,7578,7578,0,0,0,0,0,0,7568,24,7544,7578,25,7553,0
2069,7568,7568,7578,7578,0,0,0,0,0,0,7568,24,7544,7578,28,7550,0
2070,7568,7568,7578,7578,0,0,0,0,0,0,7568,37,7531,7578,43,7535,0
2071,7568,7568,7578,7578,0,0,0,0,0,0,7568,60,7508,7578,63,7515,0
2072,7568,7568,7578,7578,1642,931,711,125,55,531,7567,43,7524,7578,47,7531,3884
2073,7568,7568,7578,6600,756359,710260,46099,15790,9179,21130,5805,115,5690,5833,136,5697,9024389
2074,7568,7568,7578,7578,0,0,0,0,0,0,7567,28,7539,7578,30,7548,5526
2075,7568,7568,7578,7578,0,0,0,0,0,0,7568,22,7546,7578,25,7553,0
2076,7568,7568,7578,7578,0,0,0,0,0,0,7568,45,7523,7578,47,7531,0
2077,7568,7568,7578,7578,0,0,0,0,0,0,7568,14,7554,7578,20,7558,0
2078,7568,7568,7578,7578,0,0,0,0,0,0,7568,29,7539,7578,34,7544,0
2079,7568,7568,7578,7578,0,0,0,0,0,0,7568,7,7561,7578,10,7568,0
2080,7568,7568,7578,7578,0,0,0,0,0,0,7568,17,7551,7578,20,7558,0
2081,7568,7568,7578,7578,0,0,0,0,0,0,7568,11,7557,7578,13,7565,0
2082,7568,7568,7578,7578,0,0,0,0,0,0,7568,24,7544,7578,28,7550,0
2083,7568,7568,7578,7578,0,0,0,0,0,0,7568,12,7556,7578,14,7564,0
2084,7568,7568,7578,7578,0,0,0,0,0,0,7568,1,7567,7578,3,7575,0
2085,7568,7568,7578,7578,0,0,0,0,0,0,7568,6,7562,7578,3,7575,0
2086,7568,7568,7578,7578,0,0,0,0,0,0,7568,4,7564,7578,5,7573,0
2087,7568,7568,7578,7578,0,0,0,0,0,0,7568,5,7563,7578,9,7569,0
2088,7568,7568,7578,7578,0,0,0,0,0,0,7568,4,7564,7578,7,7571,0
2089,7568,7568,7578,7578,0,0,0,0,0,0,7568,28,7540,7578,34,7544,0
2090,7568,7568,7578,7578,0,0,0,0,0,0,7568,5,7563,7578,9,7569,0
2091,7568,7568,7578,7578,0,0,0,0,0,0,7568,0,7568,7578,0,7578,0
2092,7568,7568,7578,7578,0,0,0,0,0,0,7568,19,7549,7578,23,7555,0
2093,7568,7568,7578,7578,0,0,0,0,0,0,7568,2,7566,7578,5,7573,0
2094,7568,7568,7578,7578,0,0,0,0,0,0,7568,5,7563,7578,9,7569,0
2095,7568,7568,7578,7578,0,0,0,0,0,0,7568,2,7566,7578,3,7575,0
2096,7568,7568,7578,7578,0,0,0,0,0,0,7568,0,7568,7578,0,7578,0
2097,7568,7568,7578,7578,0,0,0,0,0,0,7568,13,7555,7578,18,7560,0
2098,7568,7568,7578,7578,0,0,0,0,0,0,7568,2,7566,7578,3,7575,0
2099,7568,7568,7578,7578,0,0,0,0,0,0,7568,5,7563,7578,9,7569,0
