"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,16837430,2861763,1295342,0,537762,4853769,7288794,0,496868,289761,33702,0,0,0,173405,0,3454,2171
2011,8937545,1159610,646125,0,311882,2496674,4323254,0,227477,142358,445,0,0,0,84674,0,3039,1767
2012,28293187,9077804,4511298,0,2139952,6092339,6471794,0,1211278,708027,78634,0,0,0,424617,0,7315,6014
2013,32140551,10250823,6888304,0,834038,6685182,7482204,0,1487754,740855,300706,0,0,0,446193,0,7285,6004
2014,1258657,468964,189971,0,25057,574665,0,0,101972,53217,17138,0,0,0,31617,0,301,125
2015,16087068,3047732,1929091,0,356053,4298380,6455812,0,448405,218674,98402,0,0,0,131329,0,3805,2533
2016,15570459,2471519,1278036,0,361630,4242318,7216956,0,579158,191858,270572,0,0,0,116728,0,3115,1835
2017,9290,7232,2058,0,0,0,0,0,1421,510,705,0,0,0,206,0,4,3
2018,3536089,918724,438887,0,16736,1445630,716112,0,277324,105231,108538,0,0,0,63555,0,876,463
2019,3561843,589931,211101,0,0,1782709,978102,0,102178,45310,29866,0,0,0,27002,0,716,274
2020,31714503,8653005,6145958,0,2566423,6855861,7493256,0,923645,518765,93653,0,0,0,311227,0,6657,5373
2021,12982246,1923610,1131664,0,4439,3186339,6736194,0,379484,152181,135486,0,0,0,91817,0,2594,1375
2022,12868361,2140152,1038042,0,9452,3415940,6264775,0,462111,180132,173222,0,0,0,108757,0,2799,1590
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,587723,344789,154510,0,70869,17555,0,0,54535,24959,14678,0,0,0,14898,0,148,58
2025,2965758,672391,202381,0,76023,1373947,641016,0,117503,65385,13224,0,0,0,38894,0,627,280
2026,11345367,3048477,1862266,0,500016,2843065,3091543,0,684760,255456,274668,0,0,0,154636,0,5941,5060
2027,1271232,464868,224885,0,19062,562417,0,0,92150,40600,27357,0,0,0,24193,0,292,118
2028,32107,21403,10543,0,161,0,0,0,8900,4610,1825,0,0,0,2465,0,12,5
2029,1670802,284638,140628,0,34636,849564,361336,0,34985,20834,1940,0,0,0,12211,0,633,246
2030,11804326,1621679,972427,0,483197,3046295,5680728,0,276804,96648,121664,0,0,0,58492,0,2295,1225
2031,7424,4402,2050,0,972,0,0,0,1286,230,938,0,0,0,118,0,2,0
2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,126733,13442,57220,0,0,56071,0,0,548,367,14,0,0,0,167,0,3135,1868
2034,11336031,2769597,2597150,0,275175,2548928,3145181,0,530023,171249,254924,0,0,0,103850,0,5493,4205
