"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,24727547,6119644,2606479,0,2244067,6335939,7421418,0,845169,523173,8719,0,0,0,313277,0,5386,4100
2011,24251925,5976031,1979100,0,2372745,6574469,7349580,0,716034,444688,5068,0,0,0,266278,0,5080,3793
2012,18248824,4526998,3304873,0,373406,4478578,5564969,0,762385,361518,183244,0,0,0,217623,0,5243,3947
2013,24018365,6480244,3389590,0,476636,6261529,7410366,0,1374120,399647,729463,0,0,0,245010,0,5114,3828
2014,9721,7091,1374,0,1256,0,0,0,1717,557,937,0,0,0,223,0,3,1
2015,10816029,1907554,792965,0,468947,2971567,4674996,0,228210,126374,26249,0,0,0,75587,0,2151,1209
2016,55260,4111,21632,0,0,29517,0,0,0,0,0,0,0,0,0,0,1430,609
2017,32021621,8459346,4135594,0,5190947,6858140,7377594,0,1175119,641451,148449,0,0,0,385219,0,7190,5907
2018,21867245,5119677,3332359,0,2138904,5204876,6071429,0,940569,429795,251634,0,0,0,259140,0,5578,4292
2019,8984332,1256337,573925,0,3579,2348397,4802094,0,297384,126110,95298,0,0,0,75976,0,1810,856
2020,688259,338994,104769,0,96371,148125,0,0,82734,43209,13960,0,0,0,25565,0,182,72
2021,14522888,2744866,1377325,0,93049,3950044,6357604,0,371745,138823,149048,0,0,0,83874,0,3260,1984
2022,8636353,1172108,497114,0,280063,2271794,4415274,0,282550,129399,75407,0,0,0,77744,0,1741,846
2023,18529689,4666140,2729298,0,422968,4847516,5863767,0,566470,333607,33124,0,0,0,199739,0,5081,3806
2024,17942546,3197395,2118263,0,1103062,4450546,7073280,0,293889,128900,87498,0,0,0,77491,0,3500,2237
2025,6798609,1380123,495526,0,137304,1963087,2822569,0,254073,122002,59087,0,0,0,72984,0,4613,3334
2026,27067090,7624083,2439416,0,2175061,7307644,7520886,0,1189012,590903,242314,0,0,0,355795,0,5930,4644
2027,18946411,4475652,1488156,0,146085,5475886,7360632,0,1033513,452709,307290,0,0,0,273514,0,4137,2853
2028,1349999,520771,220769,0,0,608459,0,0,99399,38545,37721,0,0,0,23133,0,309,129
2029,4784410,762043,386047,0,179173,1904341,1552806,0,93817,38400,32559,0,0,0,22858,0,937,421
2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,23548446,6345510,2667958,0,568345,6528637,7437996,0,1084610,617525,96427,0,0,0,370658,0,5264,3982
2032,6017109,841160,427075,0,0,2146128,2602746,0,125038,52118,41619,0,0,0,31301,0,1178,501
2033,1147605,348743,251779,0,92228,454855,0,0,75334,42904,7033,0,0,0,25397,0,264,102
2034,14131109,2471596,1420943,0,27257,3853961,6357352,0,578936,228500,212447,0,0,0,137989,0,3330,2050
2035,27637,19600,6268,0,1769,0,0,0,6090,3175,1439,0,0,0,1476,0,9,4
2036,7541253,1010371,368863,0,278589,1875181,4008249,0,196628,83658,62816,0,0,0,50154,0,2167,1099
2037,10767183,1914423,790252,0,110532,3214906,4737070,0,344415,183778,50554,0,0,0,110083,0,3454,2178
2038,16273427,3434207,1523616,0,251119,4239875,6824610,0,694760,358173,121513,0,0,0,215074,0,3486,2255
2039,7507789,916536,506389,0,276910,2053339,3754615,0,154633,94726,3618,0,0,0,56289,0,1652,781
2040,20273446,5213805,2083574,0,443112,5343629,7189326,0,1172047,419040,498187,0,0,0,254820,0,4372,3100
2041,1868819,245857,179462,0,24316,865732,553452,0,50300,28434,5252,0,0,0,16614,0,760,292
2042,13150673,1886307,899692,0,5417,3553907,6805350,0,510032,196400,194761,0,0,0,118871,0,2767,1506
2043,3496391,571325,309118,0,42264,1695050,878634,0,119042,47930,42425,0,0,0,28687,0,705,276
2044,6080,3896,1106,0,1078,0,0,0,571,217,240,0,0,0,114,0,2,1
2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,8743103,1062749,816847,0,406088,1919247,4538172,0,250887,125988,49604,0,0,0,75295,0,2034,1040
2047,913808,124538,159614,0,55236,378847,195573,0,7816,3704,1961,0,0,0,2151,0,664,257
2048,14783365,2212604,1472797,0,65847,3903577,7128540,0,322074,120205,129224,0,0,0,72645,0,2890,1621
2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051,373054,271620,82833,0,18601,0,0,0,104990,41279,39194,0,0,0,24517,0,121,53
2052,812564,255471,121092,0,47567,388434,0,0,68735,34987,13143,0,0,0,20605,0,316,134
2053,14279657,2916978,1115241,0,126205,3733177,6388056,0,614865,321519,100375,0,0,0,192971,0,3055,1887
2054,369280,182015,102856,0,29010,55399,0,0,34015,15663,9136,0,0,0,9216,0,184,72
2055,6265863,674706,397107,0,0,2105016,3089034,0,154815,67711,46321,0,0,0,40783,0,1229,490
2056,11348547,1543533,907153,0,514048,2824657,5559156,0,303584,147873,67136,0,0,0,88575,0,2267,1215
2057,290808,187712,56740,0,46356,0,0,0,57272,26338,15205,0,0,0,15729,0,87,32
2058,10443,6467,3171,0,805,0,0,0,2277,479,1603,0,0,0,195,0,4,1
2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2061,3423697,308323,335738,0,78603,845718,1855315,0,87410,35063,31514,0,0,0,20833,0,1720,762
2062,1174876,388763,172313,0,43301,570499,0,0,83673,43121,15064,0,0,0,25488,0,302,120
2063,696662,393914,143623,0,9688,149437,0,0,115359,55522,26686,0,0,0,33151,0,199,77
2064,11446265,1728063,984388,0,348313,2988255,5397246,0,686075,206209,353948,0,0,0,125918,0,2796,1629
2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,3300,2400,900,0,0,0,0,0,636,186,352,0,0,0,98,0,2,0
2067,4879,3944,809,0,126,0,0,0,706,273,313,0,0,0,120,0,3,1
2068,299451,144824,135235,0,19392,0,0,0,64601,30348,16224,0,0,0,18029,0,144,56
2069,906442,166177,174963,0,10157,408526,146619,0,35596,10722,18734,0,0,0,6140,0,616,271
2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2071,2497,1978,519,0,0,0,0,0,373,102,220,0,0,0,51,0,3,1
2072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
