"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,30830170,9524566,6032502,0,503164,7155110,7614828,0,1292265,701022,170038,0,0,0,421205,0,6842,5532
2011,28777268,7282566,4001889,0,2608940,7202733,7681140,0,839142,520729,6511,0,0,0,311902,0,6108,4820
2012,15258794,2987250,1237403,0,142276,4596007,6295858,0,437073,194305,125645,0,0,0,117123,0,3606,2280
2013,27324784,6239412,5400264,0,1425352,6716766,7542990,0,795688,381147,184988,0,0,0,229553,0,5641,4355
2014,9743510,1322454,767723,0,659,2468565,5184109,0,288237,137958,67533,0,0,0,82746,0,2307,1170
2015,7517748,1173566,563548,0,35657,2150182,3594795,0,122980,67271,15801,0,0,0,39908,0,1614,776
2016,30094392,8229366,2597329,0,3867309,7768982,7631406,0,1141284,527137,296131,0,0,0,318016,0,6425,5145
2017,6961210,774523,438672,0,224311,1731944,3791760,0,155805,77476,32133,0,0,0,46196,0,2240,1100
2018,26987443,8247499,3068752,0,1259753,6956865,7454574,0,1034074,601403,71833,0,0,0,360838,0,5915,4634
2019,28698142,8853339,3305418,0,1758947,7259552,7520886,0,1153250,702724,29295,0,0,0,421231,0,6397,5105
2020,23529580,5485130,3840756,0,1011447,5748725,7443522,0,525909,220950,171384,0,0,0,133575,0,4704,3415
2021,14313448,1913913,745575,0,860963,3835763,6957234,0,287477,166415,21604,0,0,0,99458,0,2828,1580
2022,17367834,3053804,1680168,0,359970,4885630,7388262,0,531668,323449,14667,0,0,0,193552,0,3604,2317
2023,16842887,2817990,1283049,0,1178752,4451134,7111962,0,555898,305887,66733,0,0,0,183278,0,3478,2195
2024,18858645,4204908,2345251,0,268998,4822532,7216956,0,741136,381962,129656,0,0,0,229518,0,4013,2739
2025,31846431,10409869,3738076,0,2507753,7548275,7642458,0,1306724,749514,107410,0,0,0,449800,0,7083,5800
2026,14048270,3441661,1321944,0,232391,4012290,5039984,0,537786,279549,90626,0,0,0,167611,0,4636,3361
2027,34338955,10291259,7772142,0,863786,7662465,7749303,0,904679,404680,255715,0,0,0,244284,0,7230,5947
2028,320141,206063,80125,0,33953,0,0,0,38904,19584,7669,0,0,0,11651,0,88,33
2029,11895241,1689400,712113,0,221539,3110699,6161490,0,296193,163242,35217,0,0,0,97734,0,2405,1260
2030,19783557,4729155,2366444,0,152189,5224871,7310898,0,624311,381222,14844,0,0,0,228245,0,4215,2931
2031,24965038,5762285,4841663,0,836788,6102884,7421418,0,865047,451404,142373,0,0,0,271270,0,5283,3938
2032,28382916,7607875,4030330,0,2151779,7088624,7504308,0,1023672,640226,0,0,0,0,383446,0,6167,4871
2033,22856742,6951859,3512463,0,1335031,5314194,5743195,0,1038343,602613,74382,0,0,0,361348,0,6773,5486
2034,13207893,4224783,2150793,0,241383,3192198,3398736,0,735690,367599,147171,0,0,0,220920,0,6634,5351
2035,288887,194024,94863,0,0,0,0,0,51148,28846,5305,0,0,0,16997,0,126,49
2036,126308,80423,45885,0,0,0,0,0,21794,10318,5441,0,0,0,6035,0,37,13
2037,12281999,1547597,737977,0,321548,3165729,6509148,0,367459,195685,54339,0,0,0,117435,0,2680,1466
2038,24866690,6759731,3413774,0,3289036,5491698,5912451,0,932227,559725,37241,0,0,0,335261,0,7046,5782
2039,14139484,2287634,1270634,0,20975,3719053,6841188,0,307167,152499,63256,0,0,0,91412,0,2820,1588
2040,993,793,200,0,0,0,0,0,78,36,23,0,0,0,19,0,1,0
2041,8825727,1207508,680226,0,115625,2009222,4813146,0,183757,103675,18228,0,0,0,61854,0,1757,831
2042,22968425,7366609,3875410,0,306612,5499485,5920309,0,1347699,724829,187271,0,0,0,435599,0,6689,5403
2043,8552960,1408677,814230,0,162731,2185248,3982074,0,315458,156682,64897,0,0,0,93879,0,2005,1092
2044,17437031,3236395,2186186,0,79616,4739982,7194852,0,596428,258821,181365,0,0,0,156242,0,3571,2272
2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2047,29312836,7093422,6147370,0,2395713,6330437,7345894,0,1094400,641168,68868,0,0,0,384364,0,6525,5242
2048,11994120,2644084,2190667,0,489408,2974071,3695890,0,487563,284108,33627,0,0,0,169828,0,5086,3796
2049,808217,413256,138713,0,1332,254916,0,0,127136,71802,12796,0,0,0,42538,0,233,97
2050,9649607,1576452,966574,0,19012,2453889,4633680,0,327080,197294,12080,0,0,0,117706,0,3160,1888
2051,3631608,462152,411638,0,0,1347936,1409882,0,94893,59120,679,0,0,0,35094,0,1014,401
2052,25158121,6724162,3141693,0,1454446,6470506,7367314,0,837971,436950,138431,0,0,0,262590,0,5492,4158
2053,12176815,2471516,1083139,0,133245,3442700,5046215,0,463042,230904,93483,0,0,0,138655,0,3833,2550
2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,13343345,2151311,995560,0,353394,3571070,6272010,0,374303,234328,0,0,0,0,139975,0,2734,1579
2056,4004432,975372,794002,0,368327,900856,965875,0,173682,81512,43861,0,0,0,48309,0,6179,4848
2057,5541,4021,1520,0,0,0,0,0,475,184,196,0,0,0,95,0,5,2
2058,28106,19183,8923,0,0,0,0,0,6044,3170,1460,0,0,0,1414,0,9,3
2059,14506875,1836811,1533676,0,804510,3584632,6747246,0,228527,98165,71426,0,0,0,58936,0,2794,1576
2060,98833,71108,27725,0,0,0,0,0,24513,10736,7536,0,0,0,6241,0,43,20
2061,1426722,352301,256471,0,139690,628020,50240,0,58072,31391,8289,0,0,0,18392,0,336,151
2062,16178881,3683503,1989918,0,785555,4099963,5619942,0,716266,340957,170131,0,0,0,205178,0,3464,2401
2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2064,24812890,5785420,3914039,0,2764977,5671465,6676989,0,779442,418483,109642,0,0,0,251317,0,5887,4604
2065,18226,12219,6007,0,0,0,0,0,3066,2110,263,0,0,0,693,0,87,33
2066,1407276,185232,205758,0,5537,395717,615032,0,53816,23705,16601,0,0,0,13510,0,2937,1676
2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2071,9632481,1493315,1179411,0,307974,2574246,4077535,0,334912,164700,71599,0,0,0,98613,0,3484,2212
