"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6305,21092368,17634075,3458293,1546033,644625,1267635,2126,188,1938,2172,230,1942,9003984
2011,7568,7568,7578,6310,13500192,10580785,2919407,1787713,584773,546921,1108,190,918,1150,230,920,22260431
2012,7568,7568,7578,6334,19523199,16941943,2581256,778116,585761,1217379,3805,173,3632,3852,212,3640,1276344
2013,7568,7568,7578,6322,34681176,29798704,4882472,1352868,1147516,2382088,1292,199,1093,1335,235,1100,0
2014,7568,7568,7578,7541,320508,177997,142511,23450,35923,83138,7510,73,7437,7520,78,7442,0
2015,7568,7568,7578,6322,32951186,25397321,7553865,4650106,1849056,1054703,611,201,410,650,237,413,5504102
2016,7568,7568,7578,7452,624402,441207,183195,10670,35305,137220,7362,83,7279,7372,97,7275,513954
2017,7568,7568,7578,7259,1902781,1666896,235885,14738,69366,151781,7027,84,6943,7040,87,6953,1092812
2018,7568,7568,7578,6329,21606660,18310750,3295910,1184283,879658,1231969,3658,168,3490,3706,214,3492,0
2019,7568,7568,7578,6719,4751941,4396652,355289,4289,90371,260629,5964,96,5868,5979,100,5879,4132059
2020,7568,7568,7578,7381,1829106,1639189,189917,114,44583,145220,7237,65,7172,7238,61,7177,0
2021,7568,7568,7578,7455,1127304,935013,192291,1336,46310,144645,7364,46,7318,7374,47,7327,0
2022,7568,7568,7578,6891,7001442,6304021,697421,102348,193709,401364,6301,93,6208,6322,106,6216,0
2023,7568,7568,7578,6502,13914468,12294899,1619569,302717,434140,882712,5050,132,4918,5078,150,4928,0
2024,7568,7568,7578,6313,34620390,29263078,5357312,1974405,981089,2401818,1303,199,1104,1343,236,1107,0
2025,7568,7568,7578,6496,13085568,12133336,952232,56306,296454,599472,5200,105,5095,5236,138,5098,0
2026,7568,7568,7578,7420,1425708,1088638,337070,23053,91549,222468,7310,41,7269,7320,41,7279,0
2027,7568,7568,7578,6332,23215688,19985248,3230440,1376693,707094,1146653,3299,169,3130,3343,207,3136,374806
2028,7568,7568,7578,6824,6061033,5488245,572788,47662,165147,359979,6152,119,6033,6180,137,6043,1772400
2029,7568,7568,7578,6705,4520500,4120043,400457,48847,94982,256628,5926,114,5812,5944,124,5820,4575096
2030,7568,7568,7578,7578,0,0,0,0,0,0,7568,20,7548,7578,24,7554,0
