"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,17634075,4465109,3054590,0,493637,4224824,5395915,0,644625,384309,30264,0,0,0,230052,0,5442,4133
2011,10580785,3039496,1780796,0,518340,2485863,2756290,0,584773,324163,66507,0,0,0,194103,0,6460,5160
2012,16941943,3446631,1636266,0,483558,4587050,6788438,0,585761,302317,101840,0,0,0,181604,0,3763,2482
2013,29798704,9084040,5052939,0,885037,7311062,7465626,0,1147516,402249,500431,0,0,0,244836,0,6276,4987
2014,177997,135815,40950,0,1232,0,0,0,35923,19696,4503,0,0,0,11724,0,58,21
2015,25397321,7894695,2194293,0,2089289,6504071,6714973,0,1849056,834270,510963,0,0,0,503823,0,6957,5672
2016,441207,229993,102758,0,7872,100584,0,0,35305,22204,0,0,0,0,13101,0,206,80
2017,1666896,327022,142206,0,63046,856779,277843,0,69366,28715,23756,0,0,0,16895,0,541,219
2018,18310750,3865895,1979585,0,147434,4935100,7382736,0,879658,389759,254682,0,0,0,235217,0,3910,2623
2019,4396652,612409,285919,0,0,1280486,2217838,0,90371,34856,34685,0,0,0,20830,0,1604,740
2020,1639189,440427,299847,0,109177,740004,49734,0,44583,16119,18895,0,0,0,9569,0,331,143
2021,935013,323182,143699,0,93933,374199,0,0,46310,19753,14880,0,0,0,11677,0,204,81
2022,6304021,873698,286498,0,155885,1771808,3216132,0,193709,91475,47544,0,0,0,54690,0,1267,569
2023,12294899,2154733,834091,0,310057,3149510,5846508,0,434140,194522,122518,0,0,0,117100,0,2518,1424
2024,29263078,8709002,3997969,0,1271517,7653184,7631406,0,981089,502360,176581,0,0,0,302148,0,6265,4970
2025,12133336,1598278,630451,0,556106,3336213,6012288,0,296454,100582,134926,0,0,0,60946,0,2368,1260
2026,1088638,398813,135330,0,34232,520263,0,0,91549,42894,23069,0,0,0,25586,0,258,100
2027,19985248,3824658,2286129,0,1424230,5133807,7316424,0,707094,386103,89231,0,0,0,231760,0,4269,2989
2028,5488245,797216,414084,0,26527,1682008,2568410,0,165147,66726,58428,0,0,0,39993,0,1416,644
2029,4120043,527359,240020,0,49404,1176016,2127244,0,94982,49053,17017,0,0,0,28912,0,1642,761
2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,1796299,553882,231798,0,0,905625,104994,0,92535,44070,22191,0,0,0,26274,0,395,165
2032,13056079,3467058,1558182,0,566926,3384208,4079705,0,404404,223952,46461,0,0,0,133991,0,5828,4543
2033,14822707,2775993,1715737,0,278590,3927833,6124554,0,658549,343900,108201,0,0,0,206448,0,4034,2736
2034,836479,305374,179558,0,0,351547,0,0,59770,30796,10846,0,0,0,18128,0,283,112
2035,14942190,2173516,1397810,0,608857,3732935,7029072,0,357142,193871,47118,0,0,0,116153,0,2982,1726
2036,1795865,231819,195704,0,226,450065,918051,0,36109,17990,7887,0,0,0,10232,0,2358,1187
2037,6231803,731454,532969,0,139918,2064462,2763000,0,82971,45516,10380,0,0,0,27075,0,1204,505
2038,72810,43298,17713,0,11799,0,0,0,11551,6432,1391,0,0,0,3728,0,93,34
2039,8033295,839759,682125,0,125525,2252438,4133448,0,81022,33540,27493,0,0,0,19989,0,1521,654
