"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,20896191,6957549,2230846,0,1245223,5358769,5103804,0,916153,477443,151751,0,0,0,286959,0,6970,5669
2011,25380445,6839196,2335087,0,2027026,6735614,7443522,0,1077621,593686,127328,0,0,0,356607,0,5555,4269
2012,26441372,7213842,5315255,0,266990,6174133,7471152,0,1144777,542192,275760,0,0,0,326825,0,5742,4454
2013,21813340,4834416,4134789,0,224093,5478242,7141800,0,283637,151503,41415,0,0,0,90719,0,4583,3304
2014,20149349,4400436,3119873,0,1237067,5354165,6037808,0,317263,163130,56226,0,0,0,97907,0,5294,4008
2015,25511816,6456320,3427023,0,1221830,6957595,7449048,0,604508,268496,174087,0,0,0,161925,0,5152,3865
2016,15701735,3561803,1515335,0,13283,4350554,6260760,0,501092,222509,144466,0,0,0,134117,0,3831,2556
2017,5801821,766805,349859,0,272568,1708035,2704554,0,82422,49442,3614,0,0,0,29366,0,1348,631
2018,22081672,5170814,2621326,0,1095476,5772638,7421418,0,539281,260608,121952,0,0,0,156721,0,4482,3133
2019,23186715,5897796,2832138,0,445461,6545694,7465626,0,776077,379136,168611,0,0,0,228330,0,4880,3577
2020,12361308,1667811,767722,0,960704,3140667,5824404,0,144627,84232,10319,0,0,0,50076,0,2364,1278
2021,6299238,1663875,1145031,0,368481,1499107,1622744,0,240013,127212,37327,0,0,0,75474,0,7065,5784
2022,21346288,5738717,2391683,0,93287,5839333,7283268,0,753004,378228,147059,0,0,0,227717,0,4560,3285
2023,30613813,9446887,4688401,0,878082,7936831,7663612,0,971362,506138,160868,0,0,0,304356,0,6642,5359
2024,19015718,4207218,1470302,0,235041,5742525,7360632,0,960251,596150,7019,0,0,0,357082,0,4290,3006
2025,21174574,5909493,3906210,0,844309,5277290,5237272,0,642613,275452,200781,0,0,0,166380,0,6257,4962
2026,17222,12039,4969,0,214,0,0,0,1813,1024,429,0,0,0,360,0,5,3
2027,18348941,3615742,1699355,0,1003974,4846070,7183800,0,530731,284045,76230,0,0,0,170456,0,3777,2507
2028,21480061,4135672,2523519,0,5418152,4480934,4921784,0,433480,261200,16225,0,0,0,156055,0,6747,5421
2029,16349149,2962935,2283095,0,265018,4191161,6646940,0,675798,357064,104584,0,0,0,214150,0,3769,2480
2030,18978627,5134359,3354759,0,1861263,4105473,4522773,0,1090947,547560,213931,0,0,0,329456,0,6926,5576
2031,24657710,6468891,3649059,0,693652,6386008,7460100,0,1219537,654009,172483,0,0,0,393045,0,5518,4232
2032,20864067,4508076,2655991,0,558366,5720216,7421418,0,443086,264527,20236,0,0,0,158323,0,4245,2958
2033,25087422,6197651,2899292,0,2108876,6438081,7443522,0,688282,408708,34789,0,0,0,244785,0,5247,3958
2034,17172424,5066415,2963510,0,1121806,3805218,4215475,0,519189,320600,6983,0,0,0,191606,0,6718,5420
2035,12165081,3310973,1263178,0,552310,3310595,3728025,0,433822,248500,36553,0,0,0,148769,0,5355,4030
2036,11453231,2752254,1110944,0,618439,3124384,3847210,0,290532,182040,0,0,0,0,108492,0,4804,3505
2037,23417551,6138500,2919314,0,537069,6357042,7465626,0,696354,376522,93754,0,0,0,226078,0,4941,3619
2038,1966734,596592,217523,0,119913,944290,88416,0,90670,36716,31920,0,0,0,22034,0,422,194
2039,16259358,2282078,1344035,0,965686,4489285,7178274,0,197844,95803,44597,0,0,0,57444,0,3135,1881
2040,6363020,893741,572381,0,9627,1605349,3281922,0,137144,77022,14305,0,0,0,45817,0,1828,880
2041,13246519,3426919,1303358,0,1491291,2867227,4157724,0,335323,199846,16043,0,0,0,119434,0,3899,2794
2042,29387132,8483976,5396310,0,1052118,6978050,7476678,0,1356681,584303,419264,0,0,0,353114,0,6416,5078
2043,4272048,542786,280697,0,44754,1243311,2160500,0,77785,31510,27477,0,0,0,18798,0,1598,729
2044,12737424,1561947,975224,0,984656,3202379,6013218,0,222052,121816,27742,0,0,0,72494,0,3002,1748
2045,10764722,2858181,1473509,0,701553,2742724,2988755,0,317717,150110,77550,0,0,0,90057,0,5718,4394
2046,25238964,7478401,1895822,0,1405498,7026773,7432470,0,1157119,626861,153584,0,0,0,376674,0,5628,4345
2047,17447995,3420042,1293584,0,280181,5093556,7360632,0,798304,395410,165140,0,0,0,237754,0,3726,2442
2048,16185830,2638928,1514535,0,805071,4242432,6984864,0,421644,263996,0,0,0,0,157648,0,3347,2079
2049,22421524,5243448,3187027,0,1122235,5858603,7010211,0,1257679,576981,332465,0,0,0,348233,0,5194,3869
2050,19320,10320,7397,0,1603,0,0,0,1969,799,875,0,0,0,295,0,9,3
2051,69960,48483,18090,0,3387,0,0,0,8860,4971,1030,0,0,0,2859,0,20,7
2052,7992,4678,2774,0,540,0,0,0,567,184,301,0,0,0,82,0,2,1
2053,645946,335402,170321,0,20474,119749,0,0,57097,23876,18968,0,0,0,14253,0,186,72
2054,18998425,4041758,1505327,0,1090588,5160374,7200378,0,729730,362320,149494,0,0,0,217916,0,3981,2711
2055,13124502,3825717,2769960,0,255244,2949881,3323700,0,553393,236275,174768,0,0,0,142350,0,6284,5002
2056,606920,359525,102268,0,75143,69984,0,0,67509,37779,7387,0,0,0,22343,0,162,64
2057,14095855,2742582,1422061,0,2285421,3465384,4180407,0,389011,237763,9310,0,0,0,141938,0,5418,4120
2058,4361615,581090,293319,0,0,1078926,2408280,0,90868,54307,4594,0,0,0,31967,0,2218,1063
2059,22623265,5864313,2563244,0,463781,6299457,7432470,0,890030,405770,239475,0,0,0,244785,0,4817,3531
2060,7853354,980634,516310,0,95869,2018541,4242000,0,177939,111547,0,0,0,0,66392,0,1795,833
2061,15085291,2458384,1666121,0,3135293,3567643,4257850,0,246738,138842,25265,0,0,0,82631,0,5046,3752
2062,10280767,2116832,2011048,0,192627,2553871,3406389,0,311141,136786,92399,0,0,0,81956,0,4398,3109
2063,10242666,1392934,822748,0,539487,2353843,5133654,0,261743,131323,51739,0,0,0,78681,0,2042,1046
2064,11996885,2244544,1532174,0,191461,3217268,4811438,0,430483,223617,72948,0,0,0,133918,0,3777,2490
2065,12415807,2523860,1047744,0,29736,3338667,5475800,0,363883,191543,57497,0,0,0,114843,0,2742,1655
2066,12169083,2433449,1224722,0,1178806,3288589,4043517,0,270835,169716,0,0,0,0,101119,0,5260,3975
2067,7396649,1121046,1369142,0,69111,2014722,2822628,0,233054,110511,56504,0,0,0,66039,0,3668,2324
2068,14279648,2219731,1168741,0,201040,3766058,6924078,0,234568,115196,50263,0,0,0,69109,0,2794,1550
2069,9639232,1383429,502115,0,376194,2462334,4915160,0,215943,116206,30329,0,0,0,69408,0,2245,1188
2070,10414507,1474285,869957,0,141213,2474890,5454162,0,361206,134097,146060,0,0,0,81049,0,2087,1047
2071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2072,7108048,987808,428570,0,115278,2216584,3359808,0,186514,97568,30749,0,0,0,58197,0,1419,644
2073,15333997,2544381,1516519,0,166790,4091708,7014599,0,560611,248885,161750,0,0,0,149976,0,3180,1924
2074,38682,2896,15043,0,0,20743,0,0,0,0,0,0,0,0,0,0,1045,421
2075,5941671,857062,399723,0,93913,1451669,3139304,0,165489,93962,15678,0,0,0,55849,0,1954,963
2076,12839027,1688240,1060547,0,118172,3256968,6715100,0,332587,207445,1413,0,0,0,123729,0,2696,1402
2077,27005981,6408130,5432086,0,1388921,6300166,7476678,0,995564,429568,306457,0,0,0,259539,0,5633,4326
2078,7918,6304,1614,0,0,0,0,0,1459,450,803,0,0,0,206,0,3,1
2079,5196,3108,1254,0,834,0,0,0,894,218,562,0,0,0,114,0,2,0
2080,1671071,500797,183133,0,90252,753213,143676,0,94287,50545,13881,0,0,0,29861,0,370,156
2081,1689973,300642,377065,0,112704,470565,428997,0,51306,26146,10202,0,0,0,14958,0,4437,3148
2082,7453170,1136884,852497,0,65183,1885562,3513044,0,217649,72075,102016,0,0,0,43558,0,2556,1396
