"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6310,25689317,20896191,4793126,2216306,916153,1660667,598,190,408,641,231,410,12858952,2010,20896191,6957549,2230846,0,1245223,5358769,5103804,0,916153,477443,151751,0,0,0,286959,0,6970,5669
2011,7568,7568,7578,6322,30696930,25380445,5316485,2480609,1077621,1758255,2013,198,1815,2053,233,1820,0,2011,25380445,6839196,2335087,0,2027026,6735614,7443522,0,1077621,593686,127328,0,0,0,356607,0,5555,4269
2012,7568,7568,7578,6322,31730292,26441372,5288920,2389599,1144777,1754544,1826,197,1629,1868,233,1635,0,2012,26441372,7213842,5315255,0,266990,6174133,7471152,0,1144777,542192,275760,0,0,0,326825,0,5742,4454
2013,7568,7568,7578,6331,23788462,21813340,1975122,285707,283637,1405778,2985,178,2807,3027,215,2812,1539662,2013,21813340,4834416,4134789,0,224093,5478242,7141800,0,283637,151503,41415,0,0,0,90719,0,4583,3304
2014,7568,7568,7578,6324,22178046,20149349,2028697,466980,317263,1244454,2274,183,2091,2316,219,2097,7096613,2014,20149349,4400436,3119873,0,1237067,5354165,6037808,0,317263,163130,56226,0,0,0,97907,0,5294,4008
2015,7568,7568,7578,6322,28469952,25511816,2958136,692214,604508,1661414,2416,195,2221,2457,231,2226,0,2015,25511816,6456320,3427023,0,1221830,6957595,7449048,0,604508,268496,174087,0,0,0,161925,0,5152,3865
2016,7568,7568,7578,6339,17949313,15701735,2247578,474844,501092,1271642,3737,157,3580,3783,199,3584,3231237,2016,15701735,3561803,1515335,0,13283,4350554,6260760,0,501092,222509,144466,0,0,0,134117,0,3831,2556
2017,7568,7568,7578,6876,6251253,5801821,449432,20902,82422,346108,6220,106,6114,6245,122,6123,1203948,2017,5801821,766805,349859,0,272568,1708035,2704554,0,82422,49442,3614,0,0,0,29366,0,1348,631
2018,7568,7568,7578,6268,24767532,22081672,2685860,584503,539281,1562076,3086,156,2930,3135,201,2934,0,2018,22081672,5170814,2621326,0,1095476,5772638,7421418,0,539281,260608,121952,0,0,0,156721,0,4482,3133
2019,7568,7568,7578,6310,26966880,23186715,3780165,1123536,776077,1880552,2688,183,2505,2733,222,2511,0,2019,23186715,5897796,2832138,0,445461,6545694,7465626,0,776077,379136,168611,0,0,0,228330,0,4880,3577
2020,7568,7568,7578,6510,13063464,12361308,702156,93248,144627,464281,5204,114,5090,5232,134,5098,0,2020,12361308,1667811,767722,0,960704,3140667,5824404,0,144627,84232,10319,0,0,0,50076,0,2364,1278
2021,7568,7568,7578,6322,7509193,6299238,1209955,584770,240013,385172,503,195,308,538,231,307,31605817,2021,6299238,1663875,1145031,0,368481,1499107,1622744,0,240013,127212,37327,0,0,0,75474,0,7065,5784
2022,7568,7568,7578,6336,25198560,21346288,3852272,1182432,753004,1916836,3008,186,2822,3051,224,2827,0,2022,21346288,5738717,2391683,0,93287,5839333,7283268,0,753004,378228,147059,0,0,0,227717,0,4560,3285
2023,7568,7568,7578,6323,36207918,30613813,5594105,2006509,971362,2616234,926,205,721,964,241,723,495824,2023,30613813,9446887,4688401,0,878082,7936831,7663612,0,971362,506138,160868,0,0,0,304356,0,6642,5359
