"cnrmcm3","gfdlcm21","miroc32med","mpiecham5","ncarccsm3","ncarpcm1"
5204.36234228405,5526,5469.51002599332,5526,3875.84858507902,3685.69827833572
1830.98377351977,3279.73445212241,5526,5526,2089.81300309598,5526
4715.511053316,4801.75871496924,4130.77341216861,4756.15806988353,5188.200637789,5526
3650.19257262653,5448.94989704873,5526,5526,5526,5190.58738817369
1402.86305064429,5526,5526,4697.7381881231,5526,4189.27956176804
5526,4753.47621550591,5526,5072.77633209418,4736.40735949403,5526
490.487652608213,5526,38.6433566433566,5526,3031.07766990291,4685.28138867136
5526,4019,5249.99847009736,3375.56026785714,3517.15526802218,4637.42804154303
3904.42421052632,4967.16666666667,4597.92076012908,5526,5526,5526
5526,5526,5526,5525.78896357668,2962.55673316708,5526
5526,5526,5526,5526,5526,5526
1319.87891344383,5525.9734001542,4920.96871165644,5526,5526,1062.87232837933
1236.17041800643,5163.70275098249,5526,5526,5526,5526
5252.26241514827,NA,4269.86321590238,5526,5526,5451.35772357724
1248.0492478879,5526,5526,5526,5526,5526
4575.14811116658,5526,1706.88965965749,5526,5526,3881.53619945661
3059.22341280471,2320.34943612186,5526,3589.49762726488,5526,5526
4132.0064345193,5526,5526,5444.02918395574,5438.20285781213,5526
5526,5174,5526,5526,4280.39053672316,3513.34607973914
5526,2926.85939968404,5526,5493.04241164241,2753.04506699147,5080.85858317856
3259.62827020695,5526,NA,5526,NA,3447.54374819521
5525.83467259361,5526,5526,5526,5526,5526
5243.38864142539,NA,5526,5526,2621.63417982155,5526
5008.52288135593,42.3043062200957,5526,4214.16831536985,4344.51338621715,5478.76786735277
5526,2392.16202439468,4827.2990990991,2529.26439553814,3828.68197879859,3004.18383447455
2626.33499433749,4697,5526,3926,5526,2708.03193277311
5526,4626.49572649573,3807.93724042455,5526,829.795589482612,2733.9385928393
4108.27685676393,5526,3559.5002895194,5110.58992537313,5526,5526
5526,5526,5526,4262.20806131138,1274.25806451613,5526
5522.2204871955,5526,4971.79418886199,5526,5524.05325443787,5520.11642743222
3878.96707317073,NA,5526,1737,5526,3832.04212253829
5526,5526,2726.21710526316,5526,NA,3843.85278276481
5526,NA,5318.00614383809,4458.46225145762,NA,5505.7328553616
5526,5526,5526,4865.52319201995,NA,2870.46808510638
5042.60769230769,4603.36533665835,4798,5526,5526,4540.12025316456
NA,5526,NA,NA,5526,2147.27282266527
5526,5173.4367816092,4752.50737463127,NA,5526,5526
5526,5526,1429.82981927711,5362.82436781609,5525.23019151333,5526
5525.97200447928,3496.3375071144,5526,2829.58139992135,5283.3374108053,5444.20376456528
5401.47686613202,3755.18375241779,NA,5526,5526,5257.67500962649
4146.14780600462,5123.56779661017,NA,3531.12183544304,5526,3115
2573.7301423561,5526,5525.17355371901,3995.03747534517,5171.89406779661,5526
5526,NA,3347.79746835443,5337.82665695557,5526,5526
5369.91458333333,3017.06099033816,5526,3696.39029480824,116.793650793651,4676.86021505376
NA,492.227804107425,2738.66304347826,NA,5526,5526
3445.953145917,NA,5526,5526,3667.50641539695,2480.52832590707
812.974592833876,NA,5526,770.393753034472,254.527218934911,5526
3927.29778212655,5526,5526,1834,562.13523573201,2947.67607973422
5526,5526,4213,5526,NA,2165.91614066727
NA,1518.13835920177,NA,5520.44595561918,NA,5525.98443014324
NA,5526,NA,4143.72093023256,5526,4832.47186629526
NA,5280.88558558559,2141.65930232558,4989.85714285714,3707.35828571429,3212.89377724931
NA,NA,4974.67549668874,5526,4256.70061412487,2640.30763983629
5526,NA,5526,NA,5526,5520.79285014692
3969,5526,4670.87339055794,4848.86648547647,NA,3665.49589621393
38.0665901262916,NA,NA,393.390804597701,NA,5159.08315098468
NA,5526,3240,538.98025195778,5526,2596.41102661597
5526,NA,3090,NA,NA,2263.59105779716
NA,NA,3444.42361111111,NA,NA,5526
NA,NA,1632.02597402597,NA,NA,4735.71804008909
NA,NA,NA,NA,1398.34939759036,5526
3617,NA,1522,3124.696326062,NA,NA
NA,1642,NA,1386.00711321873,NA,5526
NA,429.018150879183,NA,3199.79372197309,3233.63709677419,5450.77704402516
5526,0,NA,3748.26483649576,NA,37.0162679425837
NA,NA,NA,NA,NA,3402.70010235415
2452.55555555556,NA,NA,NA,NA,5317.5118694362
578,NA,NA,NA,NA,5526
38.682,NA,NA,1008.69350360911,5199,4622
2752.63432835821,NA,NA,NA,NA,4396
1582,NA,NA,557.226086956522,NA,5517.35675675676
NA,NA,NA,819.005609573672,1538.54166666667,430.042370971377
NA,NA,NA,2842.55172413793,NA,3183.76604068858
NA,NA,40.0434782608696,3728.9625,NA,5526
2135,NA,2261,147.279373368146,NA,NA
2711,NA,2361,38.4965167827739,NA,NA
NA,NA,NA,36.2261677137394,NA,5526
NA,NA,NA,364.404312668464,454.174688057041,NA
NA,NA,NA,NA,53.3913043478261,34.4794816414687
NA,NA,NA,NA,NA,4652.7303510407
NA,NA,NA,578,NA,2025.51237623762
4270,NA,NA,NA,NA,5516.94666666667
3269,NA,NA,NA,NA,5526
36.5960264900662,NA,NA,NA,NA,5526
NA,NA,NA,NA,NA,4600.90909090909
NA,NA,NA,NA,NA,5526
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,0,NA,NA,NA
NA,NA,NA,0,NA,NA
