"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6309,14423309,13081430,1341879,746673,264223,330983,1768,192,1576,1811,231,1580,17681970
2011,7568,7568,7578,6312,143676,136951,6725,6154,557,14,3620,161,3459,3666,202,3464,21761388
2012,7568,7568,7578,6323,21128606,18151675,2976931,915122,677338,1384471,3129,176,2953,3171,214,2957,3414747
2013,7568,7568,7578,6325,11382260,9822261,1559999,605231,301179,653589,3399,166,3233,3444,205,3239,11700317
2014,7568,7568,7578,6275,34267495,29192314,5075181,2129889,967637,1977655,804,185,619,850,229,621,3111323
2015,7568,7568,7578,6821,5987933,5441627,546306,81093,182253,282960,6205,93,6112,6226,104,6122,1551915
2016,7568,7568,7578,6348,12046933,10856399,1190534,228645,245356,716533,4091,173,3918,4135,211,3924,7191712
2017,7568,7568,7578,6342,19396260,16830368,2565892,566776,666142,1332974,4058,169,3889,4103,208,3895,0
2018,7568,7568,7578,6322,30536676,27567634,2969042,1045000,549270,1374772,2042,198,1844,2078,232,1846,0
2019,7568,7568,7578,6336,3851989,3573946,278043,34777,65215,178051,3668,153,3515,3713,196,3517,17764076
2020,7568,7568,7578,6334,14105934,12508264,1597670,620419,333166,644085,3568,168,3400,3614,207,3407,8026101
2021,7568,7568,7578,6286,31022828,24667623,6355205,4023414,1488528,843263,772,181,591,821,227,594,6549508
2022,7568,7568,7578,6343,7899694,7181872,717822,213708,192343,311771,4552,155,4397,4602,196,4406,8798708
2023,7568,7568,7578,6607,6288551,5730497,558054,62800,147822,347432,5737,123,5614,5758,138,5620,3850655
2024,7568,7568,7578,6292,21916116,18939377,2976739,1135351,584382,1257006,3602,157,3445,3653,202,3451,0
2025,7568,7568,7578,6266,21332749,17576696,3756053,2455696,859887,440470,213,182,31,258,226,32,19357374
2026,7568,7568,7578,6822,12206934,10013073,2193861,689077,637990,866794,5359,163,5196,5383,180,5203,0
2027,7568,7568,7578,7514,569178,413274,155904,957,30803,124144,7465,36,7429,7475,38,7437,0
2028,7568,7568,7578,7134,3638728,3302896,335832,22211,92964,220657,6797,102,6695,6826,122,6704,625034
2029,7568,7568,7578,6324,15801861,13827021,1974840,836968,450851,687021,2831,163,2668,2874,201,2673,10405373
2030,7568,7568,7578,7566,104994,65008,39986,4258,10125,25603,7549,34,7515,7559,38,7521,0
2031,7568,7568,7578,6323,37090512,28673322,8417190,4437938,1701806,2277446,856,201,655,893,237,656,0
2032,7568,7568,7578,6299,23604144,20832829,2771315,1284609,567824,918882,3071,164,2907,3121,209,2912,1248331
2033,7568,7568,7578,6309,37112469,34442413,2670056,832275,568877,1268904,843,189,654,884,228,656,49881
2034,7568,7568,7578,6450,14328918,12864107,1464811,128163,376800,959848,4975,125,4850,5027,170,4857,0
2035,7568,7568,7578,6997,5979132,5608183,370949,8300,86010,276639,6486,98,6388,6512,116,6396,0
2036,7568,7568,7578,6337,16195504,14371999,1823505,839706,435873,547926,4162,158,4004,4211,197,4014,2635592
2037,7568,7568,7578,6324,16430273,14599503,1830770,965247,377128,488395,3146,167,2979,3188,205,2983,8033427
2038,7568,7568,7578,6309,37985441,29429838,8555603,5260800,1672363,1622440,507,187,320,548,227,321,1034047
2039,7568,7568,7578,6340,18670338,16588134,2082204,525282,498792,1058130,4063,155,3908,4111,194,3917,699174
2040,7568,7568,7578,6988,5503896,5020725,483171,40609,123475,319087,6572,91,6481,6599,115,6484,0
2041,7568,7568,7578,6287,27635526,24118236,3517290,1132478,835765,1549047,2567,187,2380,2616,233,2383,0
2042,7568,7568,7578,6567,7856630,7155371,701259,84348,178668,438243,5661,123,5538,5686,142,5544,2695272
2043,7568,7568,7578,6497,11430849,10464952,965897,86665,186529,692703,5251,119,5132,5278,141,5137,1376211
2044,7568,7568,7578,6270,27563688,23414478,4149210,1539229,1084499,1525482,2580,175,2405,2629,219,2410,0
2045,7568,7568,7578,6575,10830960,10201621,629339,66008,158612,404719,5608,109,5499,5631,122,5509,0
2046,7568,7568,7578,6390,13687902,12376287,1311615,261914,312423,737278,5091,133,4958,5138,175,4963,0
2047,7568,7568,7578,6308,10161667,8481494,1680173,702489,315089,662595,1882,191,1691,1927,231,1696,21326943
2048,7568,7568,7578,6329,19644930,17246132,2398798,423216,874621,1100961,4013,174,3839,4058,210,3848,0
2049,7568,7568,7578,7569,82890,45322,37568,6696,11093,19779,7553,15,7538,7564,16,7548,0
2050,7568,7568,7578,7290,2707740,2284248,423492,13699,89348,320445,7078,71,7007,7066,51,7015,0
2051,7568,7568,7578,6282,13716792,11472527,2244265,1188177,481551,574537,2941,175,2766,2990,218,2772,11892027
2052,7568,7568,7578,6308,16289920,14287281,2002639,511647,479600,1011392,2205,201,2004,2249,240,2009,13389921
2053,7568,7568,7578,6574,10240195,9404443,835752,37753,176018,621981,5665,125,5540,5693,151,5542,277043
2054,7568,7568,7578,6427,15047298,13645701,1401597,252837,347190,801570,4845,131,4714,4900,181,4719,0
2055,7568,7568,7578,6607,8602996,7916092,686904,92546,150753,443605,5553,111,5442,5579,129,5450,2543954
2056,7568,7568,7578,6662,9421830,8615114,806716,182041,187077,437598,5863,107,5756,5884,122,5762,0
2057,7568,7568,7578,6354,18561834,16313645,2248189,974742,499512,773935,4209,173,4036,4251,205,4046,0
2058,7568,7568,7578,6285,9659788,8391755,1268033,452800,269637,545596,3154,160,2994,3206,207,2999,14784444
2059,7568,7568,7578,6323,14228480,12314415,1914065,754622,374865,784578,3278,163,3115,3321,199,3122,9509011
2060,7568,7568,7578,6317,28200622,24509244,3691378,1514610,672873,1503895,1339,181,1158,1380,219,1161,6239922
2061,7568,7568,7578,6325,11450399,9773205,1677194,629919,573121,474154,3635,172,3463,3677,205,3472,10325551
2062,7568,7568,7578,7578,5526,2954,2572,381,494,1697,7567,14,7553,7578,9,7569,0
2063,7568,7568,7578,6363,17141652,15046075,2095577,501813,767255,826509,4466,155,4311,4516,198,4318,0
2064,7568,7568,7578,7578,5526,3669,1857,4,182,1671,7567,17,7550,7578,13,7565,0
2065,7568,7568,7578,6797,7906005,7087680,818325,125257,240768,452300,6093,107,5986,6113,119,5994,245902
2066,7568,7568,7578,6406,16191180,14209398,1981782,344607,540481,1096694,4638,148,4490,4685,190,4495,0
2067,7568,7568,7578,7562,138150,106418,31732,401,13393,17938,7543,46,7497,7553,49,7504,0
2068,7568,7568,7578,7578,0,0,0,0,0,0,7568,8,7560,7578,0,7578,0
2069,7568,7568,7578,6372,14621796,13128673,1493123,256587,415304,821232,4922,151,4771,4968,191,4777,0
2070,7568,7568,7578,7578,0,0,0,0,0,0,7568,26,7542,7578,27,7551,0
2071,7568,7568,7578,6351,7855833,7113718,742115,146278,210136,385701,4828,149,4679,4876,192,4684,7320326
