"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,13081430,2819810,1890200,0,2094670,2879139,3397611,0,264223,161318,6923,0,0,0,95982,0,5800,4498
2011,136951,13678,67834,0,471,54968,0,0,557,365,3,0,0,0,189,0,3948,2646
2012,18151675,4255103,2724843,0,346239,4525153,6300337,0,677338,311773,177841,0,0,0,187724,0,4439,3152
2013,9822261,1972819,958274,0,566623,2645423,3679122,0,301179,187250,2348,0,0,0,111581,0,4169,2881
2014,29192314,8357092,6680544,0,949308,6255907,6949463,0,967637,490680,181899,0,0,0,295058,0,6764,5425
2015,5441627,675206,337011,0,35977,1760229,2633204,0,182253,70139,69972,0,0,0,42142,0,1363,595
2016,10856399,1913669,988516,0,423404,2847198,4683612,0,245356,132509,33735,0,0,0,79112,0,3477,2213
2017,16830368,3388757,1281299,0,170550,4817014,7172748,0,666142,291275,199119,0,0,0,175748,0,3510,2239
2018,27567634,6279498,5476379,0,2044147,6313036,7454574,0,549270,306651,58759,0,0,0,183860,0,5526,4244
2019,3573946,492386,350370,0,54203,1024187,1652800,0,65215,28265,20463,0,0,0,16487,0,3900,2623
2020,12508264,2380965,1159817,0,944952,3169125,4853405,0,333166,194175,23098,0,0,0,115893,0,4000,2720
2021,24667623,6514853,4812297,0,1717301,5458510,6164662,0,1488528,715374,341970,0,0,0,431184,0,6796,5465
2022,7181872,970904,910075,0,153097,1842996,3304800,0,192343,96733,38139,0,0,0,57471,0,3016,1741
2023,5730497,728359,515762,0,0,1374400,3111976,0,147822,67419,40295,0,0,0,40108,0,1831,849
2024,18939377,3849163,1500185,0,937750,5241913,7410366,0,584382,365626,0,0,0,0,218756,0,3966,2639
2025,17576696,4275204,3550837,0,2146309,3598368,4005978,0,859887,415175,194981,0,0,0,249731,0,7355,6008
2026,10013073,2829967,1598870,0,156049,2129165,3299022,0,637990,242850,248029,0,0,0,147111,0,2209,1439
2027,413274,247645,163522,0,2107,0,0,0,30803,15512,6053,0,0,0,9238,0,103,39
2028,3302896,465639,249191,0,76260,1383248,1128558,0,92964,41175,27458,0,0,0,24331,0,771,308
2029,13827021,2575138,1398838,0,1001020,3924751,4927274,0,450851,221712,96161,0,0,0,132978,0,4737,3450
2030,65008,42244,17545,0,5219,0,0,0,10125,5087,2169,0,0,0,2869,0,19,7
2031,28673322,9888658,2775887,0,619872,7790655,7598250,0,1701806,863521,318468,0,0,0,519817,0,6712,5430
2032,20832829,3784242,2613908,0,2074074,5190983,7169622,0,567824,334151,33592,0,0,0,200081,0,4497,3178
2033,34442413,8660770,6655202,0,4426173,7223590,7476678,0,568877,245328,175527,0,0,0,148022,0,6725,5425
2034,12864107,2107242,1051582,0,25186,3336249,6343848,0,376800,159774,120808,0,0,0,96218,0,2593,1423
2035,5608183,831838,645248,0,173864,1984451,1972782,0,86010,37976,25372,0,0,0,22662,0,1082,485
2036,14371999,1985697,1403809,0,927107,3798946,6256440,0,435873,251511,33979,0,0,0,150383,0,3406,2126
2037,14599503,2504504,2510555,0,1269187,3290121,5025136,0,377128,234865,2148,0,0,0,140115,0,4422,3136
2038,29429838,9030779,3457806,0,2186523,7272751,7481979,0,1672363,940641,166779,0,0,0,564943,0,7061,5761
2039,16588134,2705662,2838610,0,140610,3894052,7009200,0,498792,241980,111455,0,0,0,145357,0,3505,2229
2040,5020725,640106,319131,0,3013,2013855,2044620,0,123475,61127,26026,0,0,0,36322,0,996,389
2041,24118236,5968139,3148311,0,1343490,6209248,7449048,0,835765,362783,253755,0,0,0,219227,0,5001,3671
2042,7155371,891852,511008,0,0,1741119,4011392,0,178668,85376,42387,0,0,0,50905,0,1907,881
2043,10464952,1473120,805719,0,174133,2720708,5291272,0,186529,111733,8244,0,0,0,66552,0,2317,1219
2044,23414478,5791231,3746226,0,643747,5795278,7437996,0,1084499,434605,386663,0,0,0,263231,0,4988,3641
2045,10201621,1261294,626604,0,624091,2406776,5282856,0,158612,75887,37465,0,0,0,45260,0,1960,944
