"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6309,14423309,13081430,1341879,746673,264223,330983,1768,192,1576,1811,231,1580,17681970,2010,13081430,2819810,1890200,0,2094670,2879139,3397611,0,264223,161318,6923,0,0,0,95982,0,5800,4498
2011,7568,7568,7578,6312,143676,136951,6725,6154,557,14,3620,161,3459,3666,202,3464,21761388,2011,136951,13678,67834,0,471,54968,0,0,557,365,3,0,0,0,189,0,3948,2646
2012,7568,7568,7578,6323,21128606,18151675,2976931,915122,677338,1384471,3129,176,2953,3171,214,2957,3414747,2012,18151675,4255103,2724843,0,346239,4525153,6300337,0,677338,311773,177841,0,0,0,187724,0,4439,3152
2013,7568,7568,7578,6325,11382260,9822261,1559999,605231,301179,653589,3399,166,3233,3444,205,3239,11700317,2013,9822261,1972819,958274,0,566623,2645423,3679122,0,301179,187250,2348,0,0,0,111581,0,4169,2881
2014,7568,7568,7578,6275,34267495,29192314,5075181,2129889,967637,1977655,804,185,619,850,229,621,3111323,2014,29192314,8357092,6680544,0,949308,6255907,6949463,0,967637,490680,181899,0,0,0,295058,0,6764,5425
2015,7568,7568,7578,6821,5987933,5441627,546306,81093,182253,282960,6205,93,6112,6226,104,6122,1551915,2015,5441627,675206,337011,0,35977,1760229,2633204,0,182253,70139,69972,0,0,0,42142,0,1363,595
2016,7568,7568,7578,6348,12046933,10856399,1190534,228645,245356,716533,4091,173,3918,4135,211,3924,7191712,2016,10856399,1913669,988516,0,423404,2847198,4683612,0,245356,132509,33735,0,0,0,79112,0,3477,2213
2017,7568,7568,7578,6342,19396260,16830368,2565892,566776,666142,1332974,4058,169,3889,4103,208,3895,0,2017,16830368,3388757,1281299,0,170550,4817014,7172748,0,666142,291275,199119,0,0,0,175748,0,3510,2239
2018,7568,7568,7578,6322,30536676,27567634,2969042,1045000,549270,1374772,2042,198,1844,2078,232,1846,0,2018,27567634,6279498,5476379,0,2044147,6313036,7454574,0,549270,306651,58759,0,0,0,183860,0,5526,4244
2019,7568,7568,7578,6336,3851989,3573946,278043,34777,65215,178051,3668,153,3515,3713,196,3517,17764076,2019,3573946,492386,350370,0,54203,1024187,1652800,0,65215,28265,20463,0,0,0,16487,0,3900,2623
2020,7568,7568,7578,6334,14105934,12508264,1597670,620419,333166,644085,3568,168,3400,3614,207,3407,8026101,2020,12508264,2380965,1159817,0,944952,3169125,4853405,0,333166,194175,23098,0,0,0,115893,0,4000,2720
2021,7568,7568,7578,6286,31022828,24667623,6355205,4023414,1488528,843263,772,181,591,821,227,594,6549508,2021,24667623,6514853,4812297,0,1717301,5458510,6164662,0,1488528,715374,341970,0,0,0,431184,0,6796,5465
2022,7568,7568,7578,6343,7899694,7181872,717822,213708,192343,311771,4552,155,4397,4602,196,4406,8798708,2022,7181872,970904,910075,0,153097,1842996,3304800,0,192343,96733,38139,0,0,0,57471,0,3016,1741
2023,7568,7568,7578,6607,6288551,5730497,558054,62800,147822,347432,5737,123,5614,5758,138,5620,3850655,2023,5730497,728359,515762,0,0,1374400,3111976,0,147822,67419,40295,0,0,0,40108,0,1831,849
2024,7568,7568,7578,6292,21916116,18939377,2976739,1135351,584382,1257006,3602,157,3445,3653,202,3451,0,2024,18939377,3849163,1500185,0,937750,5241913,7410366,0,584382,365626,0,0,0,0,218756,0,3966,2639
2025,7568,7568,7578,6266,21332749,17576696,3756053,2455696,859887,440470,213,182,31,258,226,32,19357374,2025,17576696,4275204,3550837,0,2146309,3598368,4005978,0,859887,415175,194981,0,0,0,249731,0,7355,6008
2026,7568,7568,7578,6822,12206934,10013073,2193861,689077,637990,866794,5359,163,5196,5383,180,5203,0,2026,10013073,2829967,1598870,0,156049,2129165,3299022,0,637990,242850,248029,0,0,0,147111,0,2209,1439
2027,7568,7568,7578,7514,569178,413274,155904,957,30803,124144,7465,36,7429,7475,38,7437,0,2027,413274,247645,163522,0,2107,0,0,0,30803,15512,6053,0,0,0,9238,0,103,39
2028,7568,7568,7578,7134,3638728,3302896,335832,22211,92964,220657,6797,102,6695,6826,122,6704,625034,2028,3302896,465639,249191,0,76260,1383248,1128558,0,92964,41175,27458,0,0,0,24331,0,771,308
2029,7568,7568,7578,6324,15801861,13827021,1974840,836968,450851,687021,2831,163,2668,2874,201,2673,10405373,2029,13827021,2575138,1398838,0,1001020,3924751,4927274,0,450851,221712,96161,0,0,0,132978,0,4737,3450
2030,7568,7568,7578,7566,104994,65008,39986,4258,10125,25603,7549,34,7515,7559,38,7521,0,2030,65008,42244,17545,0,5219,0,0,0,10125,5087,2169,0,0,0,2869,0,19,7
2031,7568,7568,7578,6323,37090512,28673322,8417190,4437938,1701806,2277446,856,201,655,893,237,656,0,2031,28673322,9888658,2775887,0,619872,7790655,7598250,0,1701806,863521,318468,0,0,0,519817,0,6712,5430
2032,7568,7568,7578,6299,23604144,20832829,2771315,1284609,567824,918882,3071,164,2907,3121,209,2912,1248331,2032,20832829,3784242,2613908,0,2074074,5190983,7169622,0,567824,334151,33592,0,0,0,200081,0,4497,3178
2033,7568,7568,7578,6309,37112469,34442413,2670056,832275,568877,1268904,843,189,654,884,228,656,49881,2033,34442413,8660770,6655202,0,4426173,7223590,7476678,0,568877,245328,175527,0,0,0,148022,0,6725,5425
