"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6333,14945138,13061865,1883273,618533,478473,786267,3925,158,3767,3970,195,3775,5207860
2011,7568,7568,7578,6329,14413966,12891408,1522558,218348,365939,938271,4144,173,3971,4188,209,3979,4527454
2012,7568,7568,7578,6485,13135302,12126407,1008895,66247,250392,692256,5191,142,5049,5223,168,5055,0
2013,7568,7568,7578,6924,6552464,6196530,355934,49961,72919,233054,6379,87,6292,6405,107,6298,17950
2014,7568,7568,7578,6278,36543438,32913087,3630351,2221884,676812,731655,955,185,770,1001,229,772,0
2015,7568,7568,7578,6290,1389079,1288381,100698,42207,20613,37878,2549,176,2373,2599,221,2378,26424945
2016,7568,7568,7578,6314,14578263,12935117,1643146,561122,303105,778919,3285,180,3105,3328,216,3112,9123430
2017,7568,7568,7578,6324,19057879,15496065,3561814,1966443,711733,883638,2294,196,2098,2333,231,2102,10117374
2018,7568,7568,7578,6316,37016451,31554817,5461634,3361161,1057217,1043256,842,191,651,880,228,652,152400
2019,7568,7568,7578,6309,10593081,9231218,1361863,554858,309773,497232,1269,184,1085,1316,227,1089,24274356
2020,7568,7568,7578,6644,9930222,9076145,854077,83536,160993,609548,5771,111,5660,5795,127,5668,0
2021,7568,7568,7578,6598,11317248,9898073,1419175,410514,405358,603303,5520,129,5391,5541,146,5395,0
2022,7568,7568,7578,6713,10543308,9167548,1375760,251473,368140,756147,5660,142,5518,5679,154,5525,300
2023,7568,7568,7578,6346,19163487,17147676,2015811,262747,594464,1158600,4099,151,3948,4147,191,3956,6207
2024,7568,7568,7578,6402,14444964,13790225,654739,13765,143926,497048,4954,127,4827,5007,172,4835,0
2025,7568,7568,7578,6326,22197942,19799796,2398146,556799,529112,1312235,3551,162,3389,3595,199,3396,0
2026,7568,7568,7578,6322,38137943,32255806,5882137,2285546,2018767,1577824,657,200,457,694,234,460,52243
2027,7568,7568,7578,6916,6575940,5982200,593740,67781,174147,351812,6378,110,6268,6402,127,6275,0
2028,7568,7568,7578,6598,11173572,10283915,889657,56212,262061,571384,5546,130,5416,5566,144,5422,0
2029,7568,7568,7578,7001,3853347,3544178,309169,48561,93495,167113,6503,77,6426,6529,96,6433,2041263
2030,7568,7568,7578,6328,20214108,18726233,1487875,490167,395663,602045,3910,154,3756,3956,190,3766,0
2031,7568,7568,7578,6322,18039070,14951237,3087833,1522718,760074,805041,2941,181,2760,2983,217,2766,7556185
2032,7568,7568,7578,6325,23701014,20335523,3365491,1036819,756848,1571824,3279,168,3111,3319,200,3119,0
2033,7568,7568,7578,6422,13616064,12261601,1354463,188237,454970,711256,5104,149,4955,5153,193,4960,0
2034,7568,7568,7578,7567,93942,57426,36516,3993,10054,22469,7551,44,7507,7560,46,7514,0
2035,7568,7568,7578,6392,17694252,15952160,1742092,409328,346807,985957,4366,142,4224,4418,186,4232,0
2036,7568,7568,7578,6353,12417298,12160761,256537,132357,66715,57465,4615,146,4469,4664,188,4476,3915949
2037,7568,7568,7578,6360,4377984,4076738,301246,26472,68686,206088,4898,146,4752,4945,187,4758,10419764
2038,7568,7568,7578,7344,909977,759591,150386,6067,35780,108539,7154,79,7075,7156,74,7082,1381103
2039,7568,7568,7578,7576,22104,14658,7446,185,1399,5862,7564,37,7527,7575,41,7534,0
2040,7568,7568,7578,7151,4006350,3626886,379464,54117,82246,243101,6843,52,6791,6875,77,6798,0
2041,7568,7568,7578,6286,16565155,14868166,1696989,269870,369754,1057365,4077,156,3921,4126,199,3927,2738446
2042,7568,7568,7578,7578,0,0,0,0,0,0,7568,45,7523,7578,49,7529,0
2043,7568,7568,7578,6325,16712343,14254206,2458137,1090155,628104,739878,3166,170,2996,3209,207,3002,7625416
2044,7568,7568,7578,7441,1207398,783497,423901,169483,125764,128654,7338,102,7236,7349,108,7241,63582
2045,7568,7568,7578,6448,7536641,6921521,615120,48808,132414,433898,5337,113,5224,5387,159,5228,4815625
2046,7568,7568,7578,6324,27343978,24210447,3133531,1848136,730591,554804,2224,198,2026,2268,235,2033,2192462
2047,7568,7568,7578,6445,11220387,10466427,753960,349089,164509,240362,4102,168,3934,4140,199,3941,7961011
2048,7568,7568,7578,6319,15748972,13106186,2642786,1266662,666075,710049,3158,163,2995,3200,201,2999,8652061
2049,7568,7568,7578,6405,15108084,13443747,1664337,179190,445555,1039592,4834,153,4681,4882,198,4684,0
2050,7568,7568,7578,6360,16423272,14903952,1519320,168194,349067,1002059,4596,145,4451,4644,186,4458,0
2051,7568,7568,7578,6342,18009747,15562171,2447576,807256,693919,946401,4088,163,3925,4135,201,3934,1225176
2052,7568,7568,7578,6493,12063258,10930706,1132552,149344,328466,654742,5385,126,5259,5417,152,5265,0
2053,7568,7568,7578,6481,4841764,4581371,260393,14441,37626,208326,4896,140,4756,4930,167,4763,9960461
2054,7568,7568,7578,6458,14041566,12984971,1056595,114415,319790,622390,5027,128,4899,5074,169,4905,0
2055,7568,7568,7578,7387,518802,426560,92242,2657,34201,55384,7248,62,7186,7250,62,7188,1253411
2056,7568,7568,7578,7578,0,0,0,0,0,0,7568,32,7536,7578,40,7538,0
2057,7568,7568,7578,6574,11267514,10159839,1107675,72416,274898,760361,5529,123,5406,5551,141,5410,0
2058,7568,7568,7578,6863,6995649,6471681,523968,42311,101847,379810,6302,93,6209,6325,108,6217,267
2059,7568,7568,7578,6283,11549334,9702379,1846955,655240,472105,719610,3452,170,3282,3503,214,3289,11239490
2060,7568,7568,7578,6324,30321162,25327157,4994005,1766710,1740080,1487215,2081,182,1899,2123,218,1905,0
2061,7568,7568,7578,7518,338764,205417,133347,7780,32072,93495,7470,46,7424,7479,48,7431,202784
2062,7568,7568,7578,6606,8027878,7344272,683606,155986,208290,319330,5669,114,5555,5691,129,5562,2478806
2063,7568,7568,7578,7448,1165986,889539,276447,14085,78572,183790,7357,49,7308,7367,52,7315,0
2064,7568,7568,7578,6992,5929398,5328179,601219,161641,158944,280634,6495,89,6406,6521,108,6413,0
2065,7568,7568,7578,6689,3755343,3357559,397784,111023,157032,129729,5805,123,5682,5836,146,5690,6020905
2066,7568,7568,7578,7578,5526,3916,1610,4,285,1321,7567,16,7551,7578,20,7558,0
2067,7568,7568,7578,7470,897104,578394,318710,87794,76054,154862,7393,47,7346,7403,51,7352,69946
2068,7568,7568,7578,6310,14358352,12492637,1865715,735849,463713,666153,2085,189,1896,2132,231,1901,15993483
2069,7568,7568,7578,6417,14942304,13097373,1844931,506558,611182,727191,4864,145,4719,4917,189,4728,0
2070,7568,7568,7578,7550,144738,91320,53418,3424,15177,34817,7525,49,7476,7534,54,7480,92880
2071,7568,7568,7578,7578,0,0,0,0,0,0,7568,36,7532,7578,40,7538,0
2072,7568,7568,7578,7573,49734,31572,18162,6311,3990,7861,7559,42,7517,7570,46,7524,0
2073,7568,7568,7578,6340,13132867,11334608,1798259,445298,497251,855710,4184,164,4020,4232,204,4028,5587784
2074,7568,7568,7578,7578,0,0,0,0,0,0,7568,47,7521,7578,50,7528,0
2075,7568,7568,7578,7566,41040,30079,10961,40,2158,8763,7549,47,7502,7559,50,7509,63954
2076,7568,7568,7578,6603,10891746,10021445,870301,168892,235779,465630,5597,120,5477,5623,141,5482,0
2077,7568,7568,7578,7046,5089446,4542183,547263,51185,142515,353563,6647,71,6576,6667,85,6582,0
2078,7568,7568,7578,6829,7493256,6910384,582872,121278,146575,315019,6212,95,6117,6231,105,6126,0
2079,7568,7568,7578,7498,249210,161455,87755,5915,21957,59883,7441,32,7409,7451,39,7412,452592
2080,7568,7568,7578,7578,0,0,0,0,0,0,7568,30,7538,7578,35,7543,0
2081,7568,7568,7578,7578,0,0,0,0,0,0,7568,32,7536,7578,37,7541,0
2082,7568,7568,7578,6354,1345662,1213001,132661,22286,35925,74450,4601,151,4450,4649,193,4456,15116292
2083,7568,7568,7578,7578,0,0,0,0,0,0,7568,34,7534,7578,37,7541,0
2084,7568,7568,7578,7573,48678,32592,16086,985,6742,8359,7559,22,7537,7570,25,7545,1056
2085,7568,7568,7578,7578,0,0,0,0,0,0,7568,6,7562,7578,3,7575,0
2086,7568,7568,7578,7578,0,0,0,0,0,0,7568,27,7541,7578,31,7547,0
2087,7568,7568,7578,7578,0,0,0,0,0,0,7568,31,7537,7578,35,7543,0
2088,7568,7568,7578,7273,2751948,2395866,356082,26439,107720,221923,7070,67,7003,7082,68,7014,0
2089,7568,7568,7578,7573,44208,24610,19598,3295,4663,11640,7560,36,7524,7570,38,7532,0
2090,7568,7568,7578,7319,1944420,1653241,291179,9234,90850,191095,7145,64,7081,7144,53,7091,394936
2091,7568,7568,7578,7566,110520,71453,39067,6020,16561,16486,7548,52,7496,7559,56,7503,0
2092,7568,7568,7578,7500,707328,398403,308925,135660,80665,92600,7440,51,7389,7450,54,7396,0
2093,7568,7568,7578,7414,11052,8679,2373,2119,224,30,7289,92,7197,7298,101,7197,1530702
2094,7568,7568,7578,7578,0,0,0,0,0,0,7568,26,7542,7578,31,7547,0
2095,7568,7568,7578,6325,12488654,10376540,2112114,847644,506669,757801,3254,189,3065,3295,224,3071,11393365
2096,7568,7568,7578,7578,0,0,0,0,0,0,7568,21,7547,7578,20,7558,0
2097,7568,7568,7578,7578,0,0,0,0,0,0,7568,18,7550,7578,21,7557,0
2098,7568,7568,7578,7578,0,0,0,0,0,0,7568,20,7548,7578,24,7554,0
2099,7568,7553,7578,7561,0,0,0,0,0,0,7553,43,7510,7561,48,7513,0
