"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6333,14945138,13061865,1883273,618533,478473,786267,3925,158,3767,3970,195,3775,5207860,2010,13061865,2483670,1330000,0,396255,3509168,5342772,0,478473,227501,114236,0,0,0,136736,0,3643,2363
2011,7568,7568,7578,6329,14413966,12891408,1522558,218348,365939,938271,4144,173,3971,4188,209,3979,4527454,2011,12891408,2311468,1181279,0,35300,3732031,5631330,0,365939,162462,105778,0,0,0,97699,0,3424,2141
2012,7568,7568,7578,6485,13135302,12126407,1008895,66247,250392,692256,5191,142,5049,5223,168,5055,0,2012,12126407,1660631,836938,0,470520,3123926,6034392,0,250392,108293,77052,0,0,0,65047,0,2377,1262
2013,7568,7568,7578,6924,6552464,6196530,355934,49961,72919,233054,6379,87,6292,6405,107,6298,17950,2013,6196530,671654,256552,0,530810,1974514,2763000,0,72919,45923,0,0,0,0,26996,0,1189,519
2014,7568,7568,7578,6278,36543438,32913087,3630351,2221884,676812,731655,955,185,770,1001,229,772,0,2014,32913087,6838264,4988548,0,7087890,6510655,7487730,0,676812,423441,0,0,0,0,253371,0,6613,5277
2015,7568,7568,7578,6290,1389079,1288381,100698,42207,20613,37878,2549,176,2373,2599,221,2378,26424945,2015,1288381,120943,198428,0,7249,372162,589599,0,20613,12883,868,0,0,0,6862,0,5019,3691
2016,7568,7568,7578,6314,14578263,12935117,1643146,561122,303105,778919,3285,180,3105,3328,216,3112,9123430,2016,12935117,2518823,2206894,0,604179,3028381,4576840,0,303105,187830,3379,0,0,0,111896,0,4283,2986
2017,7568,7568,7578,6324,19057879,15496065,3561814,1966443,711733,883638,2294,196,2098,2333,231,2102,10117374,2017,15496065,3792513,1685359,0,842175,4185787,4990231,0,711733,425911,30723,0,0,0,255099,0,5274,3991
2018,7568,7568,7578,6316,37016451,31554817,5461634,3361161,1057217,1043256,842,191,651,880,228,652,152400,2018,31554817,7510669,4704593,0,5340304,6621423,7377828,0,1057217,624914,57759,0,0,0,374544,0,6726,5436
2019,7568,7568,7578,6309,10593081,9231218,1361863,554858,309773,497232,1269,184,1085,1316,227,1089,24274356,2019,9231218,1987233,1758223,0,263579,2232779,2989404,0,309773,143356,80968,0,0,0,85449,0,6299,4993
2020,7568,7568,7578,6644,9930222,9076145,854077,83536,160993,609548,5771,111,5660,5795,127,5668,0,2020,9076145,1211372,578973,0,167550,2365890,4752360,0,160993,100549,642,0,0,0,59802,0,1797,849
2021,7568,7568,7578,6598,11317248,9898073,1419175,410514,405358,603303,5520,129,5391,5541,146,5395,0,2021,9898073,1549464,606906,0,264387,2360240,5117076,0,405358,188468,103621,0,0,0,113269,0,2048,1057
2022,7568,7568,7578,6713,10543308,9167548,1375760,251473,368140,756147,5660,142,5518,5679,154,5525,300,2022,9167548,1793043,612980,0,256355,2355144,4150026,0,368140,175493,87210,0,0,0,105437,0,1908,1034
2023,7568,7568,7578,6346,19163487,17147676,2015811,262747,594464,1158600,4099,151,3948,4147,191,3956,6207,2023,17147676,3429894,1968137,0,82334,4533245,7134066,0,594464,186983,293653,0,0,0,113828,0,3469,2199
2024,7568,7568,7578,6402,14444964,13790225,654739,13765,143926,497048,4954,127,4827,5007,172,4835,0,2024,13790225,1624308,1191480,0,798171,3390338,6785928,0,143926,58815,49888,0,0,0,35223,0,2614,1395
2025,7568,7568,7578,6326,22197942,19799796,2398146,556799,529112,1312235,3551,162,3389,3595,199,3396,0,2025,19799796,3942691,1557322,0,1185072,5737501,7377210,0,529112,240416,143730,0,0,0,144966,0,4017,2731
2026,7568,7568,7578,6322,38137943,32255806,5882137,2285546,2018767,1577824,657,200,457,694,234,460,52243,2026,32255806,9737570,7241437,0,581479,7146804,7548516,0,2018767,505356,1200938,0,0,0,312473,0,6911,5628
2027,7568,7568,7578,6916,6575940,5982200,593740,67781,174147,351812,6378,110,6268,6402,127,6275,0,2027,5982200,767869,487280,0,100785,1874318,2751948,0,174147,73437,56807,0,0,0,43903,0,1190,514
2028,7568,7568,7578,6598,11173572,10283915,889657,56212,262061,571384,5546,130,5416,5566,144,5422,0,2028,10283915,1502147,763083,0,426875,2491312,5100498,0,262061,90378,117037,0,0,0,54646,0,2022,1032
2029,7568,7568,7578,7001,3853347,3544178,309169,48561,93495,167113,6503,77,6426,6529,96,6433,2041263,2029,3544178,462777,217829,0,164221,1202489,1496862,0,93495,40093,29560,0,0,0,23842,0,1065,472
2030,7568,7568,7578,6328,20214108,18726233,1487875,490167,395663,602045,3910,154,3756,3956,190,3766,0,2030,18726233,2417946,1555879,0,2629123,4784757,7338528,0,395663,186454,97389,0,0,0,111820,0,3658,2372
2031,7568,7568,7578,6322,18039070,14951237,3087833,1522718,760074,805041,2941,181,2760,2983,217,2766,7556185,2031,14951237,3223797,2031263,0,524729,3948873,5222575,0,760074,375044,159496,0,0,0,225534,0,4627,3339
2032,7568,7568,7578,6325,23701014,20335523,3365491,1036819,756848,1571824,3279,168,3111,3319,200,3119,0,2032,20335523,4605855,2364835,0,527122,5471553,7366158,0,756848,364822,172389,0,0,0,219637,0,4289,3006
2033,7568,7568,7578,6422,13616064,12261601,1354463,188237,454970,711256,5104,149,4955,5153,193,4960,0,2033,12261601,1683448,917332,0,1568,3105417,6553836,0,454970,166409,187900,0,0,0,100661,0,2464,1269
2034,7568,7568,7578,7567,93942,57426,36516,3993,10054,22469,7551,44,7507,7560,46,7514,0,2034,57426,38177,10710,0,8539,0,0,0,10054,4635,2891,0,0,0,2528,0,17,7
2035,7568,7568,7578,6392,17694252,15952160,1742092,409328,346807,985957,4366,142,4224,4418,186,4232,0,2035,15952160,2548282,1656483,0,991554,3920179,6835662,0,346807,198555,29515,0,0,0,118737,0,3202,1974
2036,7568,7568,7578,6353,12417298,12160761,256537,132357,66715,57465,4615,146,4469,4664,188,4476,3915949,2036,12160761,1092522,922611,0,1728020,2945308,5472300,0,66715,37065,8054,0,0,0,21596,0,2953,1689
2037,7568,7568,7578,6360,4377984,4076738,301246,26472,68686,206088,4898,146,4752,4945,187,4758,10419764,2037,4076738,486076,595482,0,6,1011962,1983212,0,68686,34238,14275,0,0,0,20173,0,2670,1415
2038,7568,7568,7578,7344,909977,759591,150386,6067,35780,108539,7154,79,7075,7156,74,7082,1381103,2038,759591,215621,100063,0,37738,370809,35360,0,35780,17601,7965,0,0,0,10214,0,414,188
2039,7568,7568,7578,7576,22104,14658,7446,185,1399,5862,7564,37,7527,7575,41,7534,0,2039,14658,8667,4292,0,1699,0,0,0,1399,581,565,0,0,0,253,0,4,1
2040,7568,7568,7578,7151,4006350,3626886,379464,54117,82246,243101,6843,52,6791,6875,77,6798,0,2040,3626886,503919,371146,0,88714,1657375,1005732,0,82246,51759,0,0,0,0,30487,0,725,276
2041,7568,7568,7578,6286,16565155,14868166,1696989,269870,369754,1057365,4077,156,3921,4126,199,3927,2738446,2041,14868166,2742413,2075274,0,203940,3801500,6045039,0,369754,177279,86024,0,0,0,106451,0,3491,2160
2042,7568,7568,7578,7578,0,0,0,0,0,0,7568,45,7523,7578,49,7529,0,2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,7568,7568,7578,6325,16712343,14254206,2458137,1090155,628104,739878,3166,170,2996,3209,207,3002,7625416,2043,14254206,2853315,1540449,0,471214,4002960,5386268,0,628104,299934,147687,0,0,0,180483,0,4402,3116
2044,7568,7568,7578,7441,1207398,783497,423901,169483,125764,128654,7338,102,7236,7349,108,7241,63582,2044,783497,330503,248491,0,4796,199707,0,0,125764,64908,22372,0,0,0,38484,0,230,92
2045,7568,7568,7578,6448,7536641,6921521,615120,48808,132414,433898,5337,113,5224,5387,159,5228,4815625,2045,6921521,888767,539355,0,0,1622499,3870900,0,132414,72172,17323,0,0,0,42919,0,2231,1061
2046,7568,7568,7578,6324,27343978,24210447,3133531,1848136,730591,554804,2224,198,2026,2268,235,2033,2192462,2046,24210447,4519208,2969013,0,3922459,5773921,7025846,0,730591,384078,116062,0,0,0,230451,0,5344,4056
2047,7568,7568,7578,6445,11220387,10466427,753960,349089,164509,240362,4102,168,3934,4140,199,3941,7961011,2047,10466427,1832016,836327,0,1671735,2511919,3614430,0,164509,98938,7127,0,0,0,58444,0,3466,2305
