"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,7359,1939626,1524058,415568,46514,120253,248801,7217,34,7183,7213,24,7189,0,2010,1524058,493425,200672,0,12228,779051,38682,0,120253,54325,33701,0,0,0,32227,0,351,146
2011,7568,7568,7578,6354,15406488,13643058,1763430,316175,510454,936801,4780,154,4626,4825,190,4635,0,2011,13643058,2075025,586451,0,6548,3901754,7073280,0,510454,225983,148175,0,0,0,136296,0,2788,1529
2012,7568,7568,7578,6323,32946012,28106271,4839741,1749543,980169,2110029,1606,196,1410,1646,233,1413,0,2012,28106271,7942412,3426559,0,1924007,7248199,7565094,0,980169,448612,260925,0,0,0,270632,0,5962,4677
2013,7568,7568,7578,6993,6272010,5710336,561674,31690,112762,417222,6433,94,6339,6458,113,6345,0,2013,5710336,879351,338296,0,252058,1930763,2309868,0,112762,61200,15291,0,0,0,36271,0,1135,535
2014,7568,7568,7578,6322,31205322,26254485,4950837,1961915,929953,2058969,1921,195,1726,1960,231,1729,0,2014,26254485,6952360,3651078,0,1347188,6832707,7471152,0,929953,509096,115163,0,0,0,305694,0,5647,4362
2015,7568,7568,7578,6349,9971623,8930155,1041468,131509,258388,651571,4504,163,4341,4551,201,4350,6988922,2015,8930155,1518523,667123,0,27414,2452719,4264376,0,258388,114699,74810,0,0,0,68879,0,3064,1798
2016,7568,7568,7578,6964,6249906,5679368,570538,62859,138227,369452,6437,122,6315,6464,146,6318,0,2016,5679368,782985,440450,0,135869,2087560,2232504,0,138227,72365,22703,0,0,0,43159,0,1131,500
2017,7568,7568,7578,6483,14121756,13035746,1086010,71334,258593,756083,5009,131,4878,5043,158,4885,19278,2017,13035746,1939804,893689,0,687674,3474661,6039918,0,258593,109101,83805,0,0,0,65687,0,2559,1440
2018,7568,7568,7578,6326,30354318,26705935,3648383,1161681,568728,1917974,2075,177,1898,2115,216,1899,0,2018,26705935,6536129,4632730,0,453880,6589734,8493462,0,568728,324355,49883,0,0,0,194490,0,5493,4211
2019,7568,7568,7578,6324,3503718,3299470,204248,27244,55717,121287,2594,184,2410,2633,220,2413,24053268,2019,3299470,341490,255904,0,107311,961033,1633732,0,55717,21183,22226,0,0,0,12308,0,4974,3691
2020,7568,7568,7578,7325,2215926,1775338,440588,82090,122144,236354,7167,45,7122,7165,34,7131,0,2020,1775338,457693,156839,0,31890,847090,281826,0,122144,61992,23210,0,0,0,36942,0,401,160
2021,7568,7568,7578,6322,23388195,19422018,3966177,1736215,744474,1485488,1201,194,1007,1239,230,1009,11828959,2021,19422018,5612950,3150670,0,1176541,4490448,4991409,0,744474,405112,96314,0,0,0,243048,0,6367,5083
2022,7568,7568,7578,6303,23784975,20679414,3105561,1666577,604699,834285,1476,185,1291,1523,230,1293,9907833,2022,20679414,3814543,1975441,0,4013515,5546925,5328990,0,604699,364228,22618,0,0,0,217853,0,6092,4780
2023,7568,7568,7578,6310,32041000,26763648,5277352,2884569,975500,1417283,1609,189,1420,1651,228,1423,889836,2023,26763648,6785652,4123669,0,2278866,6168467,7406994,0,975500,602915,11436,0,0,0,361149,0,5959,4659
2024,7568,7568,7578,6276,28967292,23203215,5764077,2995647,1313422,1455008,2326,185,2141,2376,229,2147,0,2024,23203215,6099144,2735505,0,533208,6375258,7460100,0,1313422,654621,264532,0,0,0,394269,0,5242,3900
2025,7568,7568,7578,6494,14537519,12433631,2103888,529732,607124,967032,4738,135,4603,4764,155,4609,1105085,2025,12433631,2427517,864988,0,12323,3571072,5557731,0,607124,259706,190752,0,0,0,156666,0,2830,1730
2026,7568,7568,7578,6374,16373538,14440522,1933016,345261,476554,1111201,4605,143,4462,4650,182,4468,0,2026,14440522,2534559,1292560,0,26775,3679128,6907500,0,476554,225838,114856,0,0,0,135860,0,2963,1724
2027,7568,7568,7578,6803,7747452,7132334,615118,33339,206823,374956,6166,118,6048,6184,126,6058,0,2027,7132334,948650,612222,0,30914,2103376,3437172,0,206823,69256,95661,0,0,0,41906,0,1402,619
2028,7568,7568,7578,6530,13140828,11846267,1294561,179285,312373,802903,5190,131,5059,5213,147,5066,0,2028,11846267,1939795,752703,0,525106,2958987,5669676,0,312373,146142,78490,0,0,0,87741,0,2378,1317
2029,7568,7568,7578,6334,7782782,6881907,900875,216410,214840,469625,4316,159,4157,4363,199,4164,10230468,2029,6881907,1058616,479192,0,13725,2042668,3287706,0,214840,115205,30975,0,0,0,68660,0,3252,1971
