"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6341,20700396,18219062,2481334,725932,499721,1255681,3822,152,3670,3869,192,3677,0
2011,7568,7568,7578,6346,19599797,17847614,1752183,183659,296819,1271705,4021,160,3861,4068,197,3871,925
2012,7568,7568,7578,6321,28641258,23993062,4648196,2397085,917728,1333383,2385,200,2185,2426,236,2190,0
2013,7568,7568,7578,6324,21768784,18887571,2881213,675744,664992,1540477,3294,168,3126,3334,204,3130,1854872
2014,7568,7568,7578,6627,10100801,9511551,589250,13597,97652,478001,5740,131,5609,5762,147,5615,727
2015,7568,7568,7578,6322,39921502,34443651,5477851,1674629,937364,2865858,341,194,147,378,230,148,14900
2016,7568,7568,7578,6878,6935130,6466004,469126,42651,104904,321571,6313,110,6203,6335,126,6209,0
2017,7568,7568,7578,7578,0,0,0,0,0,0,7568,35,7533,7578,38,7540,0
2018,7568,7568,7578,6322,24965492,22280426,2685066,648605,443525,1592936,2766,182,2584,2806,216,2590,1576317
2019,7568,7568,7578,6286,4418535,3894612,523923,202434,86193,235296,530,185,345,579,231,348,34556382
2020,7568,7568,7578,6268,23855742,20995223,2860519,785800,606035,1468684,3251,165,3086,3302,209,3093,0
2021,7568,7568,7578,6422,16600104,14374306,2225798,854676,544210,826912,4564,144,4420,4621,193,4428,0
2022,7568,7568,7578,6489,11903004,10914897,988107,162873,211851,613383,5414,126,5288,5444,154,5290,0
2023,7568,7568,7578,6327,18594990,16703355,1891635,272632,396841,1222162,4203,157,4046,4253,197,4056,0
2024,7568,7568,7578,6299,31694826,26362318,5332508,2265609,899517,2167382,1774,189,1585,1820,231,1589,324856
2025,7568,7568,7578,6322,26557994,22492498,4065496,1514046,937856,1613594,1712,200,1512,1752,235,1517,5817411
2026,7568,7568,7578,6750,8272422,7636320,636102,62071,140713,433318,6071,124,5947,6089,139,5950,0
2027,7568,7568,7578,6325,38659896,31775634,6884262,3700157,1268086,1916019,572,191,381,609,227,382,0
2028,7568,7568,7578,6421,16301700,15959072,342628,103960,77269,161399,4618,146,4472,4673,195,4478,0
2029,7568,7568,7578,6325,13442750,12054639,1388111,237762,362421,787928,4215,175,4040,4258,211,4047,5110440
2030,7568,7568,7578,7381,1807002,1457391,349611,26142,95384,228085,7241,65,7176,7241,57,7184,0
2031,7568,7568,7578,6355,18683406,16163164,2520242,484832,567122,1468288,4187,154,4033,4236,195,4041,0
2032,7568,7568,7578,6304,31807656,27165415,4642241,2268078,1161672,1212491,1812,198,1614,1855,238,1617,0
2033,7568,7568,7578,6707,8145324,7593031,552293,84705,136227,331361,6094,125,5969,6112,132,5980,0
2034,7568,7568,7578,6322,38947248,32843626,6103622,3197231,1088352,1818039,520,191,329,555,227,328,0
2035,7568,7568,7578,6309,32168781,24920401,7248380,3931889,1372404,1944087,1054,189,865,1097,229,868,3839112
2036,7568,7568,7578,6621,10162314,9135873,1026441,188236,245508,592697,5729,112,5617,5752,130,5622,0
2037,7568,7568,7578,6322,37764684,31225411,6539273,2967159,1148011,2424103,734,200,534,770,234,536,0
2038,7568,7568,7578,6335,21543290,19548656,1994634,452905,337623,1204106,3015,170,2845,3059,206,2853,3626686
2039,7568,7568,7578,6343,23297616,20228638,3068978,1141368,600836,1326774,3352,166,3186,3400,208,3192,0
2040,7568,7568,7578,6502,11361456,10336067,1025389,137084,248420,639885,5512,139,5373,5543,164,5379,0
2041,7568,7568,7578,7275,2735004,2352540,382464,42953,80385,259126,7064,102,6962,7080,111,6969,50400
2042,7568,7568,7578,6293,16494330,14706145,1788185,360804,438453,988928,4071,154,3917,4123,198,3925,2842956
2043,7568,7568,7578,6531,10911833,9957590,954243,161138,226923,566182,5386,96,5290,5406,109,5297,1148761
2044,7568,7568,7578,6306,33100740,27819782,5280958,2284993,1046149,1949816,1578,196,1382,1621,235,1386,0
2045,7568,7568,7578,6326,21551400,18282202,3269198,1602511,740751,925936,3668,168,3500,3710,203,3507,0
2046,7568,7568,7578,6328,27303966,22531179,4772787,2604670,1214707,953410,2627,193,2434,2667,231,2436,0
2047,7568,7568,7578,7578,0,0,0,0,0,0,7568,21,7547,7578,24,7554,0
2048,7568,7568,7578,6322,33584144,26768716,6815428,3822368,1378435,1614625,190,190,0,226,226,0,7203633
2049,7568,7568,7578,6322,38759364,34288640,4470724,2543533,853043,1074148,554,193,361,593,229,364,0
2050,7568,7568,7578,6322,14009731,12072833,1936898,617409,434631,884858,2741,185,2556,2779,220,2559,12705738
2051,7568,7568,7578,6703,5461322,5010116,451206,71367,118946,260893,5992,130,5862,6015,147,5868,3264134
2052,7568,7568,7578,6731,8469091,7526902,942189,151614,217885,572690,5937,115,5822,5962,134,5828,546431
2053,7568,7568,7578,6324,17833012,15708229,2124783,664357,400720,1059706,3531,172,3359,3573,207,3366,4491830
2054,7568,7568,7578,6285,34311920,28822916,5489004,2780367,1090436,1618201,604,181,423,652,228,424,4175768
2055,7568,7568,7578,7443,554646,372914,181732,49356,53185,79191,7349,50,7299,7359,53,7306,655548
2056,7568,7568,7578,6536,11190150,10242862,947288,178407,248226,520655,5543,110,5433,5573,130,5443,0
2057,7568,7568,7578,6342,12199276,10814402,1384874,257057,417492,710325,4212,161,4051,4257,198,4059,6369922
2058,7568,7568,7578,7578,0,0,0,0,0,0,7568,35,7533,7578,39,7539,0
2059,7568,7568,7578,7578,0,0,0,0,0,0,7568,37,7531,7578,39,7539,0
2060,7568,7568,7578,7258,3105612,2772534,333078,19898,96700,216480,7006,66,6940,7014,69,6945,0
2061,7568,7568,7578,6645,7721644,7323267,398377,14282,107518,276577,5754,124,5630,5784,145,5639,2315080
2062,7568,7568,7578,7482,895212,575298,319914,31066,103700,185148,7406,45,7361,7416,47,7369,0
2063,7568,7568,7578,7569,71838,49420,22418,1319,5066,16033,7555,66,7489,7564,71,7493,0
2064,7568,7568,7578,6349,12027975,11255341,772634,64351,235874,472409,4708,160,4548,4753,194,4559,3785702
2065,7568,7568,7578,7578,0,0,0,0,0,0,7568,34,7534,7578,37,7541,0
2066,7568,7568,7578,6324,28358937,23343212,5015725,2527009,1089867,1398849,1877,196,1681,1916,228,1688,3096542
2067,7568,7568,7578,7578,0,0,0,0,0,0,7568,51,7517,7578,51,7527,0
2068,7568,7568,7578,7553,203960,114395,89565,19977,20332,49256,7528,46,7482,7538,48,7490,17080
2069,7568,7568,7578,6286,26061281,21823993,4237288,2485088,884557,867643,2043,186,1857,2095,234,1861,4481579
2070,7568,7568,7578,6648,3982818,3718775,264043,63044,81805,119194,5977,132,5845,6003,151,5852,4834993
2071,7568,7568,7578,7492,86931,63338,23593,1904,5379,16310,7432,37,7395,7441,42,7399,664605
2072,7568,7568,7578,6344,19125486,16519501,2605985,755806,668478,1181701,4107,155,3952,4155,196,3959,0
2073,7568,7568,7578,6415,16821144,14663469,2157675,488232,596989,1072454,4524,157,4367,4574,202,4372,0
2074,7568,7568,7578,7578,0,0,0,0,0,0,7568,49,7519,7578,49,7529,0
2075,7568,7568,7578,7578,0,0,0,0,0,0,7568,35,7533,7578,39,7539,0
2076,7568,7568,7578,6322,650947,575788,75159,33876,16251,25032,2827,187,2640,2869,223,2646,25633757
2077,7568,7568,7578,7578,0,0,0,0,0,0,7568,8,7560,7578,12,7566,0
2078,7568,7568,7578,7528,436554,273674,162880,46212,40024,76644,7489,48,7441,7499,51,7448,0
2079,7568,7568,7578,6699,6698835,5994983,703852,183200,206401,314251,5933,146,5787,5959,165,5794,2347631
2080,7568,7568,7578,6781,8300052,7463300,836752,136930,258329,441493,6066,104,5962,6086,117,5969,0
2081,7568,7568,7578,6943,3630006,3300310,329696,45721,86778,197197,6446,88,6358,6471,104,6367,2577249
2082,7568,7568,7578,6425,13035913,11690678,1345235,302391,392837,650007,5204,138,5066,5253,179,5074,27551
2083,7568,7568,7578,7011,2209061,1990042,219019,35586,71120,112313,6570,106,6464,6596,125,6471,3322467
2084,7568,7568,7578,7578,0,0,0,0,0,0,7568,23,7545,7578,27,7551,0
2085,7568,7568,7578,6412,10192207,9323424,868783,208447,245484,414852,5070,122,4948,5123,168,4955,3619943
2086,7568,7568,7578,6905,6432264,5862423,569841,135896,159630,274315,6404,83,6321,6428,100,6328,0
2087,7568,7568,7578,7578,6290,3156,3134,1294,674,1166,7566,58,7508,7578,62,7516,4762
2088,7568,7568,7578,7578,0,0,0,0,0,0,7568,29,7539,7578,34,7544,0
2089,7568,7568,7578,6626,4235089,3878620,356469,119179,104934,132356,5922,106,5816,5944,121,5823,4890347
2090,7568,7568,7578,7578,0,0,0,0,0,0,7568,50,7518,7578,52,7526,0
2091,7568,7568,7578,7272,1149245,971502,177743,32401,75528,69814,7074,72,7002,7075,68,7007,1590244
2092,7568,7568,7578,7578,0,0,0,0,0,0,7568,29,7539,7578,33,7545,0
2093,7568,7568,7578,7578,0,0,0,0,0,0,7568,48,7520,7578,53,7525,0
2094,7568,7568,7578,7578,0,0,0,0,0,0,7568,22,7546,7578,24,7554,0
2095,7568,7568,7578,7578,0,0,0,0,0,0,7568,16,7552,7578,17,7561,0
2096,7568,7568,7578,7578,0,0,0,0,0,0,7568,12,7556,7578,1,7577,0
2097,7568,7568,7578,7578,0,0,0,0,0,0,7568,7,7561,7578,12,7566,0
