"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6341,20700396,18219062,2481334,725932,499721,1255681,3822,152,3670,3869,192,3677,0,2010,18219062,3508960,1964447,0,820049,4752858,7172748,0,499721,274090,61323,0,0,0,164308,0,3746,2472
2011,7568,7568,7578,6346,19599797,17847614,1752183,183659,296819,1271705,4021,160,3861,4068,197,3871,925,2011,17847614,3531042,1915466,0,219254,4710700,7471152,0,296819,142639,68430,0,0,0,85750,0,3547,2278
2012,7568,7568,7578,6321,28641258,23993062,4648196,2397085,917728,1333383,2385,200,2185,2426,236,2190,0,2012,23993062,5537359,2521379,0,2182615,6297135,7454574,0,917728,548823,40079,0,0,0,328826,0,5183,3895
2013,7568,7568,7578,6324,21768784,18887571,2881213,675744,664992,1540477,3294,168,3126,3334,204,3130,1854872,2013,18887571,4353763,2078356,0,314588,5171555,6969309,0,664992,288575,202202,0,0,0,174215,0,4274,2990
2014,7568,7568,7578,6627,10100801,9511551,589250,13597,97652,478001,5740,131,5609,5762,147,5615,727,2014,9511551,1112122,878720,0,324200,2250739,4945770,0,97652,60206,1714,0,0,0,35732,0,1828,865
2015,7568,7568,7578,6322,39921502,34443651,5477851,1674629,937364,2865858,341,194,147,378,230,148,14900,2015,34443651,10988512,6298934,0,1058656,8427461,7670088,0,937364,433119,242928,0,0,0,261317,0,7227,5944
2016,7568,7568,7578,6878,6935130,6466004,469126,42651,104904,321571,6313,110,6203,6335,126,6209,0,2016,6466004,727898,450265,0,221923,2120560,2945358,0,104904,56805,14355,0,0,0,33744,0,1255,543
2017,7568,7568,7578,7578,0,0,0,0,0,0,7568,35,7533,7578,38,7540,0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7568,7568,7578,6322,24965492,22280426,2685066,648605,443525,1592936,2766,182,2584,2806,216,2590,1576317,2018,22280426,5018947,3879213,0,798570,5652111,6931585,0,443525,264279,21061,0,0,0,158185,0,4802,3516
2019,7568,7568,7578,6286,4418535,3894612,523923,202434,86193,235296,530,185,345,579,231,348,34556382,2019,3894612,875524,725726,0,100142,989069,1204151,0,86193,53024,2391,0,0,0,30778,0,7038,5707
2020,7568,7568,7578,6268,23855742,20995223,2860519,785800,606035,1468684,3251,165,3086,3302,209,3093,0,2020,20995223,4726027,2921890,0,309233,5611129,7426944,0,606035,296059,131838,0,0,0,178138,0,4317,2966
2021,7568,7568,7578,6422,16600104,14374306,2225798,854676,544210,826912,4564,144,4420,4621,193,4428,0,2021,14374306,2382822,1810472,0,118656,3552728,6509628,0,544210,287966,83613,0,0,0,172631,0,3004,1801
2022,7568,7568,7578,6489,11903004,10914897,988107,162873,211851,613383,5414,126,5288,5444,154,5290,0,2022,10914897,1395716,893960,0,128892,2550353,5945976,0,211851,127366,8581,0,0,0,75904,0,2154,1045
2023,7568,7568,7578,6327,18594990,16703355,1891635,272632,396841,1222162,4203,157,4046,4253,197,4056,0,2023,16703355,2996703,1693334,0,225130,4571232,7216956,0,396841,206049,67215,0,0,0,123577,0,3365,2074
2024,7568,7568,7578,6299,31694826,26362318,5332508,2265609,899517,2167382,1774,189,1585,1820,231,1589,324856,2024,26362318,7269825,4132953,0,1209411,6467492,7282637,0,899517,560864,2807,0,0,0,335846,0,5794,4479
2025,7568,7568,7578,6322,26557994,22492498,4065496,1514046,937856,1613594,1712,200,1512,1752,235,1517,5817411,2025,22492498,5987322,3070462,0,858216,6098022,6478476,0,937856,397393,300296,0,0,0,240167,0,5856,4570
2026,7568,7568,7578,6750,8272422,7636320,636102,62071,140713,433318,6071,124,5947,6089,139,5950,0,2026,7636320,910746,490735,0,147726,2246543,3840570,0,140713,76635,18531,0,0,0,45547,0,1497,661
2027,7568,7568,7578,6325,38659896,31775634,6884262,3700157,1268086,1916019,572,191,381,609,227,382,0,2027,31775634,9628653,5317033,0,2282075,7060143,7487730,0,1268086,720808,114562,0,0,0,432716,0,6996,5716
2028,7568,7568,7578,6421,16301700,15959072,342628,103960,77269,161399,4618,146,4472,4673,195,4478,0,2028,15959072,1874641,881639,0,2819423,3801903,6581466,0,77269,45208,5631,0,0,0,26430,0,2950,1748
2029,7568,7568,7578,6325,13442750,12054639,1388111,237762,362421,787928,4215,175,4040,4258,211,4047,5110440,2029,12054639,1877948,1338229,0,79457,3431009,5327996,0,362421,163943,100095,0,0,0,98383,0,3353,2067
2030,7568,7568,7578,7381,1807002,1457391,349611,26142,95384,228085,7241,65,7176,7241,57,7184,0,2030,1457391,453907,417001,0,1238,585245,0,0,95384,43010,26767,0,0,0,25607,0,327,140
2031,7568,7568,7578,6355,18683406,16163164,2520242,484832,567122,1468288,4187,154,4033,4236,195,4041,0,2031,16163164,3413806,1027081,0,89949,4575626,7056702,0,567122,278151,121712,0,0,0,167259,0,3381,2119
2032,7568,7568,7578,6304,31807656,27165415,4642241,2268078,1161672,1212491,1812,198,1614,1855,238,1617,0,2032,27165415,6211143,1878591,0,3862606,7758501,7454574,0,1161672,524205,321083,0,0,0,316384,0,5756,4449
2033,7568,7568,7578,6707,8145324,7593031,552293,84705,136227,331361,6094,125,5969,6112,132,5980,0,2033,7593031,714625,400582,0,30399,2247665,4199760,0,136227,73431,18948,0,0,0,43848,0,1474,595
2034,7568,7568,7578,6322,38947248,32843626,6103622,3197231,1088352,1818039,520,191,329,555,227,328,0,2034,32843626,9963260,4167872,0,3930058,7300232,7482204,0,1088352,646926,53550,0,0,0,387876,0,7048,5767
2035,7568,7568,7578,6309,32168781,24920401,7248380,3931889,1372404,1944087,1054,189,865,1097,229,868,3839112,2035,24920401,8286255,3488233,0,414060,6137584,6594269,0,1372404,750238,171361,0,0,0,450805,0,6514,5212
2036,7568,7568,7578,6621,10162314,9135873,1026441,188236,245508,592697,5729,112,5617,5752,130,5622,0,2036,9135873,1271970,462726,0,103750,2373761,4923666,0,245508,135203,29447,0,0,0,80858,0,1839,869
2037,7568,7568,7578,6322,37764684,31225411,6539273,2967159,1148011,2424103,734,200,534,770,234,536,0,2037,31225411,9596770,5304962,0,1682799,7180780,7460100,0,1148011,661120,90161,0,0,0,396730,0,6834,5552
2038,7568,7568,7578,6335,21543290,19548656,1994634,452905,337623,1204106,3015,170,2845,3059,206,2853,3626686,2038,19548656,4249943,2432134,0,1430078,5025047,6411454,0,337623,187942,37185,0,0,0,112496,0,4553,3276
