"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6575,11328300,10730116,598184,12267,87460,498457,5518,98,5420,5536,111,5425,0
2011,7568,7568,7578,6361,14920200,13578927,1341273,220455,342229,778589,4868,137,4731,4920,180,4740,0
2012,7568,7568,7578,6323,28646484,23845297,4801187,1966069,1014071,1821047,2384,193,2191,2426,230,2196,300
2013,7568,7568,7578,6652,9982927,9238911,744016,17085,128795,598136,5758,123,5635,5781,139,5642,19133
2014,7568,7568,7578,6491,13170265,12029337,1140928,126438,251269,763221,5184,131,5053,5214,153,5061,3719
2015,7568,7568,7578,7539,242916,153221,89695,20900,21636,47159,7506,32,7474,7516,37,7479,99696
2016,7568,7568,7578,6760,8101116,7691498,409618,2442,94039,313137,6102,111,5991,6117,121,5996,0
2017,7568,7568,7578,6733,7448424,7110954,337470,13889,57099,266482,5912,115,5797,5930,125,5805,1710472
2018,7568,7568,7578,6323,38936196,34072001,4864195,1694841,990375,2178979,522,194,328,559,228,331,0
2019,7568,7568,7578,6710,9140004,8274495,865509,55911,285888,523710,5914,110,5804,5940,133,5807,0
2020,7568,7568,7578,7433,1309662,1149334,160328,1502,37591,121235,7331,71,7260,7338,78,7260,0
2021,7568,7568,7578,7240,2816666,2476351,340315,13580,87362,239373,6970,72,6898,6979,76,6903,490294
2022,7568,7568,7578,6323,27663156,23296673,4366483,1967862,891228,1507393,2562,172,2390,2601,209,2392,0
2023,7568,7568,7578,6352,20495934,18103883,2392051,1122232,568226,701593,3859,168,3691,3901,205,3696,0
2024,7568,7568,7578,6302,37107090,28437400,8669690,5525851,1876721,1267118,853,190,663,898,231,667,0
2025,7568,7568,7578,6324,29334987,24897238,4437749,1442048,920407,2075294,2094,191,1903,2135,228,1907,914964
2026,7568,7568,7578,6353,18611568,16360104,2251464,474349,738374,1038741,4200,156,4044,4246,200,4046,0
2027,7568,7568,7578,7578,0,0,0,0,0,0,7568,11,7557,7578,15,7563,0
2028,7568,7568,7578,6327,15939985,14885092,1054893,445964,252727,356202,2917,173,2744,2956,203,2753,9792838
2029,7568,7568,7578,6322,679277,642948,36329,9236,5486,21607,1335,194,1141,1373,230,1143,33860216
2030,7568,7568,7578,7497,712854,457185,255669,72610,79215,103844,7439,27,7412,7450,28,7422,0
2031,7568,7568,7578,6329,20860650,17955323,2905327,751887,1081436,1072004,3793,175,3618,3832,209,3623,0
2032,7568,7568,7578,7578,11052,6834,4218,346,748,3124,7566,26,7540,7578,26,7552,0
2033,7568,7568,7578,6665,11957866,10383057,1574809,439964,402014,732831,5331,153,5178,5358,173,5185,404796
2034,7568,7568,7578,6791,7095935,6503417,592518,24887,153065,414566,6122,102,6020,6138,108,6030,897173
2035,7568,7568,7578,7161,3734710,3388230,346480,5888,106152,234440,6853,84,6769,6886,112,6774,217584
2036,7568,7568,7578,6775,7186575,6307384,879191,224628,232464,422099,5899,113,5786,5919,124,5795,2043572
2037,7568,7568,7578,6336,12741597,11562654,1178943,337487,275935,565521,3707,174,3533,3750,210,3540,8624685
2038,7568,7568,7578,7352,609879,497851,112028,6465,28790,76773,7183,73,7110,7184,68,7116,1521499
2039,7568,7568,7578,6393,18302112,16470506,1831606,353390,407613,1070603,4256,172,4084,4303,212,4091,0
2040,7568,7568,7578,7550,238278,163822,74456,1706,18485,54265,7521,96,7425,7530,105,7425,21444
2041,7568,7568,7578,6887,6758298,6331249,427049,11850,104762,310437,6345,96,6249,6369,114,6255,0
2042,7568,7568,7578,7578,0,0,0,0,0,0,7568,45,7523,7578,49,7529,0
2043,7568,7568,7578,7259,2445258,2119847,325411,33697,72956,218758,7012,42,6970,7019,42,6977,628353
2044,7568,7568,7578,6320,19258110,17179860,2078250,445108,668020,965122,4083,155,3928,4136,201,3935,0
2045,7568,7568,7578,6697,8885808,8092519,793289,85747,227424,480118,5960,109,5851,5983,125,5858,0
2046,7568,7568,7578,6662,10156788,9123128,1033660,276597,336342,420721,5730,107,5623,5755,128,5627,0
2047,7568,7568,7578,7576,22104,12472,9632,753,2937,5942,7564,21,7543,7575,24,7551,0
2048,7568,7568,7578,6692,5168103,4739747,428356,41673,141790,244893,5795,126,5669,5822,143,5679,4648119
2049,7568,7568,7578,7029,5448636,5061453,387183,7548,116439,263196,6582,81,6501,6617,99,6518,0
2050,7568,7568,7578,6678,9333414,8558491,774923,123040,183317,468566,5879,124,5755,5902,141,5761,0
2051,7568,7568,7578,6626,4938104,4668715,269389,10635,57255,201499,5880,112,5768,5912,134,5778,4415904
2052,7568,7568,7578,6323,11432231,9970153,1462078,404515,368341,689222,3246,189,3057,3286,224,3062,12497027
2053,7568,7568,7578,6604,11256462,10117321,1139141,309176,262492,567473,5531,132,5399,5556,148,5408,0
2054,7568,7568,7578,6311,23048946,19410645,3638301,1853835,814657,969809,3397,172,3225,3442,210,3232,0
2055,7568,7568,7578,6436,3525675,3149579,376096,154615,92308,129173,5081,114,4967,5139,166,4973,10266846
2056,7568,7568,7578,6842,7156170,6576222,579948,62986,161996,354966,6273,84,6189,6297,98,6199,0
2057,7568,7568,7578,7363,2066724,1544676,522048,160086,165000,196962,7194,58,7136,7194,50,7144,0
2058,7568,7568,7578,6337,13665824,10810091,2855733,1604603,704246,546884,1255,196,1059,1295,233,1062,21277411
2059,7568,7568,7578,7578,0,0,0,0,0,0,7568,27,7541,7578,33,7545,0
2060,7568,7568,7578,6725,8626086,7901989,724097,90034,196244,437819,6007,109,5898,6023,115,5908,0
2061,7568,7568,7578,6329,18460305,14438347,4021958,2284803,828857,908298,1484,196,1288,1524,231,1293,15201431
2062,7568,7568,7578,6781,6372656,5849795,522861,66346,141516,314999,6148,101,6047,6165,109,6056,1481474
2063,7568,7568,7578,6588,10332463,9376754,955709,152659,285635,517415,5676,127,5549,5699,143,5556,122979
2064,7568,7568,7578,6435,13004043,11528128,1475915,454707,433951,587257,5117,134,4983,5164,176,4988,541590
2065,7568,7568,7578,7569,57798,36380,21418,859,5189,15370,7555,42,7513,7563,44,7519,14040
2066,7568,7568,7578,6607,10835633,9593067,1242566,321050,362650,558866,5607,116,5491,5632,134,5498,853
2067,7568,7568,7578,7420,1409130,1047788,361342,43991,103444,213907,7313,57,7256,7321,55,7266,0
2068,7568,7568,7578,6328,13980400,12313726,1666674,461118,370362,835194,3919,172,3747,3962,209,3753,6210077
2069,7568,7568,7578,6444,13980780,12412672,1568108,630830,442402,494876,5038,122,4916,5089,168,4921,0
2070,7568,7568,7578,6705,9161014,8147814,1013200,109000,310243,593957,5811,109,5702,5831,121,5710,550576
2071,7568,7568,7578,7578,0,0,0,0,0,0,7568,33,7535,7578,36,7542,0
2072,7568,7568,7578,6866,2829777,2578420,251357,42295,66040,143022,6277,103,6174,6300,118,6182,4326342
2073,7568,7568,7578,6881,1514214,1356690,157524,31841,48331,77352,6232,111,6121,6257,132,6125,5898773
2074,7568,7568,7578,7546,275350,167212,108138,11976,39909,56253,7518,46,7472,7527,50,7477,950
2075,7568,7568,7578,7002,2150902,2020146,130756,35434,29482,65840,6519,105,6414,6549,134,6415,3663202
2076,7568,7568,7578,6322,426119,401305,24814,16783,2060,5971,3616,163,3453,3664,203,3461,21495259
2077,7568,7568,7578,7473,797276,491257,306019,70248,105386,130385,7398,19,7379,7408,25,7383,142144
2078,7568,7568,7578,7443,1210194,874027,336167,69219,117671,149277,7349,56,7293,7357,61,7296,0
2079,7568,7568,7578,7578,0,0,0,0,0,0,7568,10,7558,7578,12,7566,0
2080,7568,7568,7578,6657,10206522,9355287,851235,177605,311590,362040,5721,118,5603,5740,133,5607,0
2081,7568,7568,7578,7546,196716,141833,54883,3120,15218,36545,7518,43,7475,7527,48,7479,79584
2082,7568,7568,7578,6333,17273102,15175391,2097711,845878,572438,679395,3415,166,3249,3459,204,3255,5695216
2083,7568,7568,7578,7578,0,0,0,0,0,0,7568,32,7536,7578,37,7541,0
2084,7568,7568,7578,6324,25263270,22286780,2976490,769219,762338,1444933,2995,171,2824,3038,207,2831,7128
2085,7568,7568,7578,7578,0,0,0,0,0,0,7568,43,7525,7578,50,7528,0
2086,7568,7568,7578,7578,0,0,0,0,0,0,7568,25,7543,7578,33,7545,0
2087,7568,7568,7578,7578,0,0,0,0,0,0,7568,33,7535,7578,37,7541,0
2088,7568,7568,7578,6698,7260580,6832302,428278,9551,144227,274500,5968,111,5857,5992,127,5865,1588860
2089,7568,7568,7578,7578,0,0,0,0,0,0,7568,35,7533,7578,38,7540,0
2090,7568,7568,7578,7008,851632,749287,102345,27057,29166,46122,6376,109,6267,6404,140,6264,5759220
2091,7568,7568,7578,6803,3576219,3250157,326062,62578,94425,169059,6204,105,6099,6221,112,6109,3981643
2092,7568,7568,7578,7393,1597014,1149212,447802,120186,156908,170708,7279,47,7232,7278,40,7238,0
2093,7568,7568,7578,7076,33156,33155,1,1,0,0,6695,96,6599,6722,115,6607,4813146
2094,7568,7568,7578,6794,8586181,7601166,985015,453596,288244,243175,4491,166,4325,4514,180,4334,8451279
2095,7568,7568,7578,6329,3607829,3229367,378462,71818,100562,206082,4088,162,3926,4133,197,3936,15694987
2096,7568,7568,7578,7578,0,0,0,0,0,0,7568,13,7555,7578,3,7575,0
2097,7568,7568,7578,6509,8054076,7430918,623158,27861,151768,443529,5457,102,5355,5478,117,5361,3630098
2098,7568,7568,7578,7509,607860,319714,288146,76245,81815,130086,7458,57,7401,7469,57,7412,0
2099,7568,5055,7578,5022,602334,84087,0,0,0,0,4946,139,4807,4956,145,4811,0
