"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,10730116,1458465,983102,0,502874,2513871,5271804,0,87460,52494,4123,0,0,0,30843,0,2050,1039
2011,13578927,1901197,872665,0,284635,3546618,6973812,0,342229,171188,68404,0,0,0,102637,0,2700,1441
2012,23845297,6123436,3163303,0,760275,6343709,7454574,0,1014071,517176,185785,0,0,0,311110,0,5184,3897
2013,9238911,1434039,720583,0,2535,2401232,4680522,0,128795,68801,19053,0,0,0,40941,0,1810,871
2014,12029337,1611850,906517,0,403179,3062347,6045444,0,251269,136242,33608,0,0,0,81419,0,2384,1277
2015,153221,84382,25370,0,43469,0,0,0,21636,12934,1066,0,0,0,7636,0,62,23
2016,7691498,847903,447813,0,256347,2315443,3823992,0,94039,37495,34089,0,0,0,22455,0,1466,643
2017,7110954,763494,598857,0,460903,1696360,3591340,0,57099,34998,1618,0,0,0,20483,0,1656,803
2018,34072001,9645469,7000502,0,1738249,7973485,7714296,0,990375,406179,338274,0,0,0,245922,0,7046,5764
2019,8274495,1185878,392866,0,31413,1956186,4708152,0,285888,99356,126351,0,0,0,60181,0,1654,770
2020,1149334,300856,181499,0,132137,534842,0,0,37591,16244,11708,0,0,0,9639,0,237,95
2021,2476351,493540,234383,0,87085,1151367,509976,0,87362,39000,25192,0,0,0,23170,0,598,261
2022,23296673,5867370,1954344,0,1679837,6312918,7482204,0,891228,490272,106623,0,0,0,294333,0,5006,3722
2023,18103883,3054269,1766821,0,1584069,4603340,7095384,0,568226,311779,69736,0,0,0,186711,0,3709,2451
2024,28437400,8326425,4174794,0,1572826,6886677,7476678,0,1876721,960648,337902,0,0,0,578171,0,6715,5404
2025,24897238,7078221,3180773,0,524032,6684948,7429264,0,920407,421028,245465,0,0,0,253914,0,5474,4189
2026,16360104,3100853,1469705,0,312082,4343398,7134066,0,738374,248253,339089,0,0,0,151032,0,3368,2107
2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,14885092,2830651,1203948,0,2310079,3763009,4777405,0,252727,126244,51026,0,0,0,75457,0,4651,3371
2029,642948,64903,118367,0,6167,200007,253504,0,5486,3030,1205,0,0,0,1251,0,6233,4949
2030,457185,258758,127631,0,70796,0,0,0,79215,38089,18382,0,0,0,22744,0,129,47
2031,17955323,3866346,1492117,0,137555,5153933,7305372,0,1081436,313156,576284,0,0,0,191996,0,3775,2497
2032,6834,4582,1602,0,650,0,0,0,748,269,339,0,0,0,140,0,2,0
2033,10383057,1878613,953649,0,247240,2799975,4503580,0,402014,209945,66209,0,0,0,125860,0,2237,1307
2034,6503417,929331,555283,0,1865,1896912,3120026,0,153065,61636,54417,0,0,0,37012,0,1446,653
2035,3388230,549866,405769,0,39063,1442582,950950,0,106152,36208,48173,0,0,0,21771,0,715,275
2036,6307384,949573,518220,0,57468,1599307,3182816,0,232464,118410,43453,0,0,0,70601,0,1669,856
2037,11562654,2043777,1503090,0,638790,2848307,4528690,0,275935,137956,55586,0,0,0,82393,0,3861,2586
2038,497851,149368,66810,0,12385,248813,20475,0,28790,13302,7831,0,0,0,7657,0,385,168
2039,16470506,3081407,2312134,0,507045,3800570,6769350,0,407613,194020,97199,0,0,0,116394,0,3312,2090
2040,163822,104574,55140,0,4108,0,0,0,18485,7729,6294,0,0,0,4462,0,47,20
2041,6331249,720542,497972,0,163907,1931632,3017196,0,104762,44908,32917,0,0,0,26937,0,1223,518
2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,2119847,426662,201025,0,79831,1067020,345309,0,72956,43125,4378,0,0,0,25453,0,556,240
2044,17179860,3220869,1752242,0,637532,4424099,7145118,0,668020,228971,299878,0,0,0,139171,0,3485,2184
2045,8092519,1013665,507294,0,0,2244702,4326858,0,227424,97885,70870,0,0,0,58669,0,1608,714
2046,9123128,1200526,441359,0,449345,2384532,4647366,0,336342,142689,107658,0,0,0,85995,0,1838,907
2047,12472,9570,1883,0,1019,0,0,0,2937,962,1634,0,0,0,341,0,4,1
2048,4739747,645667,351970,0,135355,1280335,2326420,0,141790,47577,65724,0,0,0,28489,0,1773,870
2049,5061453,667154,361821,0,102104,1830494,2099880,0,116439,38682,54476,0,0,0,23281,0,986,412
2050,8558491,1021215,334272,0,278720,2293496,4630788,0,183317,99616,24324,0,0,0,59377,0,1689,776
2051,4668715,479691,404870,0,493,1213513,2570148,0,57255,28260,12386,0,0,0,16609,0,1688,714
2052,9970153,2183963,1471249,0,151691,2595657,3567593,0,368341,150525,127142,0,0,0,90674,0,4322,3037
2053,10117321,1476139,663583,0,507770,2413539,5056290,0,262492,150753,21616,0,0,0,90123,0,2037,1048
2054,19410645,3738822,2352638,0,822086,5059103,7437996,0,814657,473632,57081,0,0,0,283944,0,4171,2869
2055,3149579,359946,383838,0,2105,762663,1641027,0,92308,53974,6636,0,0,0,31698,0,2487,1297
2056,6576222,767480,652274,0,5263,1973755,3177450,0,161996,71271,48214,0,0,0,42511,0,1295,545
2057,1544676,483367,257827,0,34815,713407,55260,0,165000,76983,41897,0,0,0,46120,0,374,169
2058,10810091,3199619,2137691,0,158636,2485245,2828900,0,704246,299176,224604,0,0,0,180466,0,6313,5042
2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,7901989,1023950,430830,0,123139,2284564,4039506,0,196244,90669,51504,0,0,0,54071,0,1561,702
2061,14438347,4214323,1721448,0,141952,3926895,4433729,0,828857,442685,120317,0,0,0,265855,0,6084,4805
2062,5849795,684822,454817,0,61154,1713114,2935888,0,141516,65379,37135,0,0,0,39002,0,1420,616
2063,9376754,1217247,702911,0,45378,2280206,5131012,0,285635,120515,92607,0,0,0,72513,0,1892,889
2064,11528128,1501209,841621,0,1632,2980041,6203625,0,433951,204735,106249,0,0,0,122967,0,2451,1271
2065,36380,25429,7595,0,3356,0,0,0,5189,2449,1501,0,0,0,1239,0,13,6
2066,9593067,1377352,660292,0,225693,2240284,5089446,0,362650,169695,90998,0,0,0,101957,0,1961,975
2067,1047788,407993,193280,0,46167,400348,0,0,103444,47998,26844,0,0,0,28602,0,255,99
2068,12313726,2182329,1185148,0,294881,3446471,5204897,0,370362,202158,47215,0,0,0,120989,0,3649,2366
2069,12412672,1586360,686774,0,441574,3354116,6343848,0,442402,223652,84607,0,0,0,134143,0,2530,1355
2070,8147814,1341874,689574,0,1995,2122471,3991900,0,310243,118736,119901,0,0,0,71606,0,1757,874
2071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2072,2578420,313542,255612,0,25656,811912,1171698,0,66040,32713,14098,0,0,0,19229,0,1291,566
