"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6575,11328300,10730116,598184,12267,87460,498457,5518,98,5420,5536,111,5425,0,2010,10730116,1458465,983102,0,502874,2513871,5271804,0,87460,52494,4123,0,0,0,30843,0,2050,1039
2011,7568,7568,7578,6361,14920200,13578927,1341273,220455,342229,778589,4868,137,4731,4920,180,4740,0,2011,13578927,1901197,872665,0,284635,3546618,6973812,0,342229,171188,68404,0,0,0,102637,0,2700,1441
2012,7568,7568,7578,6323,28646484,23845297,4801187,1966069,1014071,1821047,2384,193,2191,2426,230,2196,300,2012,23845297,6123436,3163303,0,760275,6343709,7454574,0,1014071,517176,185785,0,0,0,311110,0,5184,3897
2013,7568,7568,7578,6652,9982927,9238911,744016,17085,128795,598136,5758,123,5635,5781,139,5642,19133,2013,9238911,1434039,720583,0,2535,2401232,4680522,0,128795,68801,19053,0,0,0,40941,0,1810,871
2014,7568,7568,7578,6491,13170265,12029337,1140928,126438,251269,763221,5184,131,5053,5214,153,5061,3719,2014,12029337,1611850,906517,0,403179,3062347,6045444,0,251269,136242,33608,0,0,0,81419,0,2384,1277
2015,7568,7568,7578,7539,242916,153221,89695,20900,21636,47159,7506,32,7474,7516,37,7479,99696,2015,153221,84382,25370,0,43469,0,0,0,21636,12934,1066,0,0,0,7636,0,62,23
2016,7568,7568,7578,6760,8101116,7691498,409618,2442,94039,313137,6102,111,5991,6117,121,5996,0,2016,7691498,847903,447813,0,256347,2315443,3823992,0,94039,37495,34089,0,0,0,22455,0,1466,643
2017,7568,7568,7578,6733,7448424,7110954,337470,13889,57099,266482,5912,115,5797,5930,125,5805,1710472,2017,7110954,763494,598857,0,460903,1696360,3591340,0,57099,34998,1618,0,0,0,20483,0,1656,803
2018,7568,7568,7578,6323,38936196,34072001,4864195,1694841,990375,2178979,522,194,328,559,228,331,0,2018,34072001,9645469,7000502,0,1738249,7973485,7714296,0,990375,406179,338274,0,0,0,245922,0,7046,5764
2019,7568,7568,7578,6710,9140004,8274495,865509,55911,285888,523710,5914,110,5804,5940,133,5807,0,2019,8274495,1185878,392866,0,31413,1956186,4708152,0,285888,99356,126351,0,0,0,60181,0,1654,770
2020,7568,7568,7578,7433,1309662,1149334,160328,1502,37591,121235,7331,71,7260,7338,78,7260,0,2020,1149334,300856,181499,0,132137,534842,0,0,37591,16244,11708,0,0,0,9639,0,237,95
2021,7568,7568,7578,7240,2816666,2476351,340315,13580,87362,239373,6970,72,6898,6979,76,6903,490294,2021,2476351,493540,234383,0,87085,1151367,509976,0,87362,39000,25192,0,0,0,23170,0,598,261
2022,7568,7568,7578,6323,27663156,23296673,4366483,1967862,891228,1507393,2562,172,2390,2601,209,2392,0,2022,23296673,5867370,1954344,0,1679837,6312918,7482204,0,891228,490272,106623,0,0,0,294333,0,5006,3722
2023,7568,7568,7578,6352,20495934,18103883,2392051,1122232,568226,701593,3859,168,3691,3901,205,3696,0,2023,18103883,3054269,1766821,0,1584069,4603340,7095384,0,568226,311779,69736,0,0,0,186711,0,3709,2451
2024,7568,7568,7578,6302,37107090,28437400,8669690,5525851,1876721,1267118,853,190,663,898,231,667,0,2024,28437400,8326425,4174794,0,1572826,6886677,7476678,0,1876721,960648,337902,0,0,0,578171,0,6715,5404
