"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6322,40284540,35523660,4760880,1979355,709499,2072026,278,193,85,314,229,85,0
2011,7568,7568,7578,6507,12776112,11683229,1092883,64115,269435,759333,5256,116,5140,5285,143,5142,0
2012,7568,7568,7578,6322,39212496,34155286,5057210,2593971,865516,1597723,472,194,278,510,229,281,0
2013,7568,7568,7578,6294,22949478,19998344,2951134,636018,502222,1812894,3415,158,3257,3467,204,3263,0
2014,7568,7568,7578,6279,32216580,26989625,5226955,1969508,861416,2396031,1738,179,1559,1788,224,1564,0
2015,7568,7568,7578,6305,6096198,5022222,1073976,542137,231327,300512,1593,190,1403,1638,232,1406,27000619
2016,7568,7568,7578,6385,16566948,14725861,1841087,353275,370266,1117546,4570,156,4414,4619,199,4420,0
2017,7568,7568,7578,6319,21975494,19188027,2787467,1429929,598648,758890,2237,197,2040,2277,233,2044,7506490
2018,7568,7568,7578,6322,40544262,37886445,2657817,1723730,495204,438883,231,190,41,267,226,41,0
2019,7568,7568,7578,6310,2972295,2685246,287049,102959,68876,115214,277,187,90,317,226,91,37400920
2020,7568,7568,7578,6323,26182188,22858820,3323368,1590737,817593,915038,2830,173,2657,2874,210,2664,0
2021,7568,7568,7578,6322,38393098,31369941,7023157,4207915,1222125,1593117,574,199,375,608,231,377,255746
2022,7568,7568,7578,6284,40030344,39725704,304640,226077,57193,21370,324,181,143,373,229,144,0
2023,7568,7568,7578,6301,20556720,18407648,2149072,556155,423726,1169191,3848,162,3686,3900,204,3696,0
2024,7568,7568,7578,6331,38223342,30236783,7986559,4697511,1379911,1909137,651,185,466,661,193,468,0
2025,7568,7568,7578,6306,28985331,23820962,5164369,2524155,1070632,1569582,470,187,283,514,228,286,10264768
2026,7568,7568,7578,6341,32006592,27345211,4661381,1529992,915741,2215648,1776,194,1582,1814,230,1584,0
2027,7568,7568,7578,6346,16555896,15234655,1321241,317011,307815,696415,4572,160,4412,4617,199,4418,0
2028,7568,7568,7578,6322,26772194,22784265,3987929,1440062,843737,1704130,700,193,507,736,229,507,11207652
2029,7568,7568,7578,6665,7446409,6817975,628434,119153,132978,376303,5811,123,5688,5834,139,5695,2275333
2030,7568,7568,7578,6288,37355760,33198443,4157317,1602215,811394,1743708,808,183,625,857,229,628,0
2031,7568,7568,7578,6323,35802954,29719030,6083924,2334433,1489237,2260254,1089,196,893,1125,232,893,0
2032,7568,7568,7578,6501,13732110,12460286,1271824,189132,275136,807556,5083,118,4965,5109,140,4969,0
2033,7568,7568,7578,6340,28291124,24278131,4012993,1905009,1022398,1085586,2352,194,2158,2394,233,2161,532718
2034,7568,7568,7578,6322,23118491,19126972,3991519,1722883,870745,1397891,2252,196,2056,2294,232,2062,6266816
2035,7568,7568,7578,6458,15097032,13263307,1833725,823120,429425,581180,4836,140,4696,4881,179,4702,0
2036,7568,7568,7578,6319,39720888,32961897,6758991,4327971,1253128,1177892,380,190,190,416,226,190,0
2037,7568,7568,7578,6312,36933101,30528587,6404514,3452465,1173443,1778606,880,190,690,923,230,693,24787
2038,7568,7568,7578,6323,21517169,18545607,2971562,1158864,617765,1194933,2376,183,2193,2415,221,2194,7195194
2039,7568,7568,7578,6272,40787406,33267991,7519415,4544168,1453269,1521978,187,182,5,231,226,5,0
2040,7568,7568,7578,6322,30133278,25454461,4678817,1581376,920986,2176455,2115,199,1916,2158,235,1923,0
2041,7568,7568,7578,6275,36162144,30686284,5475860,3393630,981295,1100935,1024,185,839,1073,229,844,0
2042,7568,7568,7578,6309,16742938,14408060,2334878,1180614,459091,695173,2644,184,2460,2689,224,2465,10500521
2043,7568,7568,7578,6280,18585999,16040886,2545113,1122976,428173,993964,785,182,603,831,226,605,18918081
2044,7568,7568,7578,6268,38140452,32332232,5808220,3025490,1024265,1758465,666,184,482,712,228,484,0
2045,7568,7568,7578,6296,24723324,21684725,3038599,920652,548862,1569085,3094,168,2926,3146,213,2933,0
2046,7568,7568,7578,6323,27590325,22576736,5013589,2201466,1298902,1513221,2410,182,2228,2450,218,2232,916974
2047,7568,7568,7578,6670,12765060,10755134,2009926,560743,462109,987074,5258,136,5122,5286,157,5129,0
2048,7568,7568,7578,6321,11537150,9910898,1626252,926391,321180,378681,2222,197,2025,2260,232,2028,18051041
2049,7568,7568,7578,6281,24480180,20975168,3505012,1585210,726174,1193628,3138,166,2972,3188,210,2978,0
2050,7568,7568,7578,6469,11253558,10113874,1139684,120135,292044,727505,5114,118,4996,5156,154,5002,2317465
