"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,35523660,8891259,8001610,0,3023538,7865327,7741926,0,709499,440002,6125,0,0,0,263372,0,7290,6008
2011,11683229,1810487,704668,0,204279,3150443,5813352,0,269435,121247,75210,0,0,0,72978,0,2312,1222
2012,34155286,9100867,3472816,0,6221892,7755935,7603776,0,865516,540895,779,0,0,0,323842,0,7096,5812
2013,19998344,4707252,2035647,0,428165,5400336,7426944,0,502222,314179,0,0,0,0,188043,0,4153,2827
2014,26989625,7865279,4068412,0,861653,6717603,7476678,0,861416,538740,0,0,0,0,322676,0,5830,4491
2015,5022222,1322752,572755,0,283883,1374458,1468374,0,231327,119112,41325,0,0,0,70890,0,5975,4667
2016,14725861,2522755,1030193,0,293195,4038530,6841188,0,370266,228168,5817,0,0,0,136281,0,2998,1766
2017,19188027,4336122,2345673,0,3389717,3876960,5239555,0,598648,328761,72830,0,0,0,197057,0,5331,4042
2018,37886445,10227470,6131434,0,7274206,6771131,7482204,0,495204,300379,15212,0,0,0,179613,0,7337,6055
2019,2685246,412002,427121,0,88043,740914,1017166,0,68876,32105,18275,0,0,0,18496,0,7291,5993
2020,22858820,4644867,2012750,0,2667753,6089928,7443522,0,817593,403313,171596,0,0,0,242684,0,4738,3449
2021,31369941,9016799,4472745,0,3229710,7190587,7460100,0,1222125,764229,0,0,0,0,457896,0,6994,5714
2022,39725704,8320364,4317678,0,12441101,7136727,7509834,0,57193,36057,178,0,0,0,20958,0,7244,5911
2023,18407648,3316643,2241413,0,598215,4852063,7399314,0,423726,255950,14749,0,0,0,153027,0,3720,2401
2024,30236783,8957431,5304650,0,1566152,6788196,7620354,0,1379911,862957,0,0,0,0,516954,0,6917,5670
2025,23820962,7140194,5034159,0,987359,5186793,5472457,0,1070632,505710,260280,0,0,0,304642,0,7098,5792
2026,27345211,7886921,4339429,0,1197109,6638484,7283268,0,915741,447558,198621,0,0,0,269562,0,5792,4527
2027,15234655,2144624,1002089,0,942947,4021981,7123014,0,307815,168673,38288,0,0,0,100854,0,2996,1729
2028,22784265,6856597,4569647,0,612732,5268045,5477244,0,843737,353237,276960,0,0,0,213540,0,6868,5586
2029,6817975,807405,291776,0,280547,1778857,3659390,0,132978,83470,0,0,0,0,49508,0,1757,831
2030,33198443,8424595,7711992,0,2887134,6675940,7498782,0,811394,408482,157258,0,0,0,245654,0,6760,5431
2031,29719030,9010676,3409253,0,2156606,7599505,7542990,0,1489237,592939,536864,0,0,0,359434,0,6479,5198
2032,12460286,1935196,993876,0,440101,3216975,5874138,0,275136,153623,29636,0,0,0,91877,0,2485,1392
2033,24278131,5313624,2955262,0,2478810,6230589,7299846,0,1022398,454332,293844,0,0,0,274222,0,5216,3946
2034,19126972,5034311,2458791,0,649594,5047087,5937189,0,870745,442516,162025,0,0,0,266204,0,5316,4028
2035,13263307,2160580,1134675,0,446902,3287822,6233328,0,429425,251103,28134,0,0,0,150188,0,2732,1577
2036,32961897,7562026,4726301,0,6059294,7137598,7476678,0,1253128,773926,15497,0,0,0,463705,0,7188,5903
2037,30528587,7677059,6713587,0,2321881,6328330,7487730,0,1173443,708857,39719,0,0,0,424867,0,6688,5389
2038,18545607,4801958,1787106,0,1302564,4995881,5658098,0,617765,327591,93505,0,0,0,196669,0,5192,3908
2039,33267991,8605147,8372471,0,2413850,6399845,7476678,0,1453269,814815,149343,0,0,0,489111,0,7381,6041
2040,25454461,7004084,3606741,0,835886,6536598,7471152,0,920986,461877,181155,0,0,0,277954,0,5453,4164
2041,30686284,7926697,5414925,0,3249288,6535806,7559568,0,981295,613763,0,0,0,0,367532,0,6544,5202
2042,14408060,2643439,1630232,0,1527074,3956133,4651182,0,459091,287396,0,0,0,0,171695,0,4924,3620
2043,16040886,4057080,3506011,0,977180,3591759,3908856,0,428173,268129,0,0,0,0,160044,0,6783,5449
2044,32332232,8810417,6004885,0,3474994,6576310,7465626,0,1024265,621124,31058,0,0,0,372083,0,6902,5556
2045,21684725,4724138,3953624,0,306321,5218438,7482204,0,548862,314501,46005,0,0,0,188356,0,4474,3150
2046,22576736,6173879,2894486,0,572012,5867459,7068900,0,1298902,539973,432137,0,0,0,326792,0,5158,3873
2047,10755134,2263455,736215,0,222433,2996185,4536846,0,462109,261870,43366,0,0,0,156873,0,2310,1384
2048,9910898,1919786,1176035,0,845337,2623610,3346130,0,321180,201239,0,0,0,0,119941,0,5346,4061
2049,20975168,4052063,3227858,0,916716,5323957,7454574,0,726174,433245,33386,0,0,0,259543,0,4430,3093
2050,10113874,1604839,749414,0,15926,2631831,5111864,0,292044,128630,86277,0,0,0,77137,0,2454,1313
2051,25679780,5900115,2394379,0,3590635,6378759,7415892,0,313679,190647,9132,0,0,0,113900,0,4957,3673
2052,19769214,4134226,2155063,0,1463822,4962253,7053850,0,543992,331552,14029,0,0,0,198411,0,4223,2922
2053,9204405,1957741,1481785,0,216788,2348505,3199586,0,282887,144584,52016,0,0,0,86287,0,4583,3273
2054,22225465,5140437,3100862,0,656522,5922804,7404840,0,573466,274934,132945,0,0,0,165587,0,4537,3251
2055,10781753,1495299,904199,0,635843,2631679,5114733,0,100871,62475,1644,0,0,0,36752,0,2868,1623
2056,27148478,7999635,6749678,0,924116,5652662,5822387,0,704252,360085,127745,0,0,0,216422,0,7074,5782
2057,122141,65070,36324,0,20747,0,0,0,10026,4501,2935,0,0,0,2590,0,32,12
2058,10316148,1508326,638750,0,97168,2418806,5653098,0,212647,95373,60023,0,0,0,57251,0,2036,977
2059,10795257,1679469,703240,0,392516,2615604,5404428,0,221186,110296,44980,0,0,0,65910,0,2137,1120
2060,5385262,688295,374833,0,243826,1801596,2276712,0,77941,38765,16152,0,0,0,23024,0,1041,469
2061,15072417,2936928,1128479,0,177140,4269188,6560682,0,413227,222693,57158,0,0,0,133376,0,3414,2144
2062,32533144,8869214,5851149,0,2693145,7482704,7636932,0,1289416,546421,412616,0,0,0,330379,0,6889,5606
2063,28284954,8226202,4329295,0,1195863,7023760,7509834,0,908686,520027,76595,0,0,0,312064,0,6078,4792
