"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6322,40284540,35523660,4760880,1979355,709499,2072026,278,193,85,314,229,85,0,2010,35523660,8891259,8001610,0,3023538,7865327,7741926,0,709499,440002,6125,0,0,0,263372,0,7290,6008
2011,7568,7568,7578,6507,12776112,11683229,1092883,64115,269435,759333,5256,116,5140,5285,143,5142,0,2011,11683229,1810487,704668,0,204279,3150443,5813352,0,269435,121247,75210,0,0,0,72978,0,2312,1222
2012,7568,7568,7578,6322,39212496,34155286,5057210,2593971,865516,1597723,472,194,278,510,229,281,0,2012,34155286,9100867,3472816,0,6221892,7755935,7603776,0,865516,540895,779,0,0,0,323842,0,7096,5812
2013,7568,7568,7578,6294,22949478,19998344,2951134,636018,502222,1812894,3415,158,3257,3467,204,3263,0,2013,19998344,4707252,2035647,0,428165,5400336,7426944,0,502222,314179,0,0,0,0,188043,0,4153,2827
2014,7568,7568,7578,6279,32216580,26989625,5226955,1969508,861416,2396031,1738,179,1559,1788,224,1564,0,2014,26989625,7865279,4068412,0,861653,6717603,7476678,0,861416,538740,0,0,0,0,322676,0,5830,4491
2015,7568,7568,7578,6305,6096198,5022222,1073976,542137,231327,300512,1593,190,1403,1638,232,1406,27000619,2015,5022222,1322752,572755,0,283883,1374458,1468374,0,231327,119112,41325,0,0,0,70890,0,5975,4667
2016,7568,7568,7578,6385,16566948,14725861,1841087,353275,370266,1117546,4570,156,4414,4619,199,4420,0,2016,14725861,2522755,1030193,0,293195,4038530,6841188,0,370266,228168,5817,0,0,0,136281,0,2998,1766
2017,7568,7568,7578,6319,21975494,19188027,2787467,1429929,598648,758890,2237,197,2040,2277,233,2044,7506490,2017,19188027,4336122,2345673,0,3389717,3876960,5239555,0,598648,328761,72830,0,0,0,197057,0,5331,4042
2018,7568,7568,7578,6322,40544262,37886445,2657817,1723730,495204,438883,231,190,41,267,226,41,0,2018,37886445,10227470,6131434,0,7274206,6771131,7482204,0,495204,300379,15212,0,0,0,179613,0,7337,6055
2019,7568,7568,7578,6310,2972295,2685246,287049,102959,68876,115214,277,187,90,317,226,91,37400920,2019,2685246,412002,427121,0,88043,740914,1017166,0,68876,32105,18275,0,0,0,18496,0,7291,5993
2020,7568,7568,7578,6323,26182188,22858820,3323368,1590737,817593,915038,2830,173,2657,2874,210,2664,0,2020,22858820,4644867,2012750,0,2667753,6089928,7443522,0,817593,403313,171596,0,0,0,242684,0,4738,3449
2021,7568,7568,7578,6322,38393098,31369941,7023157,4207915,1222125,1593117,574,199,375,608,231,377,255746,2021,31369941,9016799,4472745,0,3229710,7190587,7460100,0,1222125,764229,0,0,0,0,457896,0,6994,5714
2022,7568,7568,7578,6284,40030344,39725704,304640,226077,57193,21370,324,181,143,373,229,144,0,2022,39725704,8320364,4317678,0,12441101,7136727,7509834,0,57193,36057,178,0,0,0,20958,0,7244,5911
2023,7568,7568,7578,6301,20556720,18407648,2149072,556155,423726,1169191,3848,162,3686,3900,204,3696,0,2023,18407648,3316643,2241413,0,598215,4852063,7399314,0,423726,255950,14749,0,0,0,153027,0,3720,2401
2024,7568,7568,7578,6331,38223342,30236783,7986559,4697511,1379911,1909137,651,185,466,661,193,468,0,2024,30236783,8957431,5304650,0,1566152,6788196,7620354,0,1379911,862957,0,0,0,0,516954,0,6917,5670
2025,7568,7568,7578,6306,28985331,23820962,5164369,2524155,1070632,1569582,470,187,283,514,228,286,10264768,2025,23820962,7140194,5034159,0,987359,5186793,5472457,0,1070632,505710,260280,0,0,0,304642,0,7098,5792
2026,7568,7568,7578,6341,32006592,27345211,4661381,1529992,915741,2215648,1776,194,1582,1814,230,1584,0,2026,27345211,7886921,4339429,0,1197109,6638484,7283268,0,915741,447558,198621,0,0,0,269562,0,5792,4527
2027,7568,7568,7578,6346,16555896,15234655,1321241,317011,307815,696415,4572,160,4412,4617,199,4418,0,2027,15234655,2144624,1002089,0,942947,4021981,7123014,0,307815,168673,38288,0,0,0,100854,0,2996,1729
2028,7568,7568,7578,6322,26772194,22784265,3987929,1440062,843737,1704130,700,193,507,736,229,507,11207652,2028,22784265,6856597,4569647,0,612732,5268045,5477244,0,843737,353237,276960,0,0,0,213540,0,6868,5586
2029,7568,7568,7578,6665,7446409,6817975,628434,119153,132978,376303,5811,123,5688,5834,139,5695,2275333,2029,6817975,807405,291776,0,280547,1778857,3659390,0,132978,83470,0,0,0,0,49508,0,1757,831
2030,7568,7568,7578,6288,37355760,33198443,4157317,1602215,811394,1743708,808,183,625,857,229,628,0,2030,33198443,8424595,7711992,0,2887134,6675940,7498782,0,811394,408482,157258,0,0,0,245654,0,6760,5431
2031,7568,7568,7578,6323,35802954,29719030,6083924,2334433,1489237,2260254,1089,196,893,1125,232,893,0,2031,29719030,9010676,3409253,0,2156606,7599505,7542990,0,1489237,592939,536864,0,0,0,359434,0,6479,5198
