"cnrmcm3","gfdlcm21","miroc32med","mpiecham5","ncarccsm3","ncarpcm1"
2486.7774137931,4102.42602250892,5526,5526,5526,5526
36.3920972644377,4209.6863317757,5526,5525.73921623908,5526,5526
4759.7670646542,5526,5526,5526,5525.94212962963,5526
2730.21348045095,5510.90328006728,5526,5093.30463266261,5515.42928176796,5526
5066.15833826138,5526,5526,5525.602297593,5524.44001677852,5526
4393.201027146,276.764096433552,3254.44614882507,5523.93828697938,3918,1020.28418410042
3464.74920908829,3403.75040859211,5526,5526,5526,5526
5526,3613.5530906333,5518.46658851114,NA,4497.84057971014,4122.20859125868
5526,5503.4866190901,5526,5198.97792586422,5526,5526
987.689487179487,1681.70836640737,704.406513872135,627.811167945439,5526,407.666300918941
3526.4835,5526,5526,5526,5526,5526
4564.86580341377,5526,3673.34615988692,5526,4710.14381270903,5489.43351444095
2619.26193633952,5525.8427672956,3904.29661851609,5526,5526,5526
3434.48989623157,5524.21072355146,5376.90887732841,5526,5526,5526
5526,5526,5526,5470.28408698654,5526,5526
2900.44174031271,5526,5136.93250883392,4535.17657103825,5358.96729996346,4083.59129332206
5526,5518.44060193894,5526,5526,5526,5526
5526,5526,5526,5526,NA,5526
4719.4915693904,5526,5526,5526,3427.21672758547,3898.10629004077
3335.83723875871,3618.1661971831,2393.22939729397,4009.17089173874,108.980747633563,4238.13830392715
5526,5526,5524.88888888889,5526,5526,5526
5526,3898.65355521936,5526,5526,5526,5526
5248.86457638426,5526,5400.88353221957,5526,5526,5526
5518.58275092937,5526,5526,5526,5345.4921770228,5423.91180981595
5526,5526,5526,5526,4907.28561549101,4348.85082768999
5526,5526,5526,4938.40666257292,5223.37062937063,5526
4754.99236641221,4204.97731120894,2974.65266106443,5526,4305.91671659676,5526
3715.57507914971,1639.69438202247,4642.5,5526,3300.07692307692,5522.29380980861
5379.61209460416,2198.01207729469,2058.16347601635,4731.66922907973,1584.1012987013,4144.29295069337
5326.77261055635,5526,5525.91586849599,5526,5526,5526
5526,5526,4436.6509065871,5526,5069.74468085106,5526
5526,4745.10312231452,5526,5426.59523809524,5526,5526
4119.88987939172,NA,NA,4716.70860737775,NA,3400.27173030057
4933.46957272335,3796.53407542026,2538.79806848112,5000.84005499542,4397.94604316547,2740.08536045997
5526,5249.55652173913,5526,5526,5526,5526
5526,3378.1447781264,5526,5526,5526,5526
5526,5116.7623502994,5526,5526,5526,5349.03547886778
1787.13805838903,3237.27264858627,5049,NA,5526,5526
5526,3571.19546485261,4766.81971580817,4551.93060449986,2914.89170896785,2158.09016086794
5526,5526,NA,5526,5526,5526
5526,5526,5526,2902.36813755956,5526,4585.80195599022
2964.51091419927,5175.21465517241,3542,3465.30583756345,2925.41706161137,5526
3037.46410591087,5526,4898,5192.57572041692,2645.12517353077,5339.49017286289
5381.07987388334,1812.0374251497,4279.72171945701,4417.39212286351,5526,2302.45625136374
5526,5526,NA,4927.04192992533,5526,5526
4269.47692307692,1621.25625,NA,2532.6301369863,1417.64173703257,3951.98361227336
5526,NA,5526,5526,5526,4425.71769861465
5526,5526,5524.29864552362,3635.06436233611,5526,5124
2188.44313547802,5525.78909952607,5526,NA,2164.71154760019,5526
3316.662004662,2805.96064139942,5526,NA,NA,5526
4527.31128592069,5526,5146.67919566899,5526,5526,5526
2911.36511568777,3456.77551020408,5526,4256.69459757442,3034.23816568047,5000.54803749268
5526,4227.42390731964,5526,5526,4487.78591549296,5526
5526,5526,5526,5526,5461.13266384778,5526
5526,5526,5183.75841584158,4205.58566433566,5305.60709914321,5526
5360.00338983051,2130.08678389109,5093.6511627907,NA,4446,5152.5736802602
5526,5526,5082.8762541806,4983.12018977333,5525.56501784804,5526
5526,5126.30857142857,NA,NA,5526,NA
NA,2618.70362939996,4270,5099,3831.29624554673,4217.38396528095
5526,5526,NA,4716.97393665158,5526,5526
NA,3366,3640.16607773852,2503.34255185418,5214.00910643142,4395.77542830684
2867.09233576642,NA,2738,639.198529411765,NA,5526
4868.57142857143,5526,5526,5526,2191.92641363284,5526
5526,3880.87086288416,3542,5526,1133.39371257485,NA
5526,NA,NA,NA,5507,5522.90296180826
NA,2160,NA,NA,2050.43088655863,844.3625
NA,5526,4332.71186440678,137.30162412993,107.823633603239,NA
5526,5526,5115.41518807665,NA,4689.85882352941,5526
5526,5526,5526,5526,5526,5526
5525.77477477477,1962.28346456693,1110.43882544861,4097.14678899083,NA,3836.24821350445
5525.37388193202,NA,NA,5526,5526,1683.37431549196
2982.46283448959,NA,NA,3235.29946524064,3934.32,3846.11984212415
5189.32853566959,453.542972699697,NA,5514.34560067682,4159.18661208765,5526
2448.38203266788,NA,1972.51638530288,2213.4879759519,NA,2017.44048104362
5526,5408.66666666667,5526,NA,5524.441285808,5526
5051.7,NA,5526,4080.14691753403,NA,5526
4563.01710863986,NA,NA,5526,NA,5526
NA,NA,NA,3145,NA,5523.92817679558
3575.99166666667,5526,NA,NA,4537.8625,4808.75806451613
5526,5526,NA,2572.95808019441,NA,4761.13506114254
3145.40635451505,4596.73758865248,1660.40833333333,NA,714.456375838926,5516.24281984334
4697,5526,3944,Inf,2621.86143695015,5526
4218.99002302379,5526,NA,NA,5526,5526
NA,39.6129032258064,NA,NA,37.979381443299,2891.1391220142
5476,NA,3701.86538461538,NA,2790.4390640234,5526
738.152247667515,Inf,NA,NA,1036.73247126437,2497.58152840213
NA,NA,NA,NA,NA,4054.56902356902
Inf,NA,3872.57023538345,NA,3815.28943628612,5526
0,0,1630.27027027027,0,5526,5526
NA,NA,5526,NA,5526,5526
