"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,15146875,2069642,1529179,0,883782,3741472,6922800,0,405970,223664,48519,0,0,0,133787,0,3165,1906
2011,25641348,7391464,2389462,0,2240150,6713117,6907155,0,1023826,640320,0,0,0,0,383506,0,6608,5323
2012,15214313,2625211,1518676,0,84605,3895963,7089858,0,564432,194353,251980,0,0,0,118099,0,3078,1757
2013,25697519,8036447,3297882,0,1279261,6357818,6726111,0,1201631,705473,73051,0,0,0,423107,0,6889,5605
2014,20605168,6211129,2040699,0,1918030,5036752,5398558,0,737980,456722,8064,0,0,0,273194,0,7098,5815
2015,33689792,10521762,4008930,0,4257250,7419646,7482204,0,1182646,728856,17085,0,0,0,436705,0,7361,6069
2016,10019494,2009993,1154279,0,1835622,2284318,2735282,0,180795,106233,11667,0,0,0,62895,0,7335,5994
2017,27150623,7852415,4084255,0,611502,7131299,7471152,0,1013576,445908,298172,0,0,0,269496,0,5784,4436
2018,12759776,2004716,723665,0,102617,3523554,6405224,0,295751,184929,363,0,0,0,110459,0,2919,1651
2019,31800588,8992067,5956362,0,2211631,7152798,7487730,0,809795,408405,155762,0,0,0,245628,0,6550,5222
2020,33806928,7521833,2906327,0,8556130,7362538,7460100,0,493678,289370,31157,0,0,0,173151,0,6614,5322
2021,23758035,6524606,4587487,0,1048932,5479860,6117150,0,986654,553926,100467,0,0,0,332261,0,6803,5512
2022,19056868,4695003,1834207,0,2542760,4760897,5224001,0,798750,492811,11039,0,0,0,294900,0,6971,5625
2023,34275840,8470639,3223904,0,7654330,7444763,7482204,0,534475,297247,59157,0,0,0,178071,0,6682,5382
2024,22788745,2857013,1361896,0,6309548,5560890,6699398,0,31478,18413,2724,0,0,0,10341,0,4773,3484
2025,24517568,5011913,3029607,0,3590996,5783390,7101662,0,756378,427440,72747,0,0,0,256191,0,5630,4297
2026,11391904,2095100,1024367,0,94755,3315668,4862014,0,301570,163151,40948,0,0,0,97471,0,3505,2220
2027,13814590,2208549,1350009,0,8510,3655004,6592518,0,238660,95026,86349,0,0,0,57285,0,2695,1492
2028,46953,31915,10022,0,5016,0,0,0,5352,2626,1332,0,0,0,1394,0,13,5
2029,9165822,1154826,368679,0,190595,2489374,4962348,0,151967,79391,25240,0,0,0,47336,0,1789,811
2030,18458503,4809972,2364320,0,478888,4866439,5938884,0,758864,397136,123068,0,0,0,238660,0,5247,3960
2031,31007800,9321916,4945347,0,1525087,7556414,7659036,0,1699030,757309,484405,0,0,0,457316,0,6940,5609
2032,16672574,3022122,1143109,0,341387,4938248,7227708,0,527386,324219,9364,0,0,0,193803,0,3511,2234
2033,30291820,9209816,5418868,0,956236,7202592,7504308,0,1531863,676837,446252,0,0,0,408774,0,6692,5395
2034,12088170,1942024,1018525,0,567519,3205408,5354694,0,328463,183257,35586,0,0,0,109620,0,2447,1423
2035,25906517,7435861,2904952,0,997886,7096666,7471152,0,1264563,625439,262485,0,0,0,376639,0,5754,4418
2036,33597498,9680554,7927140,0,838751,7497543,7653510,0,977267,521571,142243,0,0,0,313453,0,7127,5847
2037,12684373,2034615,911719,0,495226,3382117,5860696,0,260339,126120,58603,0,0,0,75616,0,3113,1858
2038,24177451,6543657,2646323,0,839102,6671691,7476678,0,1080294,553138,194354,0,0,0,332802,0,5308,4005
2039,18810832,4445245,1242447,0,278438,5456440,7388262,0,832667,453507,106950,0,0,0,272210,0,4089,2766
2040,14893603,3002243,1846572,0,380727,3908672,5755389,0,478735,196759,163249,0,0,0,118727,0,4043,2767
2041,22053390,4663722,2259570,0,1530658,5918300,7681140,0,690002,283114,235699,0,0,0,171189,0,4502,3226
2042,328830,251820,74913,0,2097,0,0,0,53913,31589,3647,0,0,0,18677,0,103,40
