"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6354,16830472,15146875,1683597,624830,405970,652797,4403,150,4253,4448,188,4260,661106,2010,15146875,2069642,1529179,0,883782,3741472,6922800,0,405970,223664,48519,0,0,0,133787,0,3165,1906
2011,7568,7568,7578,6322,31474634,25641348,5833286,3118116,1023826,1691344,960,192,768,999,228,771,5050317,2011,25641348,7391464,2389462,0,2240150,6713117,6907155,0,1023826,640320,0,0,0,0,383506,0,6608,5323
2012,7568,7568,7578,6298,17009028,15214313,1794715,200166,564432,1030117,4490,167,4323,4541,210,4331,0,2012,15214313,2625211,1518676,0,84605,3895963,7089858,0,564432,194353,251980,0,0,0,118099,0,3078,1757
2013,7568,7568,7578,6322,32208999,25697519,6511480,3706674,1201631,1603175,679,197,482,717,233,484,5871146,2013,25697519,8036447,3297882,0,1279261,6357818,6726111,0,1201631,705473,73051,0,0,0,423107,0,6889,5605
2014,7568,7568,7578,6320,24816329,20605168,4211161,2244364,737980,1228817,470,191,279,505,227,278,14436881,2014,20605168,6211129,2040699,0,1918030,5036752,5398558,0,737980,456722,8064,0,0,0,273194,0,7098,5815
2015,7568,7568,7578,6314,40676886,33689792,6987094,3649206,1182646,2155242,207,188,19,245,226,19,0,2015,33689792,10521762,4008930,0,4257250,7419646,7482204,0,1182646,728856,17085,0,0,0,436705,0,7361,6069
2016,7568,7568,7578,6272,10934912,10019494,915418,606091,180795,128532,233,183,50,278,227,51,29665882,2016,10019494,2009993,1154279,0,1835622,2284318,2735282,0,180795,106233,11667,0,0,0,62895,0,7335,5994
2017,7568,7568,7578,6268,31961477,27150623,4810854,1587077,1013576,2210201,1784,186,1598,1832,230,1602,907,2017,27150623,7852415,4084255,0,611502,7131299,7471152,0,1013576,445908,298172,0,0,0,269496,0,5784,4436
2018,7568,7568,7578,6348,14269922,12759776,1510146,245931,295751,968464,4649,146,4503,4697,187,4510,1867862,2018,12759776,2004716,723665,0,102617,3523554,6405224,0,295751,184929,363,0,0,0,110459,0,2919,1651
2019,7568,7568,7578,6288,36195300,31800588,4394712,1543714,809795,2041203,1018,183,835,1066,228,838,0,2019,31800588,8992067,5956362,0,2211631,7152798,7487730,0,809795,408405,155762,0,0,0,245628,0,6550,5222
2020,7568,7568,7578,6313,36548964,33806928,2742036,1181293,493678,1067065,954,199,755,991,235,756,0,2020,33806928,7521833,2906327,0,8556130,7362538,7460100,0,493678,289370,31157,0,0,0,173151,0,6614,5322
2021,7568,7568,7578,6317,28916860,23758035,5158825,2724800,986654,1447371,765,192,573,805,230,575,8695712,2021,23758035,6524606,4587487,0,1048932,5479860,6117150,0,986654,553926,100467,0,0,0,332261,0,6803,5512
2022,7568,7568,7578,6268,23330583,19056868,4273715,2835178,798750,639787,597,187,410,643,231,412,15223616,2022,19056868,4695003,1834207,0,2542760,4760897,5224001,0,798750,492811,11039,0,0,0,294900,0,6971,5625
2023,7568,7568,7578,6310,36924732,34275840,2648892,1336180,534475,778237,886,190,696,928,229,699,0,2023,34275840,8470639,3223904,0,7654330,7444763,7482204,0,534475,297247,59157,0,0,0,178071,0,6682,5382
2024,7568,7568,7578,6322,22928894,22788745,140149,42419,31478,66252,2795,186,2609,2838,221,2617,3455927,2024,22788745,2857013,1361896,0,6309548,5560890,6699398,0,31478,18413,2724,0,0,0,10341,0,4773,3484
2025,7568,7568,7578,6285,28077418,24517568,3559850,1970300,756378,833172,1938,185,1753,1988,231,1757,3040339,2025,24517568,5011913,3029607,0,3590996,5783390,7101662,0,756378,427440,72747,0,0,0,256191,0,5630,4297
2026,7568,7568,7578,6330,12826341,11391904,1434437,264211,301570,868656,4063,163,3900,4110,200,3910,6571783,2026,11391904,2095100,1024367,0,94755,3315668,4862014,0,301570,163151,40948,0,0,0,97471,0,3505,2220
2027,7568,7568,7578,6421,14892570,13814590,1077980,30163,238660,809157,4873,127,4746,4929,175,4754,0,2027,13814590,2208549,1350009,0,8510,3655004,6592518,0,238660,95026,86349,0,0,0,57285,0,2695,1492
2028,7568,7568,7578,7570,71838,46953,24885,685,5352,18848,7555,22,7533,7565,25,7540,0,2028,46953,31915,10022,0,5016,0,0,0,5352,2626,1332,0,0,0,1394,0,13,5
2029,7568,7568,7578,6616,9886014,9165822,720192,30307,151967,537918,5779,113,5666,5805,134,5671,0,2029,9165822,1154826,368679,0,190595,2489374,4962348,0,151967,79391,25240,0,0,0,47336,0,1789,811
2030,7568,7568,7578,6322,22126939,18458503,3668436,1492427,758864,1417145,2321,189,2132,2362,225,2137,6887948,2030,18458503,4809972,2364320,0,478888,4866439,5938884,0,758864,397136,123068,0,0,0,238660,0,5247,3960
2031,7568,7568,7578,6286,38345780,31007800,7337980,3758882,1699030,1880068,628,183,445,677,229,448,4660,2031,31007800,9321916,4945347,0,1525087,7556414,7659036,0,1699030,757309,484405,0,0,0,457316,0,6940,5609
2032,7568,7568,7578,6337,19205711,16672574,2533137,885647,527386,1120104,4057,161,3896,4103,199,3904,196225,2032,16672574,3022122,1143109,0,341387,4938248,7227708,0,527386,324219,9364,0,0,0,193803,0,3511,2234
2033,7568,7568,7578,6312,36979992,30291820,6688172,3209149,1531863,1947160,876,187,689,917,227,690,0,2033,30291820,9209816,5418868,0,956236,7202592,7504308,0,1531863,676837,446252,0,0,0,408774,0,6692,5395
2034,7568,7568,7578,6566,13522122,12088170,1433952,305545,328463,799944,5121,123,4998,5143,139,5004,0,2034,12088170,1942024,1018525,0,567519,3205408,5354694,0,328463,183257,35586,0,0,0,109620,0,2447,1423
2035,7568,7568,7578,6280,31796604,25906517,5890087,2559224,1264563,2066300,1814,189,1625,1862,233,1629,0,2035,25906517,7435861,2904952,0,997886,7096666,7471152,0,1264563,625439,262485,0,0,0,376639,0,5754,4418
2036,7568,7568,7578,6322,39383802,33597498,5786304,2350792,977267,2458245,441,197,244,475,231,244,0,2036,33597498,9680554,7927140,0,838751,7497543,7653510,0,977267,521571,142243,0,0,0,313453,0,7127,5847
2037,7568,7568,7578,6363,13866826,12684373,1182453,143122,260339,778992,4455,150,4305,4505,192,4313,3347666,2037,12684373,2034615,911719,0,495226,3382117,5860696,0,260339,126120,58603,0,0,0,75616,0,3113,1858
2038,7568,7568,7578,6310,29332008,24177451,5154557,2146620,1080294,1927643,2260,191,2069,2305,230,2075,0,2038,24177451,6543657,2646323,0,839102,6671691,7476678,0,1080294,553138,194354,0,0,0,332802,0,5308,4005
2039,7568,7568,7578,6292,22595814,18810832,3784982,1481814,832667,1470501,3479,185,3294,3526,224,3302,0,2039,18810832,4445245,1242447,0,278438,5456440,7388262,0,832667,453507,106950,0,0,0,272210,0,4089,2766
2040,7568,7568,7578,6339,16815519,14893603,1921916,490917,478735,952264,3525,164,3361,3572,204,3368,5542071,2040,14893603,3002243,1846572,0,380727,3908672,5755389,0,478735,196759,163249,0,0,0,118727,0,4043,2767
2041,7568,7568,7578,6334,24878052,22053390,2824662,844485,690002,1290175,3066,196,2870,3108,232,2876,0,2041,22053390,4663722,2259570,0,1530658,5918300,7681140,0,690002,283114,235699,0,0,0,171189,0,4502,3226
2042,7568,7568,7578,7514,569178,328830,240348,28623,53913,157812,7465,15,7450,7474,16,7458,0,2042,328830,251820,74913,0,2097,0,0,0,53913,31589,3647,0,0,0,18677,0,103,40
2043,7568,7568,7578,6448,14616270,13059208,1557062,255948,475235,825879,4923,142,4781,4972,186,4786,0,2043,13059208,2015515,739097,0,436408,3463554,6404634,0,475235,194261,163709,0,0,0,117265,0,2645,1476
2044,7568,7568,7578,7467,989348,754700,234648,8361,64672,161615,7382,37,7345,7392,40,7352,38488,2044,754700,335358,153102,0,110427,155813,0,0,64672,26123,23082,0,0,0,15467,0,186,75
2045,7568,7568,7578,7578,0,0,0,0,0,0,7568,23,7545,7578,27,7551,0,2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,7568,7568,7578,7038,5454162,5200043,254119,6250,64379,183490,6581,80,6501,6608,100,6508,0,2046,5200043,519842,527701,0,229869,1441457,2481174,0,64379,24072,26078,0,0,0,14229,0,987,430
2047,7568,7568,7578,6815,7371684,6992153,379531,13804,99197,266530,6234,109,6125,6255,123,6132,0,2047,6992153,687894,477719,0,172995,1785345,3868200,0,99197,39531,35973,0,0,0,23693,0,1334,560
2048,7568,7568,7578,6378,14859414,13815150,1044264,128229,286747,629288,4879,147,4732,4929,189,4740,0,2048,13815150,1555158,857769,0,711854,3688927,7001442,0,286747,124788,86923,0,0,0,75036,0,2689,1449
2049,7568,7568,7578,6324,23347350,20505454,2841896,874811,578398,1388687,3343,185,3158,3383,221,3162,0,2049,20505454,4360652,1321908,0,1457812,5960242,7404840,0,578398,320730,65360,0,0,0,192308,0,4225,2941
2050,7568,7568,7578,6320,34468477,30604093,3864384,2255655,877304,731425,1179,183,996,1219,220,999,837489,2050,30604093,6926784,4398247,0,5156062,6592998,7530002,0,877304,439996,172738,0,0,0,264570,0,6389,5101
