"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6326,20766708,18085188,2681520,1016998,573068,1091454,3810,162,3648,3855,199,3656,0
2011,7568,7568,7578,6341,12123762,10842663,1281099,457519,281744,541836,4456,140,4316,4502,179,4323,5093292
2012,7568,7568,7578,6309,40582944,32784243,7798701,4054987,1351734,2391980,224,185,39,265,226,39,0
2013,7568,7568,7578,6322,40726620,32720492,8006128,3950277,1560224,2495627,198,190,8,234,226,8,0
2014,7568,7568,7578,7381,1818054,1401423,416631,35384,99748,281499,7239,80,7159,7239,73,7166,0
2015,7568,7568,7578,6322,27636257,23863843,3772414,1388869,776990,1606555,2130,191,1939,2172,227,1945,2414782
2016,7568,7568,7578,6324,20418570,18212590,2205980,512706,716795,976479,3873,163,3710,3917,200,3717,0
2017,7568,7568,7578,7530,339796,197143,142653,14555,40022,88076,7492,38,7454,7502,40,7462,80180
2018,7568,7568,7578,6348,20512512,17299917,3212595,1148504,931088,1133003,3856,180,3676,3898,216,3682,0
2019,7568,7568,7578,6509,11261988,10222087,1039901,88296,274835,676770,5530,111,5419,5560,134,5426,0
2020,7568,7568,7578,6322,38659896,33194108,5465788,2640681,980309,1844798,572,193,379,608,229,379,0
2021,7568,7568,7578,6329,19423722,17218802,2204920,364633,582158,1258129,4053,164,3889,4096,202,3894,168
2022,7568,7568,7578,6388,16098210,14259926,1838284,248163,528633,1061488,4624,154,4470,4672,197,4475,170434
2023,7568,7568,7578,7578,0,0,0,0,0,0,7568,45,7523,7578,49,7529,0
2024,7568,7568,7578,7367,1961730,1664942,296788,1556,67494,227738,7213,65,7148,7214,62,7152,0
2025,7568,7568,7578,7190,4050558,3529264,521294,65255,118013,338026,6835,73,6762,6870,102,6768,0
2026,7568,7568,7578,6731,34788983,28217896,6571087,2923065,1810467,1837555,1271,186,1085,1314,224,1090,8239
2027,7568,7568,7578,7382,1751742,1406892,344850,11659,92147,241044,7251,50,7201,7252,40,7212,0
2028,7568,7568,7578,7540,342612,185148,157464,55535,47432,54497,7506,32,7474,7517,36,7481,0
2029,7568,7568,7578,6885,4370843,4079722,291121,11849,56124,223148,6374,107,6267,6398,123,6275,2240214
2030,7568,7568,7578,6508,12234564,11455389,779175,40890,244347,493938,5354,128,5226,5384,151,5233,0
2031,7568,7568,7578,7571,66312,44004,22308,736,8818,12754,7556,26,7530,7567,34,7533,0
2032,7568,7568,7578,7578,0,0,0,0,0,0,7568,40,7528,7578,44,7534,0
2033,7568,7568,7578,6328,11595469,10429657,1165812,169699,262837,733276,4352,168,4184,4395,202,4193,6205844
2034,7568,7568,7578,6318,31259401,26808180,4451221,1575340,1295641,1580240,1814,196,1618,1853,232,1621,537555
2035,7568,7568,7578,7561,133596,79110,54486,3074,13808,37604,7541,45,7496,7551,49,7502,15606
2036,7568,7568,7578,7490,709015,454326,254689,25220,73860,155609,7424,57,7367,7434,63,7371,86729
2037,7568,7568,7578,6323,28066554,24943037,3123517,1487695,650131,985691,2489,184,2305,2528,218,2310,0
2038,7568,7568,7578,6336,16870878,15758116,1112762,19785,276873,816104,4515,158,4357,4560,197,4363,0
2039,7568,7568,7578,7563,154728,125960,28768,0,7116,21652,7540,56,7484,7550,60,7490,0
2040,7568,7568,7578,7578,0,0,0,0,0,0,7568,28,7540,7578,34,7544,0
2041,7568,7568,7578,6323,21181158,19864731,1316427,134035,269722,912670,3735,178,3557,3779,214,3565,0
2042,7568,7568,7578,7578,0,0,0,0,0,0,7568,39,7529,7578,42,7536,0
2043,7568,7568,7578,7411,1536228,1146016,390212,84775,102610,202827,7290,68,7222,7297,71,7226,0
2044,7568,7568,7578,6369,14559167,13318559,1240608,210502,333104,697002,4915,137,4778,4966,181,4785,101311
2045,7568,7568,7578,6322,25729056,23205426,2523630,1024348,582089,917193,2912,183,2729,2957,219,2738,0
2046,7568,7568,7578,6370,15914880,14247225,1667655,533318,430409,703928,4688,146,4542,4737,190,4547,0
2047,7568,7568,7578,6329,20915910,18124474,2791436,960297,614045,1217094,3783,165,3618,3826,201,3625,0
2048,7568,7568,7578,6345,16932592,14837541,2095051,714019,455630,925402,3503,171,3332,3547,208,3339,5547782
2049,7568,7568,7578,6503,11223306,9996774,1226532,311019,295999,619514,5537,116,5421,5565,139,5426,0
2050,7568,7568,7578,7490,777126,555465,221661,12740,75718,133203,7424,52,7372,7434,57,7377,18618
2051,7568,7568,7578,7142,4100292,3715321,384971,53585,119082,212304,6826,105,6721,6856,124,6732,0
2052,7568,7568,7578,7518,398686,285759,112927,22982,26307,63638,7473,33,7440,7483,36,7447,126284
2053,7568,7568,7578,6325,15465310,13488509,1976801,743903,535384,697514,4366,169,4197,4415,210,4205,2237781
2054,7568,7568,7578,6333,15943878,13954737,1989141,684904,487577,816660,3875,164,3711,3922,204,3718,4472257
2055,7568,7568,7578,7547,276300,171692,104608,14777,31581,58250,7518,28,7490,7529,35,7494,0
2056,7568,7568,7578,7578,0,0,0,0,0,0,7568,29,7539,7578,35,7543,0
2057,7568,7568,7578,6729,8493462,7806384,687078,37389,178610,471079,6031,109,5922,6047,120,5927,0
2058,7568,7568,7578,6601,11494080,10464863,1029217,294733,308552,425932,5488,130,5358,5517,154,5363,0
2059,7568,7568,7578,6507,6667416,6095620,571796,44629,180517,346650,5337,155,5182,5364,174,5190,5686500
2060,7568,7568,7578,7277,2746422,2448300,298122,12257,76203,209662,7071,77,6994,7079,86,6993,0
2061,7568,7568,7578,6635,11567553,10549020,1018533,64933,302156,651444,5474,143,5331,5501,163,5338,3891
2062,7568,7568,7578,7578,0,0,0,0,0,0,7568,25,7543,7578,31,7547,0
2063,7568,7568,7578,7578,0,0,0,0,0,0,7568,19,7549,7578,26,7552,0
2064,7568,7568,7578,7273,3182976,2703290,479686,30919,146330,302437,6992,102,6890,7002,110,6892,0
2065,7568,7568,7578,7578,0,0,0,0,0,0,7568,33,7535,7578,36,7542,0
2066,7568,7568,7578,6666,8957646,8437051,520595,18730,146282,355583,5947,115,5832,5970,131,5839,0
2067,7568,7568,7578,7578,0,0,0,0,0,0,7568,9,7559,7578,12,7566,0
2068,7568,7568,7578,7576,4320,2808,1512,383,297,832,7566,28,7538,7575,27,7548,6732
2069,7568,7568,7578,7578,0,0,0,0,0,0,7568,25,7543,7578,29,7549,0
2070,7568,7568,7578,7485,757280,507682,249598,51506,72090,126002,7421,39,7382,7430,43,7387,55042
2071,7568,7568,7578,7576,10935,7672,3263,16,600,2647,7565,62,7503,7575,67,7508,5643
2072,7568,7568,7578,7439,625886,452983,172903,51457,42331,79115,7347,55,7292,7353,53,7300,595360
2073,7568,7568,7578,6341,11119337,10127931,991406,313614,237237,440555,4841,153,4688,4892,193,4699,3959914
