"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,18085188,3410090,1458741,0,715477,5134722,7366158,0,573068,335107,37171,0,0,0,200790,0,3758,2471
2011,10842663,1444477,765056,0,406260,3050646,5176224,0,281744,176247,397,0,0,0,105100,0,3112,1839
2012,32784243,11115641,4254209,0,2469023,7452114,7493256,0,1351734,793487,82184,0,0,0,476063,0,7344,6044
2013,32720492,10969437,6575391,0,564659,7056963,7554042,0,1560224,771118,324632,0,0,0,464474,0,7370,6088
2014,1401423,504806,195210,0,28980,672427,0,0,99748,53752,14218,0,0,0,31778,0,329,142
2015,23863843,5829862,3474927,0,980720,6184297,7394037,0,776990,389231,153518,0,0,0,234241,0,5438,4150
2016,18212590,3375267,1696923,0,595188,5140372,7404840,0,716795,248957,316581,0,0,0,151257,0,3695,2407
2017,197143,149290,47853,0,0,0,0,0,40022,18893,9875,0,0,0,11254,0,76,28
2018,17299917,3808856,1545531,0,293467,4562205,7089858,0,931088,377537,325142,0,0,0,228409,0,3712,2450
2019,10222087,1386136,464296,0,715,2563114,5807826,0,274835,123157,77606,0,0,0,74072,0,2038,949
2020,33194108,9336278,6457256,0,2711819,7145765,7542990,0,980309,552414,96503,0,0,0,331392,0,6996,5714
2021,17218802,3189714,1805720,0,86550,4798290,7338528,0,582158,236952,202185,0,0,0,143021,0,3515,2233
2022,14259926,2476896,1159663,0,16968,3792841,6813558,0,528633,207084,196327,0,0,0,125222,0,2944,1716
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1664942,517063,238754,0,101406,780089,27630,0,67494,30416,18941,0,0,0,18137,0,355,153
2025,3529264,715136,215991,0,83269,1558870,955998,0,118013,68082,9592,0,0,0,40339,0,733,320
2026,28217896,8366627,3882355,0,667021,7769955,7531938,0,1810467,667177,737821,0,0,0,405469,0,6297,5417
2027,1406892,476781,224685,0,18447,686979,0,0,92147,40695,27243,0,0,0,24209,0,317,130
2028,185148,120214,62146,0,2788,0,0,0,47432,24019,9142,0,0,0,14271,0,62,23
2029,4079722,460652,224746,0,59625,1453528,1881171,0,56124,33398,3004,0,0,0,19722,0,1194,487
2030,11455389,1456216,854127,0,410751,2926469,5807826,0,244347,84784,108271,0,0,0,51292,0,2214,1124
2031,44004,27639,10436,0,5929,0,0,0,8818,2472,5113,0,0,0,1233,0,12,4
2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,10429657,1629728,693945,0,108221,3089614,4908149,0,262837,140701,37904,0,0,0,84232,0,3216,1933
2034,26808180,6826745,5820357,0,503091,6203613,7454374,0,1295641,418675,621453,0,0,0,255513,0,5754,4465
2035,79110,60976,13367,0,4767,0,0,0,13808,6639,3260,0,0,0,3909,0,27,10
2036,454326,277639,89851,0,68065,18771,0,0,73860,33222,20797,0,0,0,19841,0,144,56
2037,24943037,4190214,2452453,0,3805023,7062877,7432470,0,650131,359778,74589,0,0,0,215764,0,5079,3795
2038,15758116,2437339,1611999,0,104218,4415234,7189326,0,276873,97635,120189,0,0,0,59049,0,3053,1776
2039,125960,64593,42430,0,18937,0,0,0,7116,2183,3645,0,0,0,1288,0,28,13
2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2041,19864731,3185424,3046266,0,964465,5230580,7437996,0,269722,104706,101917,0,0,0,63099,0,3833,2544
2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,1146016,427761,160871,0,203249,354135,0,0,102610,55516,14208,0,0,0,32886,0,278,114
2044,13318559,1607195,1230358,0,267779,3239415,6973812,0,333104,157320,81366,0,0,0,94418,0,2653,1403
2045,23205426,4922422,2680955,0,2212895,5934580,7454574,0,582089,290152,117496,0,0,0,174441,0,4656,3365
2046,14247225,1973864,1295160,0,439017,3581950,6957234,0,430409,224973,70600,0,0,0,134836,0,2880,1633
2047,18124474,3407887,2093066,0,408813,4892758,7321950,0,614045,342362,66423,0,0,0,205260,0,3785,2503
2048,14837541,3154857,1588651,0,736700,3772023,5585310,0,455630,241352,69643,0,0,0,144635,0,4065,2798
2049,9996774,1328263,587169,0,2204,2464722,5614416,0,295999,166427,29996,0,0,0,99576,0,2031,938
2050,555465,285339,211624,0,51465,7037,0,0,75718,26500,33251,0,0,0,15967,0,144,56
2051,3715321,505507,294717,0,98097,1756008,1060992,0,119082,51525,36908,0,0,0,30649,0,742,286
2052,285759,152081,57130,0,76548,0,0,0,26307,15992,862,0,0,0,9453,0,95,35
2053,13488509,2057241,1441376,0,108560,3666196,6215136,0,535384,268559,105676,0,0,0,161149,0,3202,1910
2054,13954737,2249777,1976465,0,67271,3688536,5972688,0,487577,248526,89970,0,0,0,149081,0,3693,2411
2055,171692,105074,64163,0,2455,0,0,0,31581,14054,9218,0,0,0,8309,0,50,18
2056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2057,7806384,1016787,419578,0,37277,2320866,4011876,0,178610,79763,51043,0,0,0,47804,0,1537,682
2058,10464863,1485232,1008082,0,531813,2328186,5111550,0,308552,140096,84316,0,0,0,84140,0,2080,1084
2059,6095620,847696,522864,0,1596,1481005,3242459,0,180517,61643,81900,0,0,0,36974,0,2231,1143
2060,2448300,455993,319263,0,118081,1162617,392346,0,76203,35332,19985,0,0,0,20886,0,497,198
2061,10549020,1743911,1167582,0,213405,2616502,4807620,0,302156,112183,122183,0,0,0,67790,0,2094,1134
2062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2064,2703290,666256,326740,0,79756,1254770,375768,0,146330,57449,54447,0,0,0,34434,0,576,271
2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,8437051,902874,630094,0,57737,2265292,4581054,0,146282,55523,57301,0,0,0,33458,0,1621,696
2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,2808,1438,942,0,428,0,0,0,297,76,181,0,0,0,40,0,2,1
2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,507682,248923,155936,0,79638,23185,0,0,72090,35653,15147,0,0,0,21290,0,147,55
2071,7672,4300,2038,0,1334,0,0,0,600,191,313,0,0,0,96,0,3,1
2072,452983,164296,109764,0,32151,146772,0,0,42331,25654,1584,0,0,0,15093,0,221,86
2073,10127931,1247499,728445,0,277944,2659389,5214654,0,237237,138944,15417,0,0,0,82876,0,2727,1449
2074,1748,1160,588,0,0,0,0,0,94,42,32,0,0,0,20,0,2,1
2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2089,1479,1059,272,0,148,0,0,0,355,62,262,0,0,0,31,0,0,0
2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
