"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6326,20766708,18085188,2681520,1016998,573068,1091454,3810,162,3648,3855,199,3656,0,2010,18085188,3410090,1458741,0,715477,5134722,7366158,0,573068,335107,37171,0,0,0,200790,0,3758,2471
2011,7568,7568,7578,6341,12123762,10842663,1281099,457519,281744,541836,4456,140,4316,4502,179,4323,5093292,2011,10842663,1444477,765056,0,406260,3050646,5176224,0,281744,176247,397,0,0,0,105100,0,3112,1839
2012,7568,7568,7578,6309,40582944,32784243,7798701,4054987,1351734,2391980,224,185,39,265,226,39,0,2012,32784243,11115641,4254209,0,2469023,7452114,7493256,0,1351734,793487,82184,0,0,0,476063,0,7344,6044
2013,7568,7568,7578,6322,40726620,32720492,8006128,3950277,1560224,2495627,198,190,8,234,226,8,0,2013,32720492,10969437,6575391,0,564659,7056963,7554042,0,1560224,771118,324632,0,0,0,464474,0,7370,6088
2014,7568,7568,7578,7381,1818054,1401423,416631,35384,99748,281499,7239,80,7159,7239,73,7166,0,2014,1401423,504806,195210,0,28980,672427,0,0,99748,53752,14218,0,0,0,31778,0,329,142
2015,7568,7568,7578,6322,27636257,23863843,3772414,1388869,776990,1606555,2130,191,1939,2172,227,1945,2414782,2015,23863843,5829862,3474927,0,980720,6184297,7394037,0,776990,389231,153518,0,0,0,234241,0,5438,4150
2016,7568,7568,7578,6324,20418570,18212590,2205980,512706,716795,976479,3873,163,3710,3917,200,3717,0,2016,18212590,3375267,1696923,0,595188,5140372,7404840,0,716795,248957,316581,0,0,0,151257,0,3695,2407
2017,7568,7568,7578,7530,339796,197143,142653,14555,40022,88076,7492,38,7454,7502,40,7462,80180,2017,197143,149290,47853,0,0,0,0,0,40022,18893,9875,0,0,0,11254,0,76,28
2018,7568,7568,7578,6348,20512512,17299917,3212595,1148504,931088,1133003,3856,180,3676,3898,216,3682,0,2018,17299917,3808856,1545531,0,293467,4562205,7089858,0,931088,377537,325142,0,0,0,228409,0,3712,2450
2019,7568,7568,7578,6509,11261988,10222087,1039901,88296,274835,676770,5530,111,5419,5560,134,5426,0,2019,10222087,1386136,464296,0,715,2563114,5807826,0,274835,123157,77606,0,0,0,74072,0,2038,949
2020,7568,7568,7578,6322,38659896,33194108,5465788,2640681,980309,1844798,572,193,379,608,229,379,0,2020,33194108,9336278,6457256,0,2711819,7145765,7542990,0,980309,552414,96503,0,0,0,331392,0,6996,5714
2021,7568,7568,7578,6329,19423722,17218802,2204920,364633,582158,1258129,4053,164,3889,4096,202,3894,168,2021,17218802,3189714,1805720,0,86550,4798290,7338528,0,582158,236952,202185,0,0,0,143021,0,3515,2233
2022,7568,7568,7578,6388,16098210,14259926,1838284,248163,528633,1061488,4624,154,4470,4672,197,4475,170434,2022,14259926,2476896,1159663,0,16968,3792841,6813558,0,528633,207084,196327,0,0,0,125222,0,2944,1716
2023,7568,7568,7578,7578,0,0,0,0,0,0,7568,45,7523,7578,49,7529,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,7568,7568,7578,7367,1961730,1664942,296788,1556,67494,227738,7213,65,7148,7214,62,7152,0,2024,1664942,517063,238754,0,101406,780089,27630,0,67494,30416,18941,0,0,0,18137,0,355,153
