"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,27593506,7458670,3061547,0,2786644,6793389,7493256,0,987221,615060,3783,0,0,0,368378,0,6031,4746
2011,28480772,7747674,2411458,0,3327988,7434084,7559568,0,831459,519589,698,0,0,0,311172,0,5995,4698
2012,26901039,7709549,4547936,0,452542,6714334,7476678,0,1232435,585395,294041,0,0,0,352999,0,5906,4608
2013,26220156,7620183,3894876,0,534369,6716154,7454574,0,1561615,457865,822999,0,0,0,280751,0,5643,4356
2014,9763,7217,1395,0,1151,0,0,0,1630,545,857,0,0,0,228,0,3,1
2015,21912289,4777936,1960878,0,1564432,6187625,7421418,0,454129,258722,40416,0,0,0,154991,0,4404,3117
2016,245309,19354,45119,0,0,85436,95400,0,1139,464,455,0,0,0,220,0,2588,1333
2017,34048347,9317942,4262499,0,5775566,7210136,7482204,0,1249732,698177,132288,0,0,0,419267,0,7299,6015
2018,29957485,8452558,3753639,0,2959033,7282421,7509834,0,1426409,657143,372763,0,0,0,396503,0,6531,5247
2019,12305561,1939058,845489,0,12288,3225664,6283062,0,450315,192382,142009,0,0,0,115924,0,2511,1347
2020,1038250,369997,119126,0,103519,445608,0,0,79170,42062,12311,0,0,0,24797,0,245,96
2021,22306500,5535090,2699640,0,369918,6247278,7454574,0,700813,262945,278391,0,0,0,159477,0,4582,3298
2022,9336902,1295685,528152,0,290737,2309714,4912614,0,303327,145646,70295,0,0,0,87386,0,1890,932
2023,26828428,7848003,4375900,0,676079,6553491,7374955,0,888298,525188,48231,0,0,0,314879,0,6323,5039
2024,21946398,4507875,2921973,0,1576894,5656388,7283268,0,403446,179285,116250,0,0,0,107911,0,4330,3051
2025,8258934,1755635,602928,0,181754,2378684,3339933,0,320931,154822,73356,0,0,0,92753,0,4725,3442
2026,29005823,8486332,2686040,0,2372433,7790930,7670088,0,1303420,650165,261733,0,0,0,391522,0,6398,5113
2027,23228657,6558627,2122734,0,283087,6804109,7460100,0,1385620,627750,378743,0,0,0,379127,0,5238,3951
2028,4163971,808740,373372,0,0,1804821,1177038,0,130520,49139,51852,0,0,0,29529,0,842,366
2029,5214402,803222,399568,0,187850,1972552,1851210,0,99433,40665,34475,0,0,0,24293,0,1019,464
2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,26803371,8097154,3170121,0,715580,7211214,7609302,0,1322011,758056,108813,0,0,0,455142,0,6127,4842
2032,11192016,1647851,813935,0,148,2739898,5990184,0,262279,110587,85227,0,0,0,66465,0,2210,1097
2033,1766602,392532,306489,0,100426,845583,121572,0,74740,42429,7261,0,0,0,25050,0,377,147
2034,20173240,4499264,2477374,0,195609,5663325,7337668,0,946627,391770,317936,0,0,0,236921,0,4496,3203
2035,39353,29777,7802,0,1774,0,0,0,9221,4492,2247,0,0,0,2482,0,13,5
2036,9449106,1281659,452158,0,351286,2497803,4866200,0,241625,102785,77090,0,0,0,61750,0,2499,1329
2037,16313172,3768654,1417087,0,343773,4926584,5857074,0,622225,337636,82082,0,0,0,202507,0,4605,3319
2038,16727060,3564797,1544727,0,244581,4371513,7001442,0,719869,372024,124413,0,0,0,223432,0,3590,2336
2039,12741601,1674159,881505,0,593523,3269254,6323160,0,273863,167680,6148,0,0,0,100035,0,2580,1404
2040,28508963,9016610,3567887,0,966365,7254857,7703244,0,1772437,662871,706886,0,0,0,402680,0,6347,5060
2041,6119956,640342,390875,0,147164,1517780,3423795,0,138742,80606,10362,0,0,0,47774,0,1957,908
2042,17040328,3147592,1380383,0,46358,5072207,7393788,0,785555,312185,284552,0,0,0,188818,0,3554,2265
2043,7271160,922340,459644,0,80904,2216372,3591900,0,202031,82206,70406,0,0,0,49419,0,1439,637
2044,16223,10953,2816,0,2454,0,0,0,1911,870,719,0,0,0,322,0,5,3
2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,13777602,1774850,1325194,0,760408,3231236,6685914,0,382480,198578,64919,0,0,0,118983,0,2967,1723
2047,5734076,588141,611139,0,259894,1269438,3005464,0,53697,27621,10004,0,0,0,16072,0,2185,1074
2048,18351074,3427610,2198701,0,148638,5171285,7404840,0,481410,184255,185633,0,0,0,111522,0,3658,2371
2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051,17558291,3407174,1224979,0,1202522,4633758,7089858,0,767374,310411,269303,0,0,0,187660,0,3650,2385
2052,4551686,552916,277574,0,104304,1623628,1993264,0,120372,59912,24953,0,0,0,35507,0,1207,525
2053,14977754,3136467,1174157,0,139777,3901679,6625674,0,642354,343502,92747,0,0,0,206105,0,3217,2017
2054,4741700,507434,330174,0,81671,1459907,2362514,0,68892,30816,19913,0,0,0,18163,0,1424,611
2055,8257943,929170,494596,0,0,2280753,4553424,0,226491,100322,66008,0,0,0,60161,0,1634,712
2056,11320610,1574624,905694,0,521708,2842318,5476266,0,307544,150020,67556,0,0,0,89968,0,2266,1222
2057,4347423,571110,273070,0,123797,1931634,1447812,0,118592,52651,34564,0,0,0,31377,0,861,342
2058,20922,10854,8264,0,1804,0,0,0,4013,1206,2399,0,0,0,408,0,7,3
2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2061,5349550,523178,505247,0,142949,1206847,2971329,0,150286,63710,48643,0,0,0,37933,0,1986,930
2062,6763810,837174,389197,0,101384,2208871,3227184,0,149465,76223,27923,0,0,0,45319,0,1335,580
2063,925611,417595,154216,0,17108,336692,0,0,115336,55328,26998,0,0,0,33010,0,241,93
2064,14520006,2352262,1276066,0,468037,3910431,6513210,0,882914,269482,448822,0,0,0,164610,0,3356,2087
2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2067,244453,173311,65836,0,5306,0,0,0,58651,31075,9140,0,0,0,18436,0,119,44
2068,5083057,547165,623046,0,74237,1843723,1994886,0,156982,70780,43722,0,0,0,42480,0,1009,408
2069,3926096,445600,426464,0,30217,1089835,1933980,0,96137,29080,49630,0,0,0,17427,0,1562,708
2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2071,206299,133678,72520,0,101,0,0,0,50517,23727,12755,0,0,0,14035,0,141,55
2072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2080,4114,2296,1335,0,483,0,0,0,629,104,475,0,0,0,50,0,5,3
